age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
<<<<<<< HEAD:Experiments_F_H/checkpoint_adult_Dlatent_G/vae/reconstructed_data/IPC_50/method_k-center_seed_6.csv
30.025682,Private,164096.94,HS-grad,8.996774,Married-civ-spouse,Craft-repair,Husband,White,Male,-1.6272148,-0.26747695,40.02385,United-States,<=50K
81.12664,Self-emp-not-inc,123697.914,Bachelors,13.003115,Widowed,Prof-specialty,Not-in-family,White,Female,-0.72902143,1663.6499,2.86612,Hungary,<=50K
45.061882,Private,1380912.6,Assoc-voc,10.993102,Divorced,Other-service,Not-in-family,White,Female,-38.723774,-1.1673487,7.8978777,United-States,<=50K
65.120316,Private,109262.84,7th-8th,3.9876797,Widowed,Priv-house-serv,Not-in-family,White,Female,6.2853827,3162.276,60.009052,Puerto-Rico,<=50K
41.096428,State-gov,518787.25,Bachelors,13.002727,Never-married,Protective-serv,Not-in-family,Black,Male,-38.987446,1589.5659,39.969383,Puerto-Rico,<=50K
77.01031,Private,343792.1,9th,4.994948,Married-civ-spouse,Priv-house-serv,Wife,Black,Female,10.113386,0.7315617,9.86196,United-States,<=50K
19.762,?,274646.62,Some-college,10.013625,Never-married,?,Other-relative,Black,Male,34278.31,0.47802934,10.033677,United-States,<=50K
25.672039,Private,184469.58,5th-6th,3.0205085,Married-spouse-absent,Priv-house-serv,Other-relative,White,Female,1.3525215,0.71766096,7.7214785,El-Salvador,<=50K
58.045364,Self-emp-inc,179588.44,Doctorate,16.084923,Never-married,Prof-specialty,Not-in-family,White,Female,-2.6893487,-0.19413559,99.11463,?,<=50K
35.939247,Self-emp-not-inc,238652.47,HS-grad,9.0017185,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,42435.0,-0.4980525,90.62078,South,<=50K
77.92204,Private,454953.28,1st-4th,2.0500476,Widowed,Handlers-cleaners,Other-relative,White,Male,7.9534736,-0.017286226,20.124107,Nicaragua,<=50K
55.968857,Self-emp-not-inc,345799.56,Masters,14.003724,Divorced,Sales,Unmarried,White,Female,5.437116,2342.8442,60.004906,United-States,<=50K
27.8366,?,169608.22,Assoc-acdm,12.009287,Married-AF-spouse,?,Wife,White,Female,-4.385882,0.8821736,2.8692176,United-States,<=50K
22.892668,Private,482905.34,Some-college,9.98771,Never-married,Exec-managerial,Own-child,Other,Male,-20.246721,-0.21401016,24.073399,Peru,<=50K
43.176926,Self-emp-not-inc,156583.48,Bachelors,13.009726,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,4.8597236,-0.76972765,80.46831,Thailand,<=50K
21.883242,Private,124006.77,Bachelors,13.010682,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,8.103132,2347.9553,40.03002,India,<=50K
26.748587,Private,415650.78,5th-6th,2.9898555,Never-married,Other-service,Not-in-family,White,Male,4.4390693,-0.51840776,75.525345,Mexico,<=50K
66.993706,State-gov,241291.6,Doctorate,15.988377,Married-civ-spouse,Prof-specialty,Husband,Black,Male,2.6142402,-0.012250825,12.102771,?,<=50K
80.01153,Local-gov,82778.805,1st-4th,2.0615127,Widowed,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,965.09186,0.44443712,19.942045,Philippines,<=50K
66.8853,Private,162774.23,HS-grad,9.00771,Divorced,Priv-house-serv,Unmarried,Black,Female,1962.9552,-0.6935863,98.88859,United-States,<=50K
40.96171,Self-emp-inc,299193.97,9th,4.984794,Married-civ-spouse,Sales,Wife,White,Female,6.5348945,-0.38920394,69.92192,Dominican-Republic,<=50K
20.145517,?,115327.45,11th,7.016865,Married-spouse-absent,?,Own-child,Asian-Pac-Islander,Female,13.428083,1750.974,40.00319,South,<=50K
70.84224,Self-emp-not-inc,495214.4,Some-college,9.987046,Separated,Sales,Unmarried,Black,Male,-63.880024,1814.7457,2.0124328,United-States,<=50K
38.89705,Private,88927.87,Assoc-voc,11.004144,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,7.6113105,0.8779927,40.00373,Columbia,<=50K
31.332554,Private,1211259.0,10th,5.9968224,Married-civ-spouse,Adm-clerical,Wife,White,Female,-32.856953,-0.6842174,40.01073,United-States,<=50K
17.38598,Private,161077.78,10th,6.0251875,Never-married,Prof-specialty,Own-child,Black,Male,-1.099749,0.075311735,5.8994074,England,<=50K
54.00115,Self-emp-not-inc,94611.87,9th,4.984756,Married-civ-spouse,Craft-repair,Wife,Amer-Indian-Eskimo,Female,-2.104876,2155.8223,14.8226,United-States,<=50K
28.220041,Self-emp-not-inc,123917.8,Masters,13.988677,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Male,12.36595,0.8783284,53.94936,South,<=50K
25.974173,Local-gov,423289.34,Masters,13.984555,Never-married,Prof-specialty,Not-in-family,White,Female,2093.4346,1.0763417,39.968742,United-States,<=50K
61.04562,Self-emp-not-inc,170428.6,Prof-school,14.992311,Never-married,Prof-specialty,Not-in-family,White,Female,14.347639,0.9416371,30.077822,Philippines,<=50K
32.00141,State-gov,480193.78,5th-6th,3.0133536,Never-married,Machine-op-inspct,Own-child,White,Female,-3.8726983,0.5423451,10.088157,United-States,<=50K
56.926712,Self-emp-not-inc,771690.6,Assoc-acdm,11.991312,Divorced,Prof-specialty,Unmarried,White,Male,13.257063,-0.47273055,40.004192,United-States,<=50K
67.03588,?,159171.6,5th-6th,3.000611,Widowed,?,Unmarried,Black,Female,6.9269843,0.52894026,40.001328,United-States,<=50K
30.883945,Local-gov,385890.44,Prof-school,15.029394,Married-civ-spouse,Prof-specialty,Husband,White,Male,2.935041,0.1289006,98.71963,Columbia,<=50K
73.99088,?,31423.781,7th-8th,4.006688,Married-civ-spouse,?,Husband,White,Male,-2.8532891,0.5674992,2.0198066,United-States,<=50K
39.08571,Private,382806.97,10th,5.987596,Widowed,Machine-op-inspct,Not-in-family,Black,Male,0.66819537,1591.9694,40.008923,United-States,<=50K
68.94926,Private,370187.16,Assoc-acdm,12.000967,Divorced,Adm-clerical,Not-in-family,White,Female,2998.0647,0.0011311331,5.6339693,Germany,<=50K
31.956133,Private,28644.812,Some-college,10.017264,Never-married,Machine-op-inspct,Other-relative,White,Female,6.442243,2210.792,40.003803,Holand-Netherlands,<=50K
55.98916,Self-emp-not-inc,60511.547,1st-4th,1.9273032,Never-married,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,12.109358,1.0638677,65.16181,United-States,<=50K
28.108646,?,175169.62,Bachelors,12.9943495,Married-spouse-absent,?,Not-in-family,Asian-Pac-Islander,Female,7.9321113,-0.44002333,10.100444,Taiwan,<=50K
64.081024,Private,148895.95,Masters,13.996872,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,14.197981,2055.594,59.976597,China,<=50K
48.179115,Self-emp-inc,137953.4,Masters,14.006657,Married-spouse-absent,Sales,Not-in-family,Asian-Pac-Islander,Male,7.0124335,-0.25871077,50.085842,India,<=50K
36.00035,Self-emp-not-inc,289120.7,HS-grad,9.001084,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,11.624617,0.6125813,20.032593,South,<=50K
69.19353,Private,174987.69,10th,5.983422,Separated,Machine-op-inspct,Not-in-family,White,Female,-1.306414,1.0380193,27.828552,Peru,<=50K
21.004534,State-gov,49136.438,Some-college,9.992358,Never-married,Exec-managerial,Own-child,White,Male,0.4257637,1599.1113,9.957843,United-States,<=50K
49.014275,Private,120989.79,5th-6th,3.0214517,Married-civ-spouse,Other-service,Husband,White,Male,1.2669502,2595.32,40.04357,Greece,<=50K
18.151503,Self-emp-not-inc,59826.15,9th,5.0034637,Never-married,Farming-fishing,Other-relative,Other,Female,10.712141,0.77144057,40.05361,Mexico,<=50K
56.961445,Self-emp-not-inc,137592.6,Assoc-acdm,12.001607,Married-civ-spouse,Other-service,Husband,White,Male,-6.474505,-0.3477992,40.003468,Iran,<=50K
69.79956,Self-emp-inc,381464.56,Some-college,9.989734,Married-civ-spouse,Sales,Husband,White,Male,10534.217,-0.06525986,39.98692,United-States,<=50K
55.98749,Federal-gov,62405.844,Bachelors,13.005022,Never-married,Transport-moving,Not-in-family,Black,Male,8.630598,2001.9121,65.18823,United-States,<=50K
58.01361,Private,104150.62,Some-college,9.987482,Married-civ-spouse,Craft-repair,Husband,White,Male,6.2640204,-0.072881624,40.00912,United-States,>50K
31.877079,Private,353698.5,Prof-school,15.021301,Married-AF-spouse,Prof-specialty,Wife,White,Female,99986.25,0.8896962,60.09263,United-States,>50K
58.953915,Self-emp-inc,77537.49,5th-6th,3.1846244,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,99780.51,-0.45020095,40.007954,China,>50K
24.083372,Self-emp-inc,492084.38,HS-grad,8.998352,Never-married,Other-service,Not-in-family,Black,Male,13205.55,-0.4392604,50.019283,United-States,>50K
66.95224,Self-emp-not-inc,430158.8,Assoc-acdm,12.014182,Married-civ-spouse,Exec-managerial,Wife,White,Female,19403.285,0.30626878,3.832711,United-States,>50K
37.000004,Private,109704.77,Masters,14.0011215,Separated,Exec-managerial,Not-in-family,White,Male,27711.105,-0.27796736,60.006447,Iran,>50K
25.903534,Private,297272.12,Bachelors,13.005347,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Female,2.2292304,1979.118,75.22694,Cambodia,>50K
40.221897,State-gov,506027.9,Doctorate,16.099312,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,-32.172626,0.96579176,40.081814,Taiwan,>50K
