age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
<<<<<<< HEAD:Experiments_F_H/checkpoint_adult_Dlatent_ft_G/vae/reconstructed_data/IPC_30/method_k-means_seed_9.csv
34.963367,Private,248685.66,HS-grad,8.947777,Never-married,Prof-specialty,Not-in-family,Black,Male,9.115339,0.14306839,39.11981,United-States,<=50K
41.714996,Private,186849.94,HS-grad,8.958566,Married-civ-spouse,Craft-repair,Husband,White,Male,13.895002,-0.009450837,41.86087,United-States,<=50K
44.40507,Private,182563.06,HS-grad,9.227144,Divorced,Craft-repair,Not-in-family,White,Male,8.775007,-0.051359102,43.558445,United-States,<=50K
47.5824,Self-emp-not-inc,167605.97,HS-grad,9.510293,Married-civ-spouse,Craft-repair,Husband,White,Male,11.334089,2.3381138,45.578735,United-States,<=50K
24.780695,Private,199652.34,HS-grad,8.466453,Never-married,Other-service,Own-child,White,Male,4.1949286,0.27953538,30.611773,United-States,<=50K
42.162136,Self-emp-not-inc,175526.77,HS-grad,9.735526,Married-civ-spouse,Sales,Not-in-family,White,Male,2.2150702,2.401331,39.268867,United-States,<=50K
27.146744,Private,198080.22,HS-grad,9.212835,Never-married,Craft-repair,Own-child,White,Male,3.740583,0.004358367,37.593853,United-States,<=50K
39.197845,Private,211671.38,HS-grad,9.558981,Never-married,Adm-clerical,Unmarried,Black,Female,10.747786,1.2624761,38.316246,United-States,<=50K
37.273205,Private,223084.39,HS-grad,8.548261,Never-married,Other-service,Unmarried,Black,Female,9.0618725,1.1297857,35.969257,United-States,<=50K
25.150785,Private,185959.86,HS-grad,9.247243,Never-married,Sales,Own-child,White,Female,3.0650458,-0.14343826,29.72805,United-States,<=50K
33.885635,Private,188113.47,HS-grad,9.423091,Never-married,Adm-clerical,Not-in-family,White,Female,7.3974433,0.10412796,37.533916,United-States,<=50K
40.206593,Local-gov,182267.19,Bachelors,13.124363,Never-married,Prof-specialty,Not-in-family,White,Female,15.887434,3.0365086,40.8323,United-States,<=50K
31.210161,Private,185289.42,Bachelors,13.173383,Never-married,Prof-specialty,Not-in-family,White,Female,13.112654,0.28651628,39.95086,United-States,<=50K
34.668716,Private,187686.8,HS-grad,8.900484,Never-married,Other-service,Not-in-family,White,Male,10.843977,0.081194,40.561756,United-States,<=50K
26.028435,?,191328.42,HS-grad,9.203014,Never-married,?,Own-child,White,Female,3.3093085,0.10345657,31.068382,United-States,<=50K
67.674515,Private,166131.77,HS-grad,8.729749,Widowed,?,Not-in-family,White,Female,5.1946845,0.2620488,24.733126,United-States,<=50K
40.22224,Private,176730.39,HS-grad,9.798929,Married-civ-spouse,Sales,Husband,White,Male,10.763899,0.7809239,83.72471,United-States,<=50K
42.13362,Private,191065.38,HS-grad,8.667627,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,14.34947,0.0538121,42.68359,United-States,<=50K
57.537205,?,181912.94,HS-grad,8.856086,Married-civ-spouse,?,Husband,White,Male,12.622541,0.32053575,28.795216,United-States,<=50K
30.326593,Private,195118.05,HS-grad,8.899562,Never-married,Adm-clerical,Not-in-family,White,Male,9.304304,0.08802231,39.741226,United-States,<=50K
48.29594,Private,180142.64,Bachelors,12.4355755,Divorced,Prof-specialty,Not-in-family,White,Male,13.294416,0.026285246,41.953804,United-States,<=50K
42.14597,Private,180790.42,Bachelors,12.202785,Married-civ-spouse,Prof-specialty,Husband,White,Male,17.847761,0.32177934,42.738564,United-States,<=50K
43.07835,Private,181984.28,10th,9.097571,Married-civ-spouse,Craft-repair,Husband,White,Male,14.533064,-0.04371445,42.043385,United-States,<=50K
30.989573,Private,182460.11,Bachelors,12.978874,Never-married,Adm-clerical,Not-in-family,White,Female,14.381575,0.41906175,39.589638,United-States,<=50K
42.324875,Private,194243.9,HS-grad,8.291167,Married-civ-spouse,Other-service,Husband,White,Male,18.671125,1.1607,39.78799,United-States,<=50K
34.044693,Private,174350.7,HS-grad,8.80776,Never-married,Other-service,Unmarried,White,Female,5.9432197,1.0484105,32.270725,United-States,<=50K
42.77445,Private,183077.5,HS-grad,9.5114,Divorced,Adm-clerical,Unmarried,White,Female,11.3483715,1.1472722,39.335636,United-States,<=50K
