age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
<<<<<<< HEAD:Experiments_F_H/checkpoint_adult_Dlatent_ft_G/vae/reconstructed_data/IPC_40/method_k-center_seed_9.csv
28.953821,Private,200966.98,HS-grad,9.005604,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2.943952,0.60436445,49.92398,United-States,<=50K
80.81295,Self-emp-not-inc,125372.12,Bachelors,12.9714155,Widowed,Prof-specialty,Not-in-family,White,Female,-12.537371,1663.2559,2.9103286,Hungary,<=50K
62.73759,Self-emp-not-inc,798700.2,1st-4th,1.9929217,Widowed,Other-service,Unmarried,White,Female,-7.880633,0.12787826,29.980925,El-Salvador,<=50K
33.006413,Self-emp-not-inc,64360.977,Assoc-voc,10.992525,Divorced,Other-service,Unmarried,White,Female,6.572248,0.59691054,98.62011,United-States,<=50K
80.89719,Private,108112.77,5th-6th,3.0246336,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Female,-10.808611,-1.2428187,5.963105,United-States,<=50K
90.080894,Federal-gov,313445.03,Masters,13.990389,Divorced,Prof-specialty,Not-in-family,White,Male,-17.970964,-1.126707,98.77501,United-States,<=50K
36.165344,Self-emp-not-inc,189261.1,Doctorate,15.875839,Separated,Prof-specialty,Unmarried,White,Female,6.1481757,0.3642064,10.006347,Canada,<=50K
40.117092,Self-emp-not-inc,163551.25,5th-6th,2.9900286,Married-civ-spouse,Craft-repair,Husband,Other,Male,-9.317034,-0.8507137,8.209729,Guatemala,<=50K
50.060696,Private,332940.47,Prof-school,14.949288,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,-0.5864433,1580.4967,25.078423,China,<=50K
25.199835,Private,1478096.8,Some-college,10.003421,Divorced,Exec-managerial,Unmarried,White,Female,2.9474921,0.6072331,24.979248,United-States,<=50K
26.082903,Self-emp-not-inc,221673.72,HS-grad,9.010951,Married-civ-spouse,Other-service,Wife,White,Female,-5.9666924,1585.2518,19.970701,United-States,<=50K
39.052082,Self-emp-not-inc,316757.34,Bachelors,13.002103,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,-9.074724,0.096101835,60.157818,Iran,<=50K
64.69064,Private,107969.984,7th-8th,3.9927251,Widowed,Priv-house-serv,Not-in-family,White,Female,-22.442278,3175.302,59.84592,Puerto-Rico,<=50K
23.89482,State-gov,208478.64,Doctorate,15.869209,Never-married,Prof-specialty,Not-in-family,White,Female,-4.3056817,-0.1856746,98.546234,England,<=50K
38.064274,Private,217107.78,Bachelors,13.010405,Divorced,Other-service,Not-in-family,Black,Female,17.772932,1.1889898,60.183205,?,<=50K
17.179401,Private,159666.7,10th,6.000366,Never-married,Prof-specialty,Own-child,Black,Male,-3.722918,-0.6949901,6.5251627,England,<=50K
89.976204,Local-gov,189768.86,Assoc-acdm,11.974041,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,-17.338396,-0.76337236,19.809277,Philippines,<=50K
85.52128,Self-emp-not-inc,166476.42,HS-grad,9.00711,Widowed,Sales,Not-in-family,White,Female,-20.011492,-1.3822078,50.073154,United-States,<=50K
57.004494,Private,349371.47,1st-4th,2.019573,Divorced,Craft-repair,Unmarried,White,Male,-4.530291,-1.8107661,40.009495,Portugal,<=50K
63.931873,?,380940.3,Bachelors,12.964003,Married-civ-spouse,?,Wife,Black,Female,0.023053747,0.02648361,7.698224,United-States,<=50K
70.48777,Self-emp-not-inc,494641.28,Some-college,10.003747,Separated,Sales,Unmarried,Black,Male,1.5359932,1810.4556,1.9673699,United-States,<=50K
39.105812,Self-emp-not-inc,161979.3,Doctorate,15.915617,Divorced,Adm-clerical,Other-relative,Other,Male,4.5300117,0.952509,39.980587,?,<=50K
45.1104,Private,83846.21,1st-4th,1.9626464,Married-civ-spouse,Other-service,Wife,White,Female,-4.0117364,0.15731247,24.91198,El-Salvador,<=50K
36.383236,Self-emp-not-inc,226048.38,HS-grad,9.1509695,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,42298.133,-15.166677,87.921135,South,<=50K
69.17654,Private,370296.28,Assoc-acdm,11.978805,Divorced,Adm-clerical,Not-in-family,White,Female,2771.792,-0.7572536,5.399934,Germany,<=50K
40.050953,Private,569115.25,Preschool,1.0125788,Married-civ-spouse,Other-service,Husband,White,Male,18.23802,1665.0645,39.937645,Mexico,<=50K
73.946014,Self-emp-not-inc,51527.58,12th,8.012566,Married-civ-spouse,Other-service,Husband,White,Male,1391.0148,-0.082944795,19.856312,Canada,<=50K
18.026196,?,253097.77,11th,6.9843526,Never-married,?,Own-child,Black,Male,11.289534,1619.7775,47.68916,United-States,<=50K
77.017494,Private,310446.88,Assoc-acdm,11.964412,Married-civ-spouse,Prof-specialty,Husband,White,Male,-11.1134205,1411.9187,2.142041,United-States,<=50K
57.789673,State-gov,136200.4,HS-grad,9.0011215,Married-spouse-absent,Other-service,Unmarried,Black,Female,-3.2739434,0.4432393,39.96706,Honduras,<=50K
89.81064,Private,51456.188,HS-grad,9.012365,Never-married,Other-service,Not-in-family,Black,Male,-3.4217706,2206.453,40.067066,United-States,<=50K
56.838215,Private,61813.812,5th-6th,2.977875,Separated,Machine-op-inspct,Other-relative,White,Female,-1.5221123,-0.73030657,40.006233,Ecuador,<=50K
48.94963,Private,171125.2,10th,6.001624,Separated,Exec-managerial,Not-in-family,Black,Male,4408.593,-1.1970423,98.56518,United-States,<=50K
50.01527,Private,181757.89,HS-grad,8.9903755,Separated,Prof-specialty,Unmarried,Other,Female,2.2381415,-0.14859574,59.97594,Puerto-Rico,<=50K
57.134163,Self-emp-not-inc,21044.125,Masters,13.984244,Married-civ-spouse,Sales,Husband,White,Male,-13.232317,2129.512,70.11432,United-States,<=50K
23.044924,Self-emp-not-inc,408875.88,1st-4th,2.0456312,Married-civ-spouse,Sales,Other-relative,White,Male,8.0532055,0.12639053,39.97744,United-States,<=50K
24.00368,State-gov,94008.625,Some-college,9.993476,Never-married,Other-service,Not-in-family,White,Female,-2.4095635,0.6382924,39.94367,Canada,<=50K
79.89874,Private,159361.36,1st-4th,2.000837,Separated,Prof-specialty,Not-in-family,Black,Male,-2.2705255,-1.2990168,15.232303,United-States,<=50K
47.169212,Private,116850.65,Bachelors,12.998478,Divorced,Prof-specialty,Unmarried,White,Female,0.80186236,-0.3692073,4.0048,France,<=50K
40.176243,Self-emp-not-inc,818339.7,9th,4.979237,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,-11.056414,0.6072789,20.033552,United-States,<=50K
38.013256,Local-gov,140648.44,HS-grad,9.007149,Married-civ-spouse,Protective-serv,Husband,White,Male,-2.8283868,0.29353532,40.03462,United-States,>50K
45.05368,Self-emp-inc,102262.38,Bachelors,12.985361,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,100319.1,33.63225,24.648153,?,>50K
25.972658,Private,297941.47,Bachelors,12.989006,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Female,3.145246,1978.0275,74.71542,Cambodia,>50K
32.9882,State-gov,161986.38,Some-college,10.0025835,Divorced,Other-service,Unmarried,White,Female,8.234968,0.45958146,98.5894,United-States,>50K
73.81476,State-gov,89947.16,Doctorate,15.917469,Never-married,Prof-specialty,Other-relative,White,Female,-0.08217087,3642.622,19.902807,United-States,>50K
72.952545,Self-emp-not-inc,195619.28,Bachelors,12.994927,Widowed,Craft-repair,Not-in-family,White,Male,15434.288,-2.9132137,7.4007235,Germany,>50K
51.26568,Self-emp-not-inc,116816.914,Prof-school,15.01906,Married-civ-spouse,Prof-specialty,Husband,Other,Male,99877.91,27.9811,69.36965,India,>50K
46.095642,Federal-gov,307971.7,Prof-school,14.981565,Separated,Prof-specialty,Unmarried,White,Female,12.381941,0.5891667,39.974113,Germany,>50K
28.966356,Self-emp-not-inc,341242.4,HS-grad,8.979223,Married-spouse-absent,Transport-moving,Other-relative,Asian-Pac-Islander,Male,7.3528876,1559.6222,49.97864,India,>50K
