age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
35.67996,Private,358152.16,Bachelors,11.235612,Never-married,Prof-specialty,Husband,White,Male,26.855572,-2.0349743,73.00809,United-States,<=50K
37.220634,Private,150199.88,Bachelors,9.250742,Married-civ-spouse,Adm-clerical,Wife,White,Female,45.67442,-4.868417,37.77083,United-States,<=50K
44.970924,Self-emp-not-inc,147838.45,HS-grad,9.304644,Married-civ-spouse,Craft-repair,Husband,White,Male,81.28282,3.3489597,40.911404,United-States,<=50K
28.320854,Private,295905.78,Bachelors,12.944805,Never-married,Exec-managerial,Not-in-family,White,Male,20.350445,-1.9551784,40.887993,United-States,<=50K
41.162315,Private,144954.33,HS-grad,9.53361,Divorced,Adm-clerical,Unmarried,White,Female,68.69969,-2.4612134,39.22393,United-States,<=50K
38.01284,Private,136271.72,HS-grad,9.039688,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-10.395648,-2.8636868,79.23203,United-States,<=50K
49.411076,Self-emp-inc,188615.34,7th-8th,4.8219833,Married-civ-spouse,Farming-fishing,Husband,White,Male,21.916851,0.26519665,44.218147,United-States,<=50K
45.76689,Local-gov,169506.16,Bachelors,13.607474,Divorced,Prof-specialty,Unmarried,White,Female,199.30785,-2.4365628,42.964493,United-States,<=50K
20.421041,?,172426.6,10th,6.1124196,Never-married,?,Own-child,White,Female,-106.03627,-10.540284,31.703777,United-States,<=50K
24.764893,Private,80684.17,HS-grad,9.03637,Never-married,Craft-repair,Own-child,White,Male,-19.499897,-6.0865793,40.240067,United-States,<=50K
25.132557,Private,320638.06,Some-college,10.06863,Never-married,Adm-clerical,Not-in-family,White,Female,56.497906,-6.6624002,34.358753,United-States,<=50K
36.80001,Private,157845.61,Bachelors,12.307894,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,143.81761,3.8929203,42.863598,Mexico,<=50K
23.204147,Private,459967.84,Some-college,9.677582,Never-married,Handlers-cleaners,Own-child,White,Male,16.103374,-6.824006,35.387695,United-States,<=50K
21.87583,Private,191742.6,Some-college,10.01682,Never-married,Handlers-cleaners,Own-child,White,Male,-39.38686,-6.4684,28.831179,United-States,<=50K
45.14913,Private,159963.33,HS-grad,9.443187,Divorced,Adm-clerical,Not-in-family,White,Female,54.4481,-0.4076778,38.25151,United-States,<=50K
