age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
43.995117,State-gov,108187.766,Doctorate,16.017948,Married-civ-spouse,Prof-specialty,Husband,White,Male,4969.601,3.907912,59.967777,United-States,<=50K
54.999516,Local-gov,175634.52,Masters,13.996877,Married-civ-spouse,Prof-specialty,Wife,White,Female,-25.989887,2265.0884,40.000874,United-States,<=50K
50.960106,Private,122886.88,Masters,14.005927,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,4799.8164,1.4723347,39.993996,India,<=50K
49.975124,Self-emp-not-inc,176727.69,Doctorate,16.018103,Married-civ-spouse,Prof-specialty,Husband,White,Male,3809.533,6.1188345,39.912376,United-States,<=50K
47.912716,Private,248233.92,Bachelors,13.000675,Married-civ-spouse,Exec-managerial,Husband,White,Male,5008.8896,2.6258304,44.996735,United-States,<=50K
44.93703,Private,120592.72,Masters,14.00037,Married-civ-spouse,Exec-managerial,Husband,White,Male,4392.258,1.4493626,39.966625,United-States,<=50K
35.95867,Private,84005.69,Bachelors,12.996321,Married-civ-spouse,Exec-managerial,Husband,White,Male,4991.3193,3.161513,50.019283,United-States,<=50K
44.97757,Private,357180.66,Bachelors,13.003804,Married-civ-spouse,Sales,Husband,White,Male,-34.5602,2012.7245,55.080006,United-States,<=50K
41.920185,Private,230789.45,Bachelors,13.002447,Married-civ-spouse,Prof-specialty,Husband,White,Male,5019.0376,1.7260731,39.97891,United-States,<=50K
45.966286,Private,245504.36,Bachelors,13.000538,Married-civ-spouse,Exec-managerial,Husband,White,Male,3752.0312,2.6092517,43.99631,United-States,<=50K
37.919445,Federal-gov,122321.484,Bachelors,12.999134,Married-civ-spouse,Prof-specialty,Husband,White,Male,4174.925,4.5840445,39.988068,United-States,<=50K
32.940594,Self-emp-inc,238936.1,Doctorate,16.0129,Married-civ-spouse,Prof-specialty,Husband,White,Male,-8.610492,3.6185825,59.956863,United-States,<=50K
46.94151,Private,192877.05,Doctorate,16.010656,Married-civ-spouse,Sales,Husband,White,Male,-84.043594,-1.4612514,59.980026,United-States,<=50K
56.977943,Private,264846.03,Prof-school,15.015584,Married-civ-spouse,Prof-specialty,Husband,White,Male,-21.407368,-0.76304734,60.013683,United-States,<=50K
27.936018,Self-emp-inc,219438.36,Bachelors,13.000943,Married-civ-spouse,Exec-managerial,Husband,White,Male,5026.7715,5.1738806,55.064217,United-States,<=50K
34.878304,Private,166743.44,Bachelors,13.001378,Married-civ-spouse,Prof-specialty,Husband,White,Male,5027.24,2.251456,39.970142,United-States,<=50K
