age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
25.982065,Private,164240.45,Masters,13.979034,Married-civ-spouse,Prof-specialty,Husband,White,Male,-40.470356,1875.7773,39.987938,United-States,>50K
50.95023,Private,915663.6,HS-grad,8.992537,Divorced,Craft-repair,Not-in-family,White,Male,-69.20351,1.8033665,49.9598,United-States,<=50K
32.942947,Private,228232.53,1st-4th,2.137816,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,-87.93837,2619.9436,31.90854,Mexico,<=50K
44.867855,Private,172226.03,11th,7.004914,Divorced,Transport-moving,Not-in-family,White,Male,-59.27651,2830.8884,76.46732,United-States,>50K
34.96507,Private,954148.44,HS-grad,8.989402,Married-civ-spouse,Exec-managerial,Wife,White,Female,-116.73012,2.9582584,39.9812,United-States,>50K
28.997543,Private,492287.78,Some-college,9.98417,Married-civ-spouse,Transport-moving,Husband,White,Male,-49.299946,-0.77493393,45.032063,United-States,>50K
54.075695,Self-emp-inc,51872.09,7th-8th,3.994598,Married-civ-spouse,Transport-moving,Husband,White,Male,53.223736,-4.352334,70.09646,United-States,<=50K
55.602467,Private,136688.39,HS-grad,9.027452,Married-civ-spouse,Transport-moving,Husband,Black,Male,3389.5398,-2.8859417,39.762,Jamaica,<=50K
42.148468,Self-emp-inc,126869.23,1st-4th,1.9435438,Married-civ-spouse,Sales,Husband,White,Male,142.29295,-5.1660395,60.01426,?,<=50K
37.032196,Self-emp-not-inc,52672.965,HS-grad,9.001159,Married-civ-spouse,Transport-moving,Husband,White,Male,19.072369,-2.006059,74.882645,United-States,<=50K
37.95462,Private,149991.75,10th,6.074208,Separated,Adm-clerical,Unmarried,White,Male,-45.97475,3555.3003,39.963577,United-States,<=50K
30.004955,Private,144569.11,Bachelors,12.989337,Never-married,Adm-clerical,Own-child,White,Male,-34.34389,2580.718,39.972023,United-States,>50K
54.97393,?,226475.84,Assoc-acdm,12.002198,Married-spouse-absent,?,Not-in-family,White,Female,-5.145404,-3.275285,4.879364,United-States,<=50K
31.028936,Private,332364.9,Some-college,9.9980135,Married-spouse-absent,Transport-moving,Unmarried,White,Male,40.812115,-4.75953,49.974358,United-States,<=50K
39.018883,Local-gov,357403.56,Assoc-acdm,11.995316,Divorced,Prof-specialty,Not-in-family,White,Male,8.036725,-3.127969,59.202892,United-States,<=50K
60.947033,Private,159873.1,7th-8th,4.0398555,Married-civ-spouse,Craft-repair,Husband,White,Male,7634.0234,9.329955,39.973034,Poland,>50K
35.02978,Private,164742.47,HS-grad,9.001923,Married-civ-spouse,Other-service,Husband,White,Male,35.882183,-3.4522107,39.9472,Yugoslavia,>50K
31.082058,Private,185319.08,Some-college,10.046783,Married-civ-spouse,Exec-managerial,Husband,White,Male,167.57005,-0.83406174,50.088596,Jamaica,>50K
47.042984,Self-emp-inc,247908.45,5th-6th,2.9737992,Married-civ-spouse,Transport-moving,Husband,White,Male,17.406597,-2.4033597,49.99861,Cuba,<=50K
60.0268,?,384270.75,Bachelors,13.001155,Married-spouse-absent,?,Unmarried,Black,Female,-17.193256,-1.8846217,14.902544,United-States,<=50K
33.007355,Private,495988.78,HS-grad,8.994627,Married-civ-spouse,Prof-specialty,Husband,White,Male,-19.020649,-1.8289043,88.39133,United-States,<=50K
50.900177,Federal-gov,377607.6,HS-grad,8.987056,Divorced,Adm-clerical,Unmarried,White,Female,-75.75453,1972.0011,39.98959,United-States,<=50K
55.924595,Private,438373.6,9th,5.0040736,Married-civ-spouse,Sales,Husband,White,Male,-54.564106,-0.25766864,40.016262,United-States,<=50K
52.967087,Local-gov,606356.6,HS-grad,8.991668,Married-civ-spouse,Transport-moving,Husband,Black,Male,-41.331196,-1.5312129,39.977085,United-States,>50K
56.232983,Self-emp-inc,78589.93,HS-grad,9.010001,Married-civ-spouse,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,52.5294,-0.9414607,20.791405,China,<=50K
