age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39.22682,Private,200225.95,HS-grad,9.476915,Married-civ-spouse,Exec-managerial,Husband,White,Male,239.57774,0.32099804,76.251305,United-States,<=50K
44.86212,Private,203808.0,Bachelors,13.256709,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,280.6666,84.089,39.50575,Iran,<=50K
30.754045,Private,225378.98,Bachelors,12.356608,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,-12.3895445,-0.72876084,39.704956,United-States,<=50K
64.7422,Private,142929.42,HS-grad,9.294145,Widowed,Other-service,Not-in-family,White,Female,142.51292,24.81465,28.353268,United-States,<=50K
45.436714,Private,172414.33,HS-grad,9.005396,Divorced,Adm-clerical,Not-in-family,White,Female,-10.815326,-0.80153763,37.7593,United-States,<=50K
32.55566,Private,173204.92,HS-grad,9.169792,Never-married,Exec-managerial,Not-in-family,White,Female,87.24388,-0.6223308,41.072586,United-States,<=50K
36.191074,Private,190469.44,Some-college,9.1058855,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,203.91856,-1.1870128,39.926594,?,<=50K
29.60703,Private,155114.16,Bachelors,11.9780655,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,-4.2210875,-2.5478833,39.257442,Philippines,<=50K
34.175026,Private,298479.34,5th-6th,4.073856,Married-civ-spouse,Craft-repair,Husband,White,Male,282.40097,-0.120194584,42.1155,Mexico,<=50K
43.98829,Local-gov,204710.58,Masters,14.001817,Married-civ-spouse,Prof-specialty,Husband,White,Male,110.09874,-1.3380214,44.034492,United-States,<=50K
59.71101,Private,175185.73,5th-6th,4.922503,Widowed,Other-service,Unmarried,Black,Female,-5.520648,-0.8179103,36.109283,United-States,<=50K
54.70572,Private,175653.0,HS-grad,9.991212,Widowed,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,3.4717836,-2.6133816,43.446632,Philippines,<=50K
37.01161,Private,180765.33,Masters,13.703442,Never-married,Prof-specialty,Not-in-family,White,Male,137.3657,-0.89955246,43.18605,United-States,<=50K
36.56283,Private,191522.98,Bachelors,13.518204,Never-married,Prof-specialty,Not-in-family,White,Female,-10.660052,1868.7501,40.225433,United-States,<=50K
32.148235,State-gov,174391.2,Bachelors,13.122498,Never-married,Prof-specialty,Not-in-family,White,Male,41.577496,-0.40878406,38.52375,United-States,<=50K
37.1296,Federal-gov,195625.5,Bachelors,13.275209,Never-married,Prof-specialty,Not-in-family,Black,Female,142.31212,-0.96573746,39.578804,United-States,<=50K
36.107857,Private,280720.6,Bachelors,12.408177,Married-civ-spouse,Transport-moving,Husband,White,Male,-11.667132,-1.249322,36.617542,Mexico,<=50K
36.6772,Private,201444.16,Preschool,9.34293,Separated,Machine-op-inspct,Not-in-family,White,Male,78.538925,-0.7681056,42.426712,United-States,<=50K
27.537916,Local-gov,197621.33,11th,9.435047,Never-married,Prof-specialty,Own-child,White,Female,121.52232,31.62538,27.557074,United-States,<=50K
39.075752,Self-emp-not-inc,134100.7,Some-college,9.678217,Married-civ-spouse,Other-service,Wife,White,Female,145.06883,-2.0525677,35.440075,United-States,<=50K
40.41932,Private,257974.17,HS-grad,9.461173,Married-civ-spouse,Transport-moving,Husband,Black,Male,210.94505,-1.2052089,41.985985,United-States,<=50K
44.038815,Private,164316.36,Some-college,10.033332,Divorced,Sales,Unmarried,White,Female,30.222515,-1.8233272,41.656693,Scotland,<=50K
41.58554,Private,156109.98,12th,7.992926,Divorced,Farming-fishing,Not-in-family,White,Male,15.566754,-1.1847392,37.330307,United-States,<=50K
30.86356,Private,205593.4,10th,5.365916,Never-married,Transport-moving,Not-in-family,White,Male,338.41,0.5350026,43.667156,United-States,<=50K
22.412714,Private,196295.05,Some-college,9.547525,Never-married,Armed-Forces,Own-child,Black,Male,135.31859,-1.1897441,30.928244,United-States,<=50K
43.977028,Self-emp-not-inc,162677.39,HS-grad,9.404931,Married-civ-spouse,Craft-repair,Husband,White,Male,216.05418,-1.089677,39.056072,United-States,<=50K
35.719376,Private,193865.42,HS-grad,9.593428,Separated,Adm-clerical,Unmarried,White,Female,-10.415912,-0.87681687,37.466972,United-States,<=50K
35.604786,Private,163278.52,Some-college,10.001333,Married-civ-spouse,Farming-fishing,Husband,White,Male,151.93773,-1.6313869,39.002815,United-States,<=50K
