age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
34.97804,Self-emp-inc,338715.06,HS-grad,9.000726,Married-civ-spouse,Exec-managerial,Husband,White,Male,-34.435444,-0.646783,49.97703,United-States,>50K
27.911154,Private,605307.94,Doctorate,15.955178,Never-married,Prof-specialty,Not-in-family,White,Female,-9.428119,-1.0219051,59.98813,Germany,>50K
58.819244,Self-emp-inc,109217.945,10th,6.0362844,Widowed,Exec-managerial,Unmarried,White,Female,-41.94399,2536.7312,49.950726,United-States,>50K
78.54192,Federal-gov,64586.176,Doctorate,15.9411745,Widowed,Exec-managerial,Not-in-family,White,Male,-25.955708,0.06401715,6.1147537,United-States,>50K
72.60341,Private,572091.94,Some-college,10.020447,Married-civ-spouse,Prof-specialty,Husband,White,Male,-25.370747,-0.81677353,15.060259,United-States,<=50K
32.99007,Self-emp-not-inc,279839.44,HS-grad,9.005978,Married-civ-spouse,Farming-fishing,Husband,White,Male,-49.278217,-1.6583339,94.021286,United-States,<=50K
74.54545,Self-emp-not-inc,193675.34,Masters,13.991225,Widowed,Sales,Not-in-family,White,Male,-40.329243,-1.6664134,45.01413,United-States,<=50K
35.991222,State-gov,138789.44,Assoc-voc,11.020443,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,-24.70937,0.49821362,36.938892,Hong,<=50K
65.96689,Private,195334.67,11th,7.02594,Married-civ-spouse,Exec-managerial,Husband,White,Male,-26.441303,2342.451,2.1316493,United-States,>50K
45.846996,Private,140429.77,7th-8th,4.0989785,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,-30.493793,1625.8168,39.973034,China,<=50K
31.079872,Private,310777.9,Masters,13.991481,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,20.673199,0.19956097,6.200695,South,<=50K
66.83003,Private,120441.15,Bachelors,13.001749,Divorced,Exec-managerial,Not-in-family,White,Female,-33.91811,2175.623,5.0643425,United-States,<=50K
31.031187,Private,125898.61,Masters,13.990995,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,-17.386616,-0.017060425,59.979977,India,>50K
54.726646,Federal-gov,175642.88,Bachelors,12.9971,Separated,Other-service,Unmarried,White,Female,-37.227924,-1.536668,72.06591,?,<=50K
26.027718,Local-gov,337560.38,Bachelors,13.008241,Married-civ-spouse,Prof-specialty,Husband,White,Male,-42.82265,-0.6727077,28.049671,El-Salvador,<=50K
37.970074,Private,152104.6,10th,6.031487,Separated,Adm-clerical,Unmarried,White,Male,-32.96816,3717.8962,39.955856,United-States,<=50K
42.811214,Private,214608.72,HS-grad,9.007876,Married-AF-spouse,Craft-repair,Wife,Black,Female,-30.55605,-0.67173874,41.98879,United-States,>50K
41.862648,Local-gov,195846.14,11th,7.0357976,Divorced,Sales,Unmarried,White,Male,7506.6953,-1.1819545,50.042606,Puerto-Rico,>50K
77.50712,?,35899.043,7th-8th,4.0871882,Married-civ-spouse,?,Husband,White,Male,-19.670307,-1.1871272,60.084717,United-States,<=50K
89.376335,Private,54375.62,Masters,13.990456,Never-married,Exec-managerial,Not-in-family,Black,Male,-30.08437,-1.2875301,49.96523,United-States,>50K
35.984932,Self-emp-not-inc,343926.53,Doctorate,15.9599,Never-married,Prof-specialty,Not-in-family,White,Male,-41.05776,-0.48565784,29.98609,?,>50K
89.39493,Private,311206.44,Bachelors,13.005425,Married-civ-spouse,Sales,Husband,White,Male,-48.464497,-0.79766953,20.270727,?,<=50K
42.774715,Federal-gov,212847.06,Doctorate,15.947715,Separated,Prof-specialty,Unmarried,Black,Female,-39.908344,-0.9865428,24.134459,United-States,>50K
25.083828,Private,112510.984,Assoc-acdm,12.021358,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,-19.904194,-0.34488025,36.978466,India,>50K
59.782883,Self-emp-not-inc,90341.07,Assoc-voc,11.018011,Married-civ-spouse,Transport-moving,Wife,White,Female,-26.002583,-0.7247859,15.049654,Germany,>50K
27.99828,State-gov,182820.61,Bachelors,12.999833,Never-married,Prof-specialty,Not-in-family,White,Female,-46.563618,1854.8475,70.08496,United-States,<=50K
50.85711,Private,180453.17,HS-grad,9.007668,Widowed,Exec-managerial,Not-in-family,White,Female,3356.2468,-1.4704906,39.98591,Yugoslavia,<=50K
27.030823,?,131201.77,Assoc-voc,11.028171,Married-civ-spouse,?,Wife,Amer-Indian-Eskimo,Female,-23.347553,-0.56218064,39.964554,United-States,>50K
67.70663,Self-emp-inc,505290.53,Bachelors,13.0012455,Separated,Sales,Unmarried,White,Male,-42.352192,-1.4111339,69.9958,Canada,<=50K
22.984545,Private,113286.35,HS-grad,9.01542,Married-civ-spouse,Exec-managerial,Husband,White,Male,-28.25063,1547.2817,39.98353,United-States,<=50K
27.107128,Private,35264.06,Some-college,10.026574,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,-19.943745,-0.8835231,55.03511,South,<=50K
35.986156,Local-gov,132122.78,HS-grad,9.006643,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,-26.27602,-0.25891986,39.980354,China,>50K
33.070362,Local-gov,282069.5,Bachelors,13.006281,Never-married,Tech-support,Not-in-family,Black,Male,-35.040913,1540.8582,51.949448,United-States,>50K
61.774902,?,98745.695,Some-college,10.0130825,Married-civ-spouse,?,Wife,White,Female,-23.417622,-0.53176224,1.2275316,United-States,<=50K
50.61217,Private,909456.3,HS-grad,9.011288,Divorced,Craft-repair,Not-in-family,White,Male,135.69493,-1.02839,49.949203,United-States,<=50K
40.845997,?,254282.27,Assoc-voc,11.0231285,Divorced,?,Not-in-family,White,Male,-28.88393,-0.9254848,80.13011,United-States,<=50K
64.76065,Federal-gov,190833.64,Some-college,10.026682,Widowed,Adm-clerical,Not-in-family,White,Male,-31.236225,1924.1495,20.033812,Poland,<=50K
40.899082,Private,439979.22,5th-6th,3.069363,Married-civ-spouse,Farming-fishing,Husband,White,Male,3386.7488,-1.9988948,39.951942,Mexico,<=50K
45.874172,Private,147131.19,Bachelors,12.9909115,Divorced,Machine-op-inspct,Other-relative,White,Male,-45.447163,2234.0588,49.95082,Dominican-Republic,<=50K
70.652435,Private,197451.16,7th-8th,4.0901785,Widowed,Exec-managerial,Not-in-family,White,Male,6149.817,-1.6946651,39.979233,United-States,>50K
40.849415,Private,24885.918,9th,5.0459504,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,-22.351948,-1.5422374,84.043884,United-States,<=50K
26.970667,Private,157219.52,Some-college,10.021293,Married-civ-spouse,Adm-clerical,Wife,Black,Female,-39.36147,2351.2578,20.000648,United-States,<=50K
43.83325,Local-gov,103844.65,Prof-school,14.970956,Separated,Prof-specialty,Unmarried,White,Female,-22.940815,-0.29052845,39.994232,United-States,<=50K
53.770103,Private,343661.62,Bachelors,13.001255,Widowed,Adm-clerical,Not-in-family,White,Female,-30.867573,-1.2708141,79.98774,United-States,>50K
52.841362,Private,153954.44,5th-6th,3.069034,Married-civ-spouse,Exec-managerial,Husband,White,Male,7655.727,-1.3089076,10.059666,Yugoslavia,>50K
49.86853,Private,334562.12,Prof-school,14.972525,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,-35.947407,1572.0651,25.01411,China,<=50K
49.8942,Private,87935.03,Assoc-voc,11.022454,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,-26.426167,-0.9873363,37.988037,United-States,>50K
39.927982,Private,139008.22,Masters,13.995525,Married-spouse-absent,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,-24.86977,-0.5969783,34.982815,India,>50K
30.025637,Private,208718.67,Bachelors,13.00525,Never-married,Tech-support,Not-in-family,White,Male,-18.937885,-1.0932018,60.107937,Hungary,<=50K
26.95204,State-gov,206387.6,Doctorate,15.954291,Never-married,Prof-specialty,Not-in-family,White,Male,-36.381,-0.94844925,77.10202,United-States,<=50K
46.877804,Self-emp-not-inc,191858.58,5th-6th,3.0685205,Married-civ-spouse,Sales,Husband,White,Male,-49.91274,2159.3467,50.002884,Mexico,<=50K
65.71674,Local-gov,223317.77,Some-college,10.031967,Divorced,Other-service,Other-relative,White,Female,7858.784,-0.8936397,39.96643,?,>50K
46.808937,Self-emp-not-inc,190796.64,Some-college,10.012875,Married-civ-spouse,Craft-repair,Husband,White,Male,-24.739887,-0.010232118,39.99147,Iran,>50K
77.64243,?,93127.85,Bachelors,13.005976,Married-civ-spouse,?,Husband,White,Male,-22.884907,-0.87317765,3.041077,United-States,<=50K
63.815598,Self-emp-not-inc,160952.6,HS-grad,9.010632,Married-civ-spouse,Craft-repair,Husband,White,Male,2663.6782,-1.3852092,24.037409,Italy,<=50K
52.869244,Private,249356.95,Assoc-voc,11.027017,Divorced,Craft-repair,Not-in-family,White,Male,-27.58437,-1.2183391,40.00157,Cuba,>50K
65.651436,Self-emp-inc,76144.945,HS-grad,9.009234,Widowed,Exec-managerial,Not-in-family,White,Male,-34.870502,-2.0185711,86.02039,United-States,>50K
36.968815,State-gov,69675.33,Some-college,10.035657,Married-civ-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,-25.336323,-0.53147995,39.96561,Cambodia,<=50K
45.87433,Self-emp-not-inc,112042.64,7th-8th,4.0572367,Married-civ-spouse,Exec-managerial,Husband,White,Male,-18.203022,-0.7918712,75.043465,Greece,<=50K
33.005184,Private,28193.871,Assoc-acdm,12.018651,Married-civ-spouse,Sales,Husband,Other,Male,-20.080952,-0.76014817,39.972443,Japan,>50K
38.945576,Private,164286.12,HS-grad,9.012661,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,-40.447407,-0.6453029,26.007687,?,<=50K
28.039381,Local-gov,337318.8,Assoc-acdm,12.015194,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,-19.992085,0.6040181,39.968796,Hong,>50K
29.990917,Federal-gov,356162.94,Bachelors,13.005358,Married-civ-spouse,Adm-clerical,Husband,White,Male,-35.985493,-0.85498154,29.956598,Japan,<=50K
27.004726,Federal-gov,508481.5,Bachelors,12.998321,Never-married,Exec-managerial,Not-in-family,Black,Male,-30.427631,-1.2592174,47.953465,United-States,<=50K
