age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
25.390215,Private,397625.53,HS-grad,8.995586,Never-married,Craft-repair,Own-child,White,Male,76.30028,-0.14276233,39.867756,United-States,<=50K
49.814045,Private,93717.15,HS-grad,8.994417,Divorced,Handlers-cleaners,Not-in-family,White,Male,32.941753,-0.35716358,41.781197,United-States,<=50K
58.28095,Self-emp-not-inc,228361.81,10th,5.9725533,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,56.99571,0.61641586,39.956245,United-States,<=50K
45.97557,Private,178271.17,HS-grad,8.998239,Separated,Adm-clerical,Own-child,White,Female,30.707623,-0.15652576,39.967396,United-States,<=50K
30.034437,Private,149339.25,Assoc-voc,10.997206,Never-married,Prof-specialty,Not-in-family,White,Female,87.25401,-0.08016315,36.30929,United-States,<=50K
52.367573,Private,143180.34,Some-college,9.997517,Married-civ-spouse,Sales,Husband,White,Male,1.3660707,-0.5208446,42.997093,United-States,<=50K
31.033014,Private,173725.08,11th,7.0352936,Married-civ-spouse,Craft-repair,Husband,White,Male,1315.7614,0.7329701,27.739538,United-States,<=50K
30.022001,Private,136364.34,Assoc-acdm,12.010243,Married-civ-spouse,Sales,Own-child,White,Female,78.554794,-0.6318828,17.46077,United-States,<=50K
26.859886,State-gov,129727.72,Bachelors,13.0031185,Married-civ-spouse,Tech-support,Husband,White,Male,38.72984,-0.6050502,20.157011,United-States,<=50K
19.330254,Private,175988.9,Some-college,9.985896,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,56.33775,-0.280183,25.117369,United-States,<=50K
39.546665,Private,186877.34,HS-grad,8.999718,Married-civ-spouse,Prof-specialty,Wife,White,Female,918.18225,-0.22344318,37.828983,United-States,<=50K
63.621376,Local-gov,38932.387,10th,5.4574037,Married-civ-spouse,Transport-moving,Husband,White,Male,88.058945,1.2422704,33.99274,United-States,<=50K
24.683231,Private,97654.69,HS-grad,8.992006,Never-married,Craft-repair,Not-in-family,White,Male,71.45897,-0.12075916,42.96953,United-States,<=50K
38.090073,Private,293536.47,HS-grad,8.984541,Divorced,Machine-op-inspct,Unmarried,White,Female,49.57359,-0.3291866,41.563103,Mexico,<=50K
38.494896,Self-emp-not-inc,103412.55,HS-grad,8.988272,Married-civ-spouse,Exec-managerial,Husband,White,Male,-10.716693,-0.55774796,53.58498,United-States,<=50K
30.298399,Private,322569.53,Assoc-acdm,12.01199,Married-civ-spouse,Craft-repair,Husband,White,Male,2292.22,-0.89477646,54.84846,United-States,<=50K
22.658873,Private,551873.1,HS-grad,9.489321,Never-married,Other-service,Own-child,Black,Male,106.448715,0.31969342,39.900497,United-States,<=50K
49.266186,Self-emp-not-inc,170104.73,Masters,13.9981165,Married-civ-spouse,Prof-specialty,Husband,White,Male,9.900739,-0.6551982,39.995995,United-States,<=50K
53.343254,Self-emp-inc,126461.3,HS-grad,8.998217,Married-civ-spouse,Exec-managerial,Husband,White,Male,-54.229633,-0.4775783,74.60778,United-States,<=50K
38.95369,Private,232655.19,Bachelors,12.996693,Never-married,Sales,Unmarried,Black,Male,54.85557,-0.73353684,39.888447,United-States,<=50K
35.131935,Self-emp-not-inc,260071.03,Bachelors,12.9927435,Never-married,Sales,Not-in-family,White,Female,43.71446,-0.754861,40.93477,United-States,<=50K
