X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
143436.56,2,1,2,26.140194,0,0,-2,2,-2,0,114827.89,22380.096,34113.16,6825.7266,-629.23376,5096.801,-4448.502,3617.793,5985.298,-2482.4077,-259.59607,7130.2275,0
-27849.8,2,1,3,41.409866,-1,2,0,2,5,0,139153.27,140202.23,78837.7,126318.86,131786.53,78609.31,23506.018,-39999.418,27852.115,986.3942,18722.727,-22787.879,0
44896.74,1,3,1,47.981335,0,0,0,0,-1,0,232314.38,164992.48,147824.12,-7899.25,156859.58,85992.805,-3726.1921,-13224.802,13396.526,110933.69,16259.552,1373.5367,0
100636.96,2,1,2,47.35918,0,0,0,0,0,0,221053.31,228708.73,157140.52,225300.25,135789.3,119504.57,23277.07,-8978.522,64315.117,20254.6,10553.008,-41090.76,0
-44501.99,1,2,1,43.393124,1,2,0,0,0,0,-14157.41,189864.75,15154.112,9316.457,70991.82,7625.3457,38684.383,-3095.193,8589.5625,3238.8103,18894.549,-24915.701,0
108060.5,2,1,1,44.16543,1,0,0,0,0,0,180789.5,154269.6,75791.35,89154.97,122370.15,100315.86,3510.5645,-3870.1858,8887.492,41951.95,74408.34,-13559.853,0
110012.16,2,2,2,44.774036,-2,2,-2,2,0,0,-10338.777,4311.885,-30794.287,96649.8,68087.03,96108.055,7393.24,2328.347,54396.77,-4937.2524,52913.742,-18559.605,0
147551.11,2,2,1,38.70863,0,-2,-2,0,0,0,4951.8164,83952.27,40306.277,14639.074,12536.179,-252.12103,-188.99838,5887.2725,6036.0977,-6017.1763,680.80286,-69000.07,0
147150.22,1,1,1,42.339043,0,0,0,0,0,0,191097.58,212935.66,151692.17,277618.7,142810.38,144469.22,7558.982,-3488.0989,14277.624,3116.3171,-2285.5872,-3047.5854,0
122856.23,2,1,2,45.367226,-2,-2,2,0,-1,0,38055.805,156577.27,46195.906,95637.71,60125.688,8273.281,39227.83,-2462.3127,29469.512,20340.016,9321.927,-30681.25,0
176768.86,1,2,1,43.17228,0,0,0,0,-1,0,100510.01,117789.664,80940.82,6000.7734,67250.98,114944.74,11376.812,15.131704,7025.956,3538.124,70399.11,-12622.677,0
140605.16,2,1,2,43.875355,0,0,0,0,0,0,125537.516,151910.58,135088.17,199060.73,131534.16,132102.7,22533.414,-1890.2003,17907.531,22598.785,52755.305,-59258.844,0
68942.01,2,1,1,46.967754,2,-2,-2,0,0,0,83646.07,21509.377,-52218.91,7905.004,160554.9,93065.85,1540.289,-2907.694,19803.932,84424.695,7387.608,908.8651,0
128787.49,2,1,1,42.948315,2,-2,2,0,0,0,151816.11,7228.58,16794.756,191417.38,128953.33,105422.06,1829.6464,3930.2783,61836.69,227.90034,4806.322,-12304.147,0
131517.75,2,1,2,45.249645,1,-2,-1,0,0,0,6549.043,7812.8887,126806.38,168897.14,111620.17,1838.586,-3170.2341,-11874.833,7267.183,-9.219775,2960.0798,8036.9907,0
132836.75,2,2,2,24.91564,2,2,2,2,2,2,158675.8,190105.72,133877.55,210103.86,119008.945,118141.125,-1794.725,-1520.8849,13790.031,-1281.1177,-487.49695,-36788.035,0
127898.33,2,2,2,39.244556,0,0,-2,0,-1,0,197544.53,185361.52,5430.229,15161.818,113207.38,94274.64,-2024.3934,-5011.711,9737.648,47000.848,4226.5376,4041.231,0
143741.69,1,2,1,44.571636,0,0,0,0,-1,0,189918.11,158922.17,138348.75,45861.54,79084.35,3094.789,-2667.3777,-14581.487,25068.523,25876.33,-327.07263,-35332.367,0
141783.48,2,1,2,30.606754,1,2,0,0,-1,0,-26224.14,62615.816,31484.21,-3291.6409,10263.47,79645.75,-6183.963,2991.1213,7253.47,-3146.4038,50203.016,-31650.754,0
148139.38,1,2,2,29.788774,0,0,-2,2,0,0,160362.47,197354.53,37565.914,-362.75806,-7307.781,23056.248,-6411.1846,2637.464,5441.0225,-5620.0737,-6341.576,-54425.52,0
101789.51,2,2,1,40.57331,2,0,0,0,0,0,-20370.5,161782.28,109692.37,161890.17,112504.03,5039.09,39335.914,-9.462046,8655.626,1086.8816,3291.632,554.96545,0
122963.914,2,2,1,45.32662,0,-2,-2,0,0,0,154204.06,123577.836,117146.984,190828.8,70242.77,80843.664,46593.043,-17812.629,18681.531,2208.4854,56715.562,-27048.186,0
88667.92,2,3,1,45.288082,2,-2,-1,2,-1,0,-14670.504,5894.256,7787.4985,5078.3203,68189.08,34723.426,-3331.3123,-94.57337,6199.2773,39281.01,3585.845,2284.4927,0
112072.08,1,2,2,44.026756,0,0,0,0,0,0,159765.94,131023.49,114956.95,138892.42,125977.04,88363.13,-1548.0829,-10145.756,41412.324,2630.157,7417.2515,-838.2025,0
108053.02,1,2,1,45.108124,1,2,0,0,2,2,-24360.469,2617.9705,27041.9,5212.0977,14046.894,9208.113,-3313.1492,2213.1204,6560.601,-3722.8862,336.95862,4534.949,0
140369.17,2,1,1,43.239925,-2,-2,-2,2,0,0,-9550.707,24006.105,25649.207,5779.2344,27959.262,94769.125,3474.4995,3207.333,20990.637,-1134.1411,59420.277,-12603.058,0
123939.195,1,1,2,45.373375,-2,-2,-2,2,0,0,162539.77,139126.73,116669.09,8775.195,13038.632,2045.7814,43784.176,-5973.7354,7011.638,-710.81696,3947.4758,4733.9683,0
147453.44,1,2,1,45.246956,1,-2,-2,2,-2,0,-14067.453,24163.371,41607.734,663.4568,-3328.191,6638.246,-5702.1045,5646.074,4824.523,-3693.2861,-2934.4456,-28931.86,0
134301.48,1,2,1,40.916542,1,2,-2,2,0,0,173223.67,190034.23,136097.0,239129.9,129733.99,127696.88,4347.8286,-6497.128,6936.9927,-3345.253,95.53676,8644.753,0
150003.72,1,3,2,45.69772,0,0,0,0,0,0,146625.75,136815.69,128376.91,7753.2188,1327.1998,41825.863,-1846.6395,620.9408,6707.94,-13.408252,41769.227,5075.0166,0
162630.47,2,2,2,44.323326,0,0,0,0,0,0,177509.17,201376.75,150247.34,246055.66,132365.36,84083.2,-5922.1494,536.28796,7284.768,-6300.735,53734.13,-42503.344,0
106748.7,1,1,1,45.37204,2,-2,-2,0,-1,0,100477.445,99964.41,12665.343,18257.383,126794.73,44530.098,41365.19,-2033.3185,21278.709,52291.5,51299.445,-15871.405,0
123887.14,2,2,2,45.62872,0,0,0,0,-1,0,21408.477,70938.086,7820.069,7301.0,104911.62,114789.734,-1061.2396,-2124.6824,15544.505,27432.684,64184.918,-11657.177,0
111378.24,2,2,1,44.88293,0,0,0,0,0,2,52506.66,126682.41,113459.05,85221.99,80077.88,6923.1836,-2028.5526,3656.7979,6998.9307,951.0898,-1686.5121,-29113.133,0
140220.69,2,1,1,42.92386,0,0,-2,0,0,0,-12846.469,56710.707,39136.234,85700.086,84827.39,85708.08,-4407.8867,2369.519,28766.828,-43.0479,29230.836,-35753.293,0
