X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
307943.75,1,2,1,33.302975,-1,0,0,-1,-1,-1,59700.523,70985.555,6928.9243,991.17554,59149.914,-209.10541,1610.5475,354.36023,488.91528,72736.41,703.33606,257.26038,0
215540.08,1,2,2,41.68612,0,0,0,0,0,0,321202.62,367259.28,354871.8,247609.92,222679.4,258253.16,7941.1187,194187.88,11261.061,5820.3745,11429.985,10073.677,1
283984.94,2,2,2,37.90186,-2,-2,-2,-2,-2,-2,-677.4374,479.5799,-29332.967,248204.39,42769.918,265595.84,41502.727,1225.8776,183548.16,-455.6021,229836.16,-13699.306,0
455516.84,2,1,1,62.3744,-1,-1,-1,-1,-1,-1,7147.703,-3578.5022,4071.534,1971.9763,11858.22,-189.73822,-829.0975,1140.4166,67.58763,5813.2656,2219.4136,694.95544,1
465787.25,1,1,1,37.23419,2,0,0,-1,0,0,539601.94,355491.34,203472.03,637598.5,533827.5,495192.0,31648.373,7673.7974,202621.34,6847.948,21097.125,10305.464,1
452890.6,1,2,2,36.248062,1,-1,0,0,0,0,415422.88,393063.9,393468.0,380199.44,337406.66,376308.84,171082.42,25029.088,24187.738,7574.6055,26138.285,10262.659,0
479506.25,2,2,2,34.432045,0,0,0,0,0,0,495530.97,399747.75,419281.7,372407.34,381535.3,137472.31,195504.94,16722.305,11700.607,142368.56,7952.5293,174675.66,1
315502.44,2,1,2,27.390154,-2,-1,-1,0,0,0,8474.32,8812.439,232404.9,175999.98,183627.42,161536.06,-1816.2157,161640.12,10663.75,24843.592,8933.381,5383.769,0
345820.75,2,2,2,33.142254,-2,-2,-2,-2,-2,-2,2324.512,-6457.006,-1515.4934,-1165.5237,-35678.844,179018.66,2279.3848,1412.1583,2442.71,621.6672,202753.9,1842.1747,1
254875.6,1,1,2,34.99703,-1,3,2,0,0,0,9448.555,7150.467,-16408.463,167593.95,185920.7,156488.16,-1075.4608,2030.4796,178556.69,3751.5212,6808.229,5603.776,1
