X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
210884.9,2,1,2,30.903181,-1,-1,-1,-1,-1,-1,17461.402,1768.1815,4201.651,11184.477,20755.457,16237.527,18349.377,21589.139,22235.027,20093.354,13532.559,86157.336,0
130399.64,1,2,2,24.880844,0,0,0,0,0,0,134732.7,121470.03,53173.934,22303.184,58444.707,57781.13,12576.387,1153.6549,1891.7488,2306.7065,4054.6248,5140.0117,0
225893.28,1,1,2,32.059048,-2,-2,-2,-2,-2,-2,8494.332,7499.8496,-7486.1577,8267.711,-2784.2222,-2148.9023,119.53336,2465.825,-298.11157,-4.2842283,1560.9181,1666.6556,0
201256.03,2,2,2,31.462923,-1,-1,-1,-1,-1,-1,18946.84,21019.223,7291.393,6998.5625,21053.227,3620.5547,21115.133,6256.492,14709.558,11438.167,4706.5815,841.68176,0
59487.934,2,2,2,22.974253,0,0,0,0,0,0,48686.152,36466.727,38281.508,7883.711,28542.459,11852.58,3379.32,-180.4225,1090.4451,1901.7239,3759.1182,1958.9594,0
389282.38,1,1,2,44.783737,0,0,2,0,0,0,265117.47,214332.72,321589.28,196067.38,247204.84,220344.25,33660.96,630.03503,14092.483,13151.833,17503.326,3739.96,0
353648.12,2,1,2,29.8593,0,0,0,0,0,0,182703.53,193047.03,155057.3,151529.27,173509.06,156323.42,9678.955,7143.031,4470.5625,4744.621,5531.4414,3200.403,0
142592.88,2,2,2,28.555151,-2,-2,-2,-2,-2,-2,-6883.3438,-1761.9904,2297.3933,7305.414,3541.3755,3840.4883,3731.8733,2820.7676,1263.1992,838.3647,1331.3783,1365.4672,0
164100.64,2,3,1,27.739801,0,0,0,0,-1,-1,60060.33,35355.016,5127.7056,10492.836,-2.6673617,5349.6133,10749.719,303.5946,1835.885,1272.4204,-3680.3577,780.89734,0
154309.55,2,2,2,35.637375,0,0,0,0,0,0,99728.76,97015.3,104033.336,98813.72,90153.336,122625.09,5549.7593,2669.098,3597.0474,4393.9756,3802.4688,4392.5024,0
54104.34,2,2,1,26.715557,0,0,0,0,0,0,37359.52,25514.383,28080.332,11667.105,35168.67,17814.281,2430.6587,95.58874,1530.7339,1763.7144,2369.9763,2535.2168,0
110034.72,2,1,1,36.81313,-1,-1,-1,-1,-1,-1,-17271.477,-1943.3693,11101.304,4288.004,4795.0317,5068.633,854.4543,2288.0725,2201.0813,363.23236,912.3644,1183.1066,0
24392.332,1,2,2,36.61984,0,0,0,2,0,0,34635.96,22245.57,22958.63,6483.797,10760.493,6923.463,3946.7632,665.702,771.32275,955.2692,3883.9556,501.57117,0
81007.266,2,2,2,24.371181,1,2,2,2,2,2,65896.46,66788.414,72687.04,94102.11,53191.266,95784.83,-4209.0,5034.0015,170.572,5140.8994,-1819.6576,3152.3984,0
170760.5,2,1,2,35.09301,-1,-1,-1,-1,-1,-1,3253.4377,12879.877,1997.8386,6733.4805,9306.581,-839.7773,8114.046,598.13074,6439.06,173.59908,2418.107,1680.0289,0
382851.5,1,1,1,48.53679,-1,-1,-1,-1,0,-1,20094.385,17179.457,-1436.8254,3161.5857,-8633.698,-626.0195,3460.5994,3326.9932,4409.357,-518.8907,1271.9032,5469.874,0
283220.5,2,2,1,31.440613,-2,-2,-2,-2,-2,-2,5393.1094,-131.7912,-1552.388,7192.457,-3342.23,4958.3906,-412.83823,2098.7021,250.2805,2789.7515,1442.7225,1890.6837,0
227567.25,2,1,2,35.099804,0,0,0,0,0,0,108485.11,97616.91,94517.586,91578.016,68605.93,27876.188,2134.369,1406.3729,2080.3599,3188.9558,3512.085,8312.719,0
230288.78,1,1,1,41.020897,0,0,0,0,0,0,143464.23,148796.38,110856.89,124734.97,101689.43,115561.14,13351.649,5340.2036,12192.324,6176.2334,8018.5205,8419.039,0
6542.3706,2,3,1,36.174717,1,2,0,0,0,0,21278.84,13671.174,18302.59,16193.795,-12755.69,3851.0469,-901.8973,2948.5857,907.40356,24.031689,-457.60486,652.06067,0
62752.98,2,3,1,54.220554,0,0,0,0,0,0,31867.232,50754.71,64708.457,47888.055,35471.395,58008.656,644.20184,4097.4688,2933.7346,2244.0117,-285.01648,3416.0881,0
244957.23,1,1,1,46.3725,0,0,0,0,0,0,32597.2,29497.508,28161.51,18068.22,31846.973,21842.236,214.0358,550.1991,982.5486,1284.3032,1116.8995,791.2313,0
42228.48,2,3,2,24.362343,-1,-1,-1,-1,0,0,3550.3987,4254.244,4492.9946,6019.9805,22216.53,7854.121,1226.2345,1295.111,18478.156,3012.3728,1667.6273,3318.581,0
