X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
181619.55,2,2,2,39.08667,0,-1,-1,-1,-1,-1,54628.367,918.9705,49730.99,488.80054,-153.1947,-1166.8397,586.9338,49213.8,513.5112,809.4172,-424.49646,2390.013,0
195405.02,2,1,1,39.263435,-1,-1,-1,-1,0,0,12543.398,749.9393,5982.815,10294.668,8199.692,3928.8125,43.543617,9689.965,10507.085,4499.0996,735.50574,4325.9097,0
197172.45,2,2,1,47.079906,-1,-1,0,0,0,0,-292.9608,16649.66,13675.526,14788.232,13547.239,12278.402,14231.472,2402.1038,240.09496,367.42694,800.1019,76.32823,0
316291.66,2,1,2,49.34191,-2,-2,-2,-2,-2,-2,18709.553,30545.299,34700.35,34075.195,22283.244,57359.125,29525.54,26149.188,27345.598,27811.363,46767.83,12107.588,0
159028.34,1,1,1,41.402794,0,-1,0,0,2,2,113620.94,10028.975,14322.767,18662.43,18421.56,18596.068,16169.291,14240.945,3189.149,-109.80278,2501.5637,-193.19179,0
89954.734,2,3,1,49.05464,0,0,0,-1,-1,-1,53779.418,53118.215,51431.594,3924.4646,1955.1608,65024.965,4733.2983,7141.267,5255.2065,1673.1733,66702.33,16665.547,0
59606.184,2,1,1,38.695255,0,0,2,0,0,0,56529.01,58476.37,60787.34,54917.793,52796.844,35559.32,5520.358,2010.5702,686.33716,3107.0964,7400.2085,491.6859,0
76163.78,2,2,2,28.946829,0,0,2,2,2,2,49369.02,51719.69,53080.777,63475.71,51439.336,71769.555,6415.179,-700.1105,5218.3457,23.226513,13967.12,1979.8029,0
293119.16,1,1,2,31.222404,0,0,-1,0,0,-1,35431.387,56141.66,3200.991,-2007.0667,960.9264,5095.3984,21469.732,3482.2349,-107.84059,246.25435,3895.501,2188.674,0
19039.371,2,2,3,51.56953,0,0,0,0,0,0,12859.625,15583.107,11467.433,16763.326,13001.097,16095.082,1477.8031,766.0067,512.08545,803.70844,57.64662,313.40247,0
177532.97,2,2,1,51.450962,0,0,0,0,0,0,175085.53,167069.9,168186.77,121644.01,119757.73,117863.92,6842.3516,8141.5674,4357.34,3970.6187,4314.0522,4134.503,0
144595.11,1,1,2,34.625404,0,0,0,0,0,0,9393.324,20365.781,29256.854,14929.604,14353.894,3502.8594,10126.399,9972.749,5093.234,1830.0347,1747.3268,1631.4696,0
503180.94,1,1,1,54.462574,-1,-1,2,-1,-1,-1,10961.383,14814.799,8004.889,3533.2927,2532.77,11821.09,4729.999,1121.7875,1136.7654,3735.539,11191.272,3575.4446,0
495132.25,1,1,1,38.706257,0,0,0,0,0,0,77082.21,78532.82,79939.4,74097.18,79000.125,63609.9,3888.366,4866.5957,2002.2476,2424.1304,3183.2744,2432.2375,0
62239.348,2,1,2,30.498617,0,0,0,0,0,0,22463.02,26368.53,27221.467,28834.531,25356.025,27949.66,1333.8446,2353.885,832.48267,2038.4504,438.58826,1807.6136,0
378954.03,2,2,1,36.685863,0,0,0,0,0,0,177214.02,165745.39,144788.6,147360.42,134480.75,130117.7,5633.709,6398.2983,5493.7734,4746.382,19409.57,9671.477,0
295917.53,1,2,2,29.441193,-1,-1,0,0,0,-1,21826.756,52438.26,70652.38,128011.92,20218.92,36366.887,59628.625,43147.285,105634.445,930.1911,49459.344,41778.9,0
397023.34,2,2,2,40.05601,-2,-2,-2,-2,-1,-1,-2880.2341,6274.287,4417.5767,1691.2927,1174.5201,2622.0781,8654.447,652.97595,248.89769,1568.2217,-319.42957,1059.3578,0
152270.03,2,1,2,37.41055,-1,2,2,-1,-1,-2,-150.35532,3037.3728,2539.944,8130.246,-2672.609,552.9766,1270.0157,582.9911,3171.7969,-465.21246,629.00916,-3.2288933,0
188048.42,1,3,2,43.848846,0,0,0,0,0,0,179377.77,177974.72,121957.45,132728.3,135656.3,135765.64,8033.51,5835.587,22507.53,5289.178,6255.1577,7241.4375,0
406550.38,2,1,2,25.642744,-1,-1,-1,-1,-1,-1,6732.715,2581.8728,9072.237,8367.996,8414.04,28480.371,4085.1748,10703.049,8775.148,8279.829,29072.785,13335.163,0
184236.9,2,1,2,29.608131,1,-2,-2,-2,-2,-2,-317.19125,3806.1814,262.155,2106.1638,1141.2155,559.8282,-174.31284,557.50085,439.80298,-127.08354,-42.606308,-202.64247,0
434243.6,1,2,2,44.2051,0,0,0,0,0,0,12842.672,15470.15,7068.487,15706.551,9437.081,19793.098,1932.42,5519.806,4317.4995,3634.3308,8748.3955,9466.675,0
364111.06,1,2,1,34.203316,-1,-1,-1,-1,0,-1,19459.893,3491.447,2401.5847,13832.668,20148.9,6564.631,3287.9868,2435.63,14157.4375,9618.201,11589.348,9133.867,0
36678.004,2,6,1,49.17312,0,0,0,0,0,0,22365.338,28310.082,8130.053,13186.367,11631.288,14759.676,1758.6017,1724.025,590.63306,434.81512,333.9718,767.04285,0
45400.332,2,1,2,29.44191,0,0,0,0,-2,-2,34472.465,31196.018,21592.395,-2115.7502,-1290.6361,1853.3517,2403.1292,1329.7565,-58.017834,604.6171,-348.3617,396.34143,0
425656.12,2,2,2,28.264162,0,0,0,0,0,0,486513.53,274742.94,211232.47,215866.33,184381.72,173180.39,18958.793,10057.657,7568.3135,5723.304,15042.283,4708.292,0
240175.97,2,2,1,45.980896,0,0,0,0,-2,-2,223962.22,235483.95,250909.19,476.4607,1916.2076,3084.832,12185.761,12780.522,-298.88257,-160.35454,1359.0836,2028.7123,0
