X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
116077.49,2,2,1,38.396667,-1,-1,-2,-1,-2,0,-7020.172,-21516.28,32378.93,12775.434,-17956.469,3598.3867,2569.8293,7286.0083,638.9365,868.12616,7648.8096,4968.934,0
54514.2,1,2,1,37.956818,0,0,0,0,0,0,7268.117,-776.06464,63875.61,17258.197,-2970.441,-7850.2812,937.665,7797.83,2009.2339,2196.889,6801.5234,3127.8562,0
93368.414,1,1,2,34.550323,0,0,-2,-2,-2,-2,16820.797,-1767.4904,30678.898,5481.176,-6260.4565,-13183.504,-823.05206,5900.3555,1694.1023,608.29095,9048.33,3641.378,0
95167.37,2,2,2,33.23467,0,0,0,0,0,0,149823.77,105905.44,83475.33,32465.393,2562.481,446.54694,3551.1829,9478.726,1979.8169,1966.6365,7112.335,3055.7654,0
135065.86,2,1,2,32.995083,-1,-1,-2,0,0,0,-5599.992,-13124.42,64633.5,17060.402,-5887.57,12369.637,2225.2295,29697.305,1960.6868,1498.9368,5750.955,4697.2427,0
56904.59,2,2,1,36.191822,0,0,0,2,2,2,18388.586,-9964.498,68286.28,28153.09,95.7428,4676.1914,1537.2635,8915.28,1573.1228,1527.0161,7392.973,3817.5786,0
46811.543,1,2,2,33.05902,0,0,0,0,2,0,-639.17175,-9306.674,56733.727,19619.6,-1836.226,-4591.1445,-479.36703,6568.958,1814.7122,855.8642,7843.445,3568.8704,0
129293.96,2,1,2,33.278465,-1,-1,-2,0,-2,0,-8500.926,-16300.854,33418.785,13160.758,-12846.085,-1733.164,-374.59018,7076.225,1297.2539,819.519,8177.7725,4680.5576,0
112054.56,2,2,2,34.374893,2,2,0,2,2,2,95259.48,46928.473,74067.8,67053.375,134538.7,99249.74,26.194008,7050.64,1469.7969,1191.6621,6361.142,5027.536,0
40477.926,1,2,2,31.79902,0,0,0,0,2,2,5234.8086,-9441.732,66441.445,27247.166,-630.0033,-3433.1406,-1482.6898,6539.0503,2084.1768,1615.315,7276.1924,3699.6223,0
52949.01,2,2,2,30.31455,0,0,0,2,2,2,9528.055,-17918.975,67873.625,30697.328,819.1139,13536.0625,502.07925,8998.672,1428.6685,1180.4153,7133.9526,4454.974,0
140676.28,1,1,1,38.89722,-1,-1,-2,-1,-2,0,-5024.6836,-21520.857,30887.412,13081.916,-15133.733,-4243.492,766.4367,6689.224,1208.4863,865.46405,7993.9253,4886.2627,0
184969.58,2,1,1,40.699192,-1,0,-2,-1,-2,-2,-4458.6133,-20779.287,33260.734,4183.754,-6271.402,6858.0273,7058.645,15676.484,2020.9287,10026.874,4771.346,5398.016,0
