X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
201564.05,2,2,2,34.193584,-1,0,0,0,7,2,74138.73,36349.113,39634.723,27060.742,21314.145,23210.682,14822.567,7837.932,6401.077,3152.2249,9128.721,6596.4194,0
213046.47,2,2,2,36.709766,0,0,0,0,7,7,68863.12,56523.19,28231.229,38935.812,18728.705,27948.348,19671.799,6265.0366,1249.7622,453.8625,7950.73,10572.189,0
197256.33,2,2,2,38.12554,0,4,0,0,7,7,74044.766,57774.0,14770.792,51485.61,43422.832,41195.977,17131.744,7319.912,668.93286,-833.41754,7163.565,10190.657,0
201012.5,2,2,2,34.69145,0,0,0,0,7,7,73963.77,51143.414,36167.812,38812.004,18446.088,28324.549,16578.318,7652.8286,3830.4976,1915.9856,8150.115,8517.615,0
192620.27,2,2,2,35.387352,-1,0,0,0,7,2,76005.54,39582.086,40329.09,28477.988,21172.143,22773.41,15455.674,7016.329,6215.738,3334.7646,8846.66,6504.375,0
205284.08,2,2,2,33.17255,-1,0,-2,0,7,7,68367.7,41346.07,37292.855,28472.764,20937.793,24673.928,16826.67,9196.915,4504.3657,245.3979,8438.441,8247.631,0
97009.53,2,4,1,40.793755,0,0,0,2,0,2,351403.7,11185.893,63828.95,5738.793,20030.094,-166704.03,-169085.75,-60301.516,34578.867,22056.375,-43069.02,-1278.35,0
205433.77,2,2,2,37.45167,0,0,0,0,7,7,65903.77,49473.8,34933.418,37048.824,19150.945,28681.443,17215.463,7343.762,3064.5833,594.6862,8307.354,9150.274,0
210819.75,2,0,2,37.867123,-1,4,0,0,-2,7,71965.57,59201.266,25813.34,37447.05,13443.351,23584.285,-20152.89,5340.31,1811.4683,1364.0608,7239.236,20060.4,0
182835.06,2,2,2,37.472,-1,0,0,2,-2,2,80237.47,39486.7,42744.582,31272.902,26860.326,24266.297,13518.487,2314.791,8021.885,5740.3896,3079.741,4246.981,0
205887.34,2,2,2,37.67941,0,0,0,0,7,7,69866.15,50740.008,35809.12,39701.527,18700.902,30799.271,17165.607,8758.799,2572.2432,-327.54645,8237.227,9642.888,0
166327.66,2,2,2,37.015564,0,4,0,0,-1,7,91870.71,34060.547,52368.227,70861.47,50038.418,28297.68,13633.735,7789.976,1189.8054,1093.4736,7406.6484,8923.903,0
164421.45,2,2,2,37.37,0,4,0,0,-2,7,60628.53,39736.266,26083.414,43778.05,31887.408,24313.246,16425.1,3936.9739,12072.624,2904.6707,9688.917,7524.22,0
205582.28,2,2,2,37.14726,-1,4,0,0,-2,7,66026.68,47601.38,33711.773,45972.797,18429.748,30694.75,-3231.8787,5275.5913,2671.7634,1048.9529,8808.8545,10849.769,0
211105.83,2,2,2,36.23011,0,0,0,0,7,7,76355.84,55539.06,36073.434,46586.64,22109.666,34662.94,18202.879,7834.803,1641.9714,-475.9654,7666.035,9955.981,0
199204.45,2,2,2,38.016445,-1,0,-2,0,7,7,67191.836,51054.137,33475.426,36609.383,20436.568,28381.572,19031.244,7208.2827,2208.384,504.0407,7855.5874,9435.32,0
181309.62,2,2,0,33.75989,0,-2,0,0,0,2,76926.2,-11391.303,54303.176,5124.699,48655.305,21915.395,6842.07,4483.8867,8605.164,-83604.91,7900.0186,8116.5605,0
201491.94,2,2,2,37.311874,-1,0,-2,0,7,7,67291.72,47204.67,35374.027,34460.93,21870.582,29257.074,18067.346,7384.2944,3213.236,144.13081,8764.756,8954.152,0
218379.97,2,2,2,38.362106,0,0,0,0,7,7,61925.535,54100.188,33959.742,42146.97,22510.21,34142.54,18810.078,7295.1064,1459.7065,-929.9058,7828.449,10183.266,0
202625.97,2,2,2,36.834335,-1,4,0,0,7,2,74135.74,44545.383,38850.848,33325.57,21582.27,23892.969,15781.106,5542.0664,4829.567,4026.2922,8647.232,7335.364,0
207034.42,2,2,2,38.860718,-1,4,0,0,7,7,71038.27,42403.125,38655.59,31815.578,20291.443,26220.107,16474.521,8251.3545,4508.196,2195.0195,8214.628,7534.1704,0
175024.78,2,4,2,34.3443,0,0,0,0,-1,2,78139.37,48013.848,11575.187,43122.016,42033.28,15053.955,11022.144,31525.588,12922.481,5121.2227,7308.924,5853.9814,0
204526.0,2,2,2,38.171623,0,0,0,0,7,7,77400.414,56222.15,32967.656,45320.668,27027.387,36009.51,17947.912,7315.7695,1412.863,-703.3858,7582.1455,10200.743,0
178748.62,2,2,2,34.745457,-1,0,0,2,7,2,64219.727,32086.998,41844.867,31469.947,35468.44,24317.896,13575.249,6226.692,6474.736,-24618.037,8629.761,5718.397,0
172707.56,2,2,2,35.74175,0,0,0,0,-1,7,76766.48,52093.12,27226.541,55467.99,51338.062,23289.111,15492.653,7100.036,1847.0684,1383.0295,7573.39,8342.248,0
189509.86,2,4,2,37.262074,0,0,0,0,-1,7,70929.836,39257.77,14892.983,42213.598,37519.496,28174.393,14485.529,32850.62,4727.7144,3281.79,8183.693,7842.5723,0
198035.75,2,2,2,35.00456,0,0,0,0,7,7,78529.27,58539.13,35255.543,46258.812,28297.291,35995.387,19040.695,6678.3057,1328.4741,-427.35455,7464.737,10422.096,0
205337.77,2,2,2,32.622143,0,0,0,0,7,7,74738.85,46159.164,38641.773,41654.895,21101.06,28379.758,16366.877,8776.594,3790.6855,1182.0774,8600.958,8126.6904,0
178762.75,2,2,3,35.26098,0,0,0,2,0,2,82053.73,23975.496,44349.71,23054.531,21275.646,12308.803,6058.992,17752.072,14439.83,8045.853,5728.5713,5263.8867,0
207967.8,2,2,1,37.970432,0,4,0,0,6,4,77555.87,-6922.6074,24862.162,37026.79,24335.426,3608.8516,-76556.15,-8373.594,7300.709,7889.8926,9040.475,6677.3193,0
194594.62,2,2,2,36.803467,-1,4,0,0,7,7,65979.01,46689.3,34208.742,34892.305,18412.957,28062.455,16986.756,6519.761,3225.4644,2916.4016,7504.6045,17887.164,0
216698.78,2,2,2,37.919605,-1,4,0,0,7,7,74173.516,62948.33,13871.065,49269.688,34771.902,39931.94,19968.678,6541.8677,132.03197,-1468.083,6629.827,11321.61,0
211627.92,2,2,2,36.07801,0,0,0,0,7,7,76038.234,61484.723,13971.976,45297.242,31074.055,37022.395,18541.426,7729.314,909.1289,-233.65044,6940.596,10866.832,0
213113.27,2,2,2,36.77025,0,0,0,0,7,7,69841.6,53501.184,33754.914,40912.56,20194.309,31026.803,18041.682,6750.0156,2509.944,810.7695,7936.413,9231.639,0
220436.75,2,0,2,37.061188,0,0,0,0,7,7,77817.27,54782.688,35610.766,38788.43,22377.955,32445.7,18738.494,4295.384,3316.221,2346.262,5792.9385,7760.873,0
208214.55,2,2,2,38.22067,0,0,0,0,7,7,75190.29,56444.746,35426.9,46763.758,23953.64,36669.293,18291.912,8687.243,961.2483,-1758.4751,7362.62,11015.259,0
127335.125,2,2,3,30.121374,7,0,0,2,0,2,81829.06,26061.078,48878.32,22432.877,33737.914,-9996.73,7982.6934,462.1112,16384.748,10046.525,-3840.5193,4743.9106,0
205733.56,2,2,2,37.229275,-1,4,0,0,-2,7,71720.27,50662.76,38536.188,37331.734,20153.656,27879.682,17522.674,8164.2993,3606.287,2165.5435,8488.593,8104.443,0
194266.11,2,2,2,37.19569,0,0,0,0,7,7,66284.84,55629.92,33212.98,39602.188,18317.176,30178.316,18561.535,6502.579,2140.2534,202.03511,7755.884,10052.765,0
194223.44,2,2,2,33.79271,0,0,0,0,-2,7,78361.266,35598.168,18701.6,51022.855,38377.074,17608.473,-32851.63,-65.08265,3231.1074,4427.3833,8770.933,7522.0044,0
179889.81,2,2,2,33.82728,0,0,0,0,0,2,73958.09,31314.963,44061.723,31804.47,23065.074,23736.086,12059.451,27596.855,8440.912,4704.0186,8141.6943,7031.6914,0
158299.89,2,2,2,38.131443,0,4,0,0,-1,7,77483.03,31929.67,27119.912,47814.51,38310.91,912.418,11818.893,2536.8086,17310.459,4014.2612,8180.6616,5762.028,0
204322.97,2,2,2,34.244884,0,0,0,0,7,7,74950.52,59191.566,16325.417,47484.81,38384.477,35908.055,17930.457,6940.0474,1290.2263,-0.5093261,7235.074,9993.052,0
204017.08,2,2,2,37.69411,0,4,0,0,7,7,77628.93,57521.3,34413.156,47994.01,30137.2,37453.133,18046.533,5899.0903,704.5886,-66.39555,7472.852,10421.331,0
192376.0,2,2,2,36.415943,-1,4,0,0,-1,7,70459.234,41944.203,33731.473,38582.6,22172.498,24266.365,16038.897,9383.306,9809.486,2336.8752,9529.244,8875.459,0
211142.61,2,4,2,38.228413,-1,4,0,0,7,2,68925.016,44147.01,37932.65,34676.324,22911.803,27572.28,17005.873,5737.1294,4512.752,2899.1423,8582.278,7254.2593,0
193378.64,2,2,2,33.91497,0,0,0,0,-1,7,74024.64,53865.527,16671.02,45762.477,35593.62,33172.383,15757.612,7991.4976,2667.9998,575.8962,7776.752,8459.539,0
