X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
198260.6,2,2,2,32.982796,-1,0,0,0,7,7,73940.61,36817.6,38724.043,30482.965,22334.35,22929.105,16000.569,7429.541,5083.384,3193.3218,8348.2,7045.5884,0
152858.11,2,2,2,37.83068,0,4,0,0,7,7,93704.44,-29975.357,25913.977,79493.4,38635.504,-22921.121,8715.096,4074.7896,22593.24,-4394.86,5699.2725,7928.6475,1
202542.5,2,2,2,32.956017,-1,0,0,0,-2,7,69843.766,38818.832,40852.305,30987.283,22823.992,24563.188,16265.254,7769.3657,5267.379,2796.6067,9170.235,7114.1025,1
232402.19,2,0,0,37.86309,-1,4,0,0,-2,-2,72309.055,56515.64,14028.103,57959.727,53884.14,37106.832,20046.387,-727.90784,2101.874,-25468.932,1074.3036,8558.646,0
97009.516,2,4,1,40.793755,0,0,0,2,0,2,351403.7,11185.893,63828.95,5738.789,20030.094,-166704.03,-169085.75,-60301.543,34578.867,22056.377,-43069.02,-1278.35,0
149077.31,2,2,2,37.285706,0,4,0,0,-1,7,96387.28,17153.568,59461.477,76838.52,60839.434,33026.7,11498.053,8470.205,10204.325,1698.063,7083.6294,19109.484,1
186322.4,2,2,2,37.382465,0,4,0,0,-2,2,108581.29,-153135.39,56207.39,80944.234,75029.13,-20835.855,1839.8473,10089.944,8227.812,-74370.586,7242.588,8043.131,1
226622.84,2,0,2,37.369373,-1,4,0,0,7,7,66481.24,63460.754,24892.236,34845.29,18941.865,73537.266,22391.44,3911.3796,1825.9485,437.40472,6392.2856,25404.379,1
149067.61,2,2,2,31.248749,0,0,0,0,-1,2,94397.97,11316.17,72157.81,60001.74,66867.78,-20000.18,6784.12,11800.213,7631.003,4392.108,5524.0703,4492.1646,0
201033.88,2,2,2,38.229645,0,4,0,0,7,7,73510.625,49359.38,25542.934,57056.367,36365.695,28128.709,18538.922,3157.5625,11502.398,1620.5898,7916.8477,9369.144,0
126526.13,2,2,3,36.153458,0,0,0,0,0,2,72282.03,9544.045,45271.11,33536.555,52450.816,-38797.918,4756.5947,16539.818,18349.363,9510.085,4836.149,5575.7793,1
180181.66,2,2,1,37.067417,-1,0,0,2,-2,2,114481.73,7567.7324,64765.65,58557.805,48896.07,25541.943,15907.287,1031.4379,7438.9355,5005.8433,-2893.0144,5260.343,1
165237.64,2,0,1,34.52887,0,0,0,0,-1,2,93059.24,29237.477,58562.113,56852.94,53504.06,11631.822,8649.565,1492.1083,8444.425,5922.432,-2164.2986,5059.239,1
191436.89,2,2,2,36.95174,-1,0,0,0,-2,7,55260.88,49473.844,20114.936,50694.203,34595.83,28213.35,19838.514,3945.8062,10031.889,927.1884,9220.239,10522.8125,1
155948.36,2,2,2,32.891922,0,0,0,0,-1,7,112334.99,24076.36,40892.242,44847.242,34594.082,35261.98,10889.261,7858.668,2969.7654,1564.6746,7269.677,15315.079,1
181009.97,2,0,2,37.645115,-1,4,0,0,7,7,80578.266,58985.52,22692.82,58359.6,48217.402,41193.457,19271.025,6143.7275,-359.72095,-925.44,5633.521,21353.363,1
217899.27,2,2,2,36.983826,0,4,-2,0,7,-2,69546.7,44246.04,27086.197,47623.598,42127.152,38198.508,19165.62,3997.6255,773.2803,-22199.154,8566.503,10279.558,1
153310.42,2,2,2,36.02477,0,0,0,0,-1,7,90259.39,24833.928,65401.695,72420.38,73055.94,-15465.699,9681.252,12938.544,2480.884,2498.8052,7986.3643,7086.2324,0
191510.89,2,2,2,37.17359,-1,0,0,2,7,2,73249.01,37138.832,16361.882,24389.041,16777.043,13983.084,15648.917,26684.947,8808.367,6496.8745,6782.8047,5991.37,0
199427.2,2,2,2,36.483746,0,4,0,0,7,7,75562.29,60856.027,11647.792,51689.6,41973.29,36709.75,18695.133,6199.8594,745.16455,-1450.2378,6390.7554,20459.053,0
196783.39,2,2,2,34.590755,0,4,0,0,7,7,55089.19,28201.15,32732.254,34158.066,36501.043,26531.113,5892.1606,8019.418,3883.6165,-24074.334,8719.31,8888.726,0
198276.52,2,2,2,37.512413,-1,0,0,0,7,7,95257.27,35911.277,52987.99,46812.117,23941.426,35682.848,18021.592,7536.5796,2052.042,256.04364,6695.042,9253.004,0
143960.36,2,2,2,37.744553,0,0,0,0,-1,2,91789.04,26584.719,61549.863,63146.24,60942.758,-12407.422,7958.8745,31466.785,7704.3823,4815.171,7606.852,5350.2476,0
214902.73,2,4,2,38.334545,0,0,0,0,-2,2,80967.63,49962.363,36734.734,37130.176,21595.838,33025.93,17751.445,2643.536,4111.1167,3234.7744,4738.6655,6915.0815,1
207985.0,2,0,2,33.87229,0,0,0,0,8,2,86983.99,48517.996,36365.36,39509.87,28417.414,32586.691,16474.64,2483.8157,5808.1978,5066.9697,1925.7762,11662.833,1
187538.86,2,2,2,36.872616,-1,4,0,0,7,7,85510.58,49322.65,21924.758,38564.562,21252.703,30995.783,18710.955,28700.988,2172.973,197.43672,6064.0225,9294.3,1
189623.2,2,2,2,28.420565,0,0,0,0,-1,7,75638.88,56128.18,19272.453,49908.242,45904.86,27939.137,14843.272,5751.5244,2853.2725,2775.6072,7646.052,6010.364,0
158299.89,2,2,2,38.131443,0,4,0,0,-1,7,77483.03,31929.672,27119.912,47814.516,38310.918,912.42194,11818.893,2536.8074,17310.455,4014.2612,8180.6616,5762.0264,0
185997.53,2,4,2,36.944023,0,0,0,0,-2,7,81496.66,60139.348,30749.031,35349.133,18112.62,24655.803,18728.598,4777.53,3014.664,1458.1575,5811.523,18773.807,1
212886.08,2,2,2,34.032906,-1,0,-2,0,7,7,66188.36,54513.656,30466.111,36019.074,18979.633,26864.053,19871.17,6837.8887,1781.7031,1195.3247,7243.5137,18567.424,0
180805.6,2,1,2,33.983982,0,0,0,0,-1,7,90955.19,31578.998,55822.746,64204.098,57780.477,36445.617,14447.87,7891.9956,3063.0615,1788.3901,3287.0815,16940.684,0
187008.64,2,2,2,30.748829,0,0,0,0,-1,7,75095.41,58377.547,15492.96,50572.93,46975.64,27780.932,16501.996,4571.154,2276.4153,2633.7258,7358.789,7787.265,1
167615.36,2,4,2,37.5608,0,0,0,2,0,2,72417.055,15036.646,47514.16,4186.7617,12875.235,-8742.832,8677.28,17073.15,17755.871,10175.2705,4251.143,5599.046,1
202513.89,2,2,2,38.010426,-1,4,-2,0,7,7,57031.414,46871.06,24500.658,48437.87,32636.365,34006.758,18465.557,5568.999,7758.212,137.19112,8980.679,10204.003,0
189840.27,2,2,3,33.75686,0,0,0,2,0,2,77292.43,25124.588,44631.973,21224.068,25837.371,15412.029,10667.842,5608.1226,10418.798,6342.1274,3273.7454,3291.3472,1
155822.92,2,2,2,34.9157,0,0,0,0,-2,2,64492.043,45549.73,17425.068,39550.363,30691.504,31964.396,16001.198,31951.576,3999.8403,2701.909,8709.8125,7774.91,1
208466.12,2,2,2,38.471527,0,4,0,0,7,7,77838.56,59074.16,23027.818,47980.438,38300.844,37877.332,18388.115,6605.076,596.04443,-363.55475,7165.0737,10862.385,0
206878.94,2,4,2,37.823334,0,0,0,0,-2,7,66600.52,48621.832,32982.617,43656.03,19634.492,28832.518,16820.383,6513.555,6623.631,1757.3667,8525.131,8942.005,0
171670.03,2,2,2,34.22426,0,0,0,0,-1,7,95468.75,34909.82,49147.113,63267.66,61861.67,36887.574,14648.418,8643.765,1946.8999,1667.5769,7845.8174,8157.684,1
152501.86,2,2,2,37.69063,0,0,0,0,-1,7,83371.61,33112.14,59531.344,60382.176,72099.41,8958.027,9288.2295,5980.8135,3605.5427,2824.4326,6249.882,6156.8237,0
197865.34,2,2,2,33.49654,-1,0,0,0,7,7,59625.746,30660.371,39584.668,29032.79,23205.744,26050.697,14473.882,9412.254,5396.1147,-15857.865,8567.152,8166.149,0
158477.53,2,2,2,33.46333,-1,0,-2,0,7,7,95382.67,33814.332,35562.496,57539.887,38805.125,38247.117,17891.361,8537.57,1890.1494,137.56831,7260.2524,9015.46,1
185601.02,2,0,2,37.26199,-1,4,0,0,-2,7,79576.19,53643.977,14853.474,50879.51,41217.51,27494.55,17206.715,2289.8357,2945.0894,1689.4102,4595.1694,7823.452,0
172379.45,2,2,2,38.058983,0,0,0,0,-1,7,76930.33,45066.523,65470.67,56737.656,52089.426,27604.217,10836.29,5774.33,2338.8555,2258.3364,7970.3237,7218.573,1
