X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
40824.145,1,3,1,50.918575,2,3,2,2,2,2,11210.527,18940.645,-6582.521,8519.504,11707.183,6326.0723,1384.305,590.85583,981.4099,2400.8757,2048.9905,835.3136,0
34424.01,2,2,1,27.636742,2,2,2,-2,0,4,21374.646,26880.74,10648.327,34374.547,575.6178,48312.49,1403.7584,-528.879,4620.321,3641.6326,4460.1323,1292.007,0
200290.56,1,1,2,49.764862,2,2,0,7,0,-2,-9342.0625,4896.0293,-13455.372,-9064.172,125.703735,-2031.5038,2819.195,2915.8057,2514.6523,13.669873,2669.353,3131.2876,0
41786.082,1,2,1,35.568054,2,2,2,2,2,2,21876.371,28650.053,2633.2722,27067.172,5911.6997,25661.156,2075.0537,854.7445,2887.4082,3414.1707,1457.4838,133.31798,0
47975.38,1,2,2,25.991795,2,3,2,2,-2,2,9027.27,17515.158,-2112.8176,15705.109,12746.843,27444.412,2567.5654,714.1644,2666.3035,830.27924,3543.017,453.4591,0
45773.926,2,2,1,27.080727,2,2,2,2,2,2,30299.32,33698.188,12490.683,37906.363,8909.571,33443.76,1867.8187,253.64098,3358.1206,2622.3044,2834.0671,-534.1288,0
40599.76,1,2,1,35.57475,2,2,2,2,2,2,21201.967,28709.59,4896.733,27074.303,5564.9224,26468.422,1929.7389,1037.202,1896.1357,4243.6553,-741.1732,3762.0864,0
73093.625,2,2,1,39.081215,2,2,2,-2,0,2,-7838.3477,212.03302,-4920.9897,-6455.992,6655.7114,-5843.5117,381.9064,-2221.3025,2802.7424,295.77313,4135.0444,2025.3304,0
30124.66,2,1,2,26.052628,2,2,-2,7,6,4,-5623.715,5337.3066,-9223.767,-3211.6995,5733.1294,-11167.629,1328.3517,314.40076,2407.067,-750.274,1268.714,1771.393,0
42851.816,1,2,2,26.461798,2,2,2,2,2,2,8259.219,21164.742,-4251.1616,16634.34,5451.5083,22666.805,2765.6172,2152.6133,1971.9263,2847.8384,485.6891,4094.0957,0
73843.5,1,1,1,49.933994,2,2,2,2,2,2,43103.266,44100.156,33783.7,56591.016,18692.697,35674.473,2457.1343,3067.142,1662.1816,4252.327,-2318.466,6042.667,0
56135.01,1,2,1,49.35543,2,2,2,2,2,0,40511.39,46799.383,26325.203,57227.688,13187.241,21331.258,3013.3062,2491.542,2207.401,3935.496,-2272.5203,-81.66884,0
52084.004,2,2,1,30.107204,2,2,2,2,2,0,19223.996,27463.541,3825.2761,30121.205,5818.2896,49465.996,2258.7766,1044.9198,3289.325,2194.424,-1374.1766,1559.2223,0
54269.668,2,2,1,33.059906,2,2,2,2,2,2,45823.734,46109.426,45434.293,60497.723,21707.498,35681.277,1980.0729,1356.5006,2294.9648,2379.8662,4159.658,2083.1536,0
50107.74,2,2,2,25.385584,2,2,2,2,2,2,19161.865,27609.41,9017.839,28532.695,10981.556,33274.06,2034.1896,1125.2885,1500.9312,2511.812,2210.5583,1019.62585,0
47905.473,1,2,2,28.588123,2,2,2,2,2,2,14574.73,26881.18,4566.6353,26717.729,5956.5044,35354.4,2280.0957,2343.0286,2378.4565,2149.0945,-747.66003,5658.4253,0
58980.277,2,2,2,25.62543,2,2,2,2,2,0,24464.232,31660.662,13856.519,38589.37,8041.5513,37338.49,3196.3105,2889.2283,1975.2568,864.3837,192.78432,5578.9907,0
80427.19,2,1,1,28.891348,2,2,2,2,2,2,36650.637,34608.133,29576.861,48611.48,15516.476,76752.625,1924.8873,2351.5925,2435.9453,524.03705,31812.035,6763.2656,0
179206.67,2,2,1,35.51949,2,2,2,2,2,2,13417.41,19360.176,-4280.4077,15594.23,8236.901,12032.602,1956.789,599.5228,2694.7268,1898.0623,1376.5724,2030.837,0
58053.254,2,3,1,46.814137,2,2,2,2,2,2,23835.12,27178.965,5118.3813,28135.68,11424.448,17896.703,1180.7313,143.35191,1683.0588,1314.2903,2416.926,3508.4456,0
22502.7,2,3,2,25.62889,2,0,0,2,2,2,2816.2073,8765.9,-9126.837,9001.305,2758.2075,14294.383,263.09048,-984.7677,3576.212,-1534.5034,6796.498,1575.1566,0
421157.7,2,2,2,27.674875,2,2,2,2,2,2,300441.12,223521.86,219594.8,181439.27,211608.58,207544.0,9142.065,3176.3027,281.16968,10940.532,-987.06726,71598.42,0
55462.434,1,2,2,26.575771,2,3,2,0,0,2,6445.3555,17042.555,-4708.4663,9876.176,16058.749,16283.863,2454.5151,577.4169,2033.4915,2951.7378,1919.5463,611.8834,0
45375.76,1,2,2,26.414192,2,2,2,2,0,0,16398.59,27388.969,-3158.4465,22904.08,2476.9692,19290.709,3717.8464,3063.87,2650.5078,2781.2915,-330.95203,3342.9717,0
41203.137,1,2,2,27.21021,2,2,2,2,0,0,3601.3752,19965.271,-11216.149,9305.391,3983.0356,5746.4688,2837.1694,2286.9907,2254.0696,2319.7158,1139.6385,1527.2169,0
93624.33,1,2,1,32.874115,2,4,3,2,2,2,69133.0,63173.26,75040.38,82687.24,39813.637,42967.64,2398.9578,1130.1779,2400.255,5263.073,-184.66393,1800.214,0
65126.785,2,1,2,29.393608,2,2,-2,-2,0,2,-9255.746,-2256.549,-8978.157,-11479.668,4594.77,-13765.484,373.0944,-1083.1324,2206.0588,86.997025,3144.132,728.2125,0
128429.05,1,3,1,37.106743,2,2,2,2,2,2,160414.11,150155.14,148525.8,139056.61,172381.56,176438.11,4216.4487,5417.6157,1625.3899,16844.107,-2600.763,8287.775,0
180626.52,2,2,2,36.108494,2,2,2,2,2,2,177554.5,158895.19,154339.3,144761.97,183692.67,190253.2,4569.033,3806.2273,2831.9275,2841.0173,15577.133,9157.002,0
53128.184,1,1,2,27.00522,2,2,2,2,2,0,20925.791,31806.967,7901.0493,35763.047,336.88733,39662.848,3382.5627,5034.787,2172.7673,1606.491,-2764.909,5542.648,0
147298.05,1,2,1,38.35316,2,2,2,2,2,2,161053.66,153414.56,150132.84,146455.3,176683.7,167940.53,5070.8877,4210.1895,4282.316,10015.358,-4986.1396,6930.1567,0
206951.17,1,1,2,28.59705,2,2,2,2,2,2,243880.12,183054.42,155711.31,138989.16,170803.86,175749.92,5606.932,7499.983,2802.9949,9740.928,-5583.5967,7271.5786,0
347066.38,2,2,1,55.029724,2,2,2,2,0,0,290605.0,252108.77,219413.3,178372.64,197107.6,197637.72,13383.872,9469.972,-577.1277,14915.198,2913.5798,3345.5093,0
434506.1,2,1,1,31.97506,2,2,2,2,2,2,305171.44,253575.52,236573.64,197057.88,212538.47,193480.86,11466.291,13023.297,-2045.9836,24007.602,14500.128,12386.01,0
82299.96,2,2,2,25.996605,2,3,2,2,0,0,69172.266,70142.26,84056.24,83513.95,50413.305,43935.21,3124.9104,3012.0435,504.71948,2807.4805,2062.9302,2598.7227,0
38435.793,2,3,1,25.954218,2,2,2,2,2,2,40743.59,44489.863,34328.086,53850.76,17062.96,27347.664,2099.1064,1328.2098,2797.637,3060.9236,5201.644,-450.1034,0
55360.37,2,2,1,35.82356,2,2,2,2,0,0,55094.742,54908.88,57050.17,68417.43,20433.39,36275.605,2983.4739,3834.787,952.2991,4281.7754,806.9789,-783.5277,0
41423.684,1,2,2,29.836481,2,2,2,2,0,0,7817.375,21054.492,-9774.376,9816.605,5412.778,-11933.258,3347.7874,2553.0032,2128.48,2421.8835,-1048.7157,1501.7618,0
114996.15,2,1,2,28.432955,2,2,2,2,2,2,75282.79,81121.95,93067.6,91890.81,63891.777,84164.586,3086.277,3664.6523,1582.0042,7251.9805,3138.8315,789.0548,0
134386.31,2,2,1,52.27391,2,2,2,2,2,2,79494.47,96973.48,105116.086,108490.18,71146.83,68016.96,2725.4514,2648.834,3086.482,5329.6646,-1964.8427,5291.557,0
114931.0,2,2,2,28.540052,2,2,2,2,2,2,81209.484,87581.32,104313.51,104175.95,78944.39,90830.69,2934.3696,3623.7275,3617.2273,4240.5303,-1029.1058,11564.324,0
118923.48,1,2,2,27.149076,2,2,2,2,2,2,102640.24,102854.35,122714.7,117947.24,121845.47,130352.445,4535.538,5260.5674,2576.2402,10979.957,-1038.8329,7436.018,0
140713.22,2,2,2,27.09837,2,2,2,2,2,2,131657.11,128051.72,131332.9,129667.36,153420.75,156484.31,3868.2712,3430.5195,5431.9,8136.799,-2768.531,6959.6655,0
38164.59,2,3,2,45.24086,2,2,2,2,0,2,1555.3243,9499.107,-9843.177,2875.8396,13967.458,3146.5625,1067.6132,-711.2799,2343.1938,-1184.4102,3625.3687,3655.4902,0
29828.543,1,2,1,52.22754,2,0,0,2,0,0,13490.219,19139.18,-3244.8215,18648.818,1152.6881,15901.949,833.39325,434.05066,2338.2766,2740.2603,2148.2559,455.89807,0
166760.81,1,2,2,32.959473,2,2,2,2,2,2,168208.75,133499.2,135104.39,127038.27,131534.89,118655.125,5645.6816,5853.636,3364.1943,6931.8433,-3203.3186,6958.785,0
219988.6,2,3,2,52.584038,2,0,0,0,0,0,325101.62,261891.56,261861.05,200765.84,219754.95,124413.49,7934.11,9789.858,3175.1138,16742.982,40869.137,72925.11,0
197326.52,1,1,2,31.896437,2,2,2,2,2,2,104609.28,104700.234,120872.34,119837.95,130652.1,145942.94,4248.2676,7499.3457,4301.457,6310.9336,2282.6167,8596.625,0
42905.176,2,3,2,42.042076,2,2,2,2,0,0,19327.152,24590.312,1044.0027,22047.871,10622.276,10922.199,2040.6686,1209.268,1197.102,221.27266,869.7245,9421.248,0
361095.78,2,2,2,28.582994,2,2,2,2,2,0,292972.28,232233.4,191009.4,168184.28,198612.78,198617.98,8140.396,9176.5625,1241.7524,5178.318,7553.514,6797.803,0
43156.074,1,1,2,48.76938,2,0,0,0,2,2,17297.867,19492.424,8862.593,26135.104,8239.63,42272.203,1006.3869,776.745,1976.2273,1033.0471,897.1,4425.4653,0
29664.84,1,2,1,28.967325,0,2,2,7,6,4,-8333.613,8401.771,-7956.8022,1846.1794,1570.9342,462.6446,1907.2723,-183.41127,3046.8682,2054.3308,3642.4739,790.1488,0
295697.75,1,2,2,36.985718,2,2,2,2,2,0,253464.58,191775.28,173442.42,158999.58,191461.14,191898.3,6916.2227,11151.646,2713.4297,4962.235,2511.3928,10122.556,0
49695.168,1,1,2,41.130226,2,2,2,0,0,2,8433.75,19130.855,-5633.8413,12493.527,11766.835,16402.303,2082.0898,1479.3805,1961.2139,2174.3743,-506.49548,5471.051,0
38709.934,1,2,2,26.794237,2,0,0,0,2,2,3383.9104,11868.158,-2613.8098,14887.182,2226.7778,26823.67,1256.6493,1016.7748,3736.4255,-109.97661,1853.0853,2728.4395,0
28908.668,1,3,1,52.17563,2,2,2,2,6,2,38113.887,39855.61,19694.328,47963.242,15582.925,23718.22,1200.5768,956.4398,3872.4673,3008.5312,2552.6675,193.35753,0
27803.145,2,2,1,28.188204,2,0,0,2,0,0,21972.584,23545.857,9223.573,30690.08,2085.9653,37314.28,782.5422,-153.1349,2752.7861,1917.3599,4509.214,-1142.973,0
39341.293,2,2,2,25.571848,2,2,2,-1,-1,2,-2817.7263,9977.67,-1449.7551,31928.408,6111.938,22723.002,1959.6334,801.39734,5358.87,961.2868,-676.34753,50.124134,0
440153.25,1,1,2,39.244648,2,2,2,2,2,2,49002.0,45542.81,47858.523,59486.727,26715.613,36451.195,4377.3184,4908.6143,1130.5833,5008.878,-1493.8407,1492.2806,0
368931.78,1,2,2,29.537848,0,0,0,0,0,0,36535.645,36977.3,134255.36,126581.48,172544.1,186254.22,3734.622,23846.512,6713.792,5591.935,11732.62,18906.191,1
235008.39,2,4,1,46.19738,-2,-2,-2,-2,-2,-2,-8530.676,-2029.0997,-5783.146,-11279.543,13296.6455,21491.184,2712.2563,4903.802,2898.0535,-985.5186,27175.22,3638.726,1
456469.7,1,1,2,38.408916,-1,-1,-1,-1,-1,-1,63658.992,79390.53,60049.61,176007.11,21566.582,1450.1056,23958.24,24877.938,19810.074,39558.996,24113.848,42143.637,1
463791.34,1,1,2,34.180542,-2,-2,-2,-2,-2,-2,53251.938,71927.11,13064.831,47992.797,12782.327,94327.42,29773.66,12112.398,2830.006,18071.637,26262.361,30762.79,1
390234.56,2,1,2,30.264353,-2,-2,-2,-2,-2,-2,12513.102,9326.779,79456.06,3624.5896,8995.04,-1886.3163,2137.629,24357.084,6373.5503,-1143.8413,-3486.8445,16550.422,1
344799.22,2,2,2,26.724195,0,-1,0,0,-1,-1,38571.305,49419.93,84776.234,94380.95,2562.9614,64959.68,23585.662,18060.059,5081.0264,18215.291,25865.969,29946.5,1
