Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.9828349,28.125896,-0.0024022418,-0.32668746,16.916967,481.6529,0.011789473,0.011430431,0.67628473,0.0009058362,Dec,3,2,1,2,Returning_Visitor,False,False
12.500166,994.99335,3.953085,274.03455,53.528347,2851.8152,0.0054549905,0.015370019,-1.2533389,0.0017647763,Sep,3,2,8,2,Returning_Visitor,True,False
-0.09369608,1.935193,0.01206774,-2.3128743,9.841849,291.0645,-0.0005737295,0.025248656,16.519434,-0.0027428025,Mar,2,4,1,8,New_Visitor,True,True
7.991005,56.21244,-0.014837201,2.5873103,44.378944,712.2829,0.0043029417,0.0128416065,19.441978,0.59258425,May,2,2,1,3,Returning_Visitor,False,True
11.315893,2039.3595,9.201726,1185.7426,46.6056,3448.4163,8.213394e-05,0.013362991,3.9373884,-0.000725163,Mar,2,2,1,2,Returning_Visitor,False,True
1.974004,21.722088,1.9713991,97.92745,13.186759,534.3822,-6.7423425e-05,0.004317409,-0.5778256,0.005254818,Oct,1,1,2,2,New_Visitor,False,False
7.9382153,116.0059,4.060883,226.8327,42.32075,578.7043,0.015497856,0.011646874,0.41559878,-0.002127012,Jul,1,1,1,4,Returning_Visitor,False,True
2.0280848,26.91927,7.14276,275.75754,75.821014,2678.8582,0.0016439777,0.024430184,8.274413,-0.0018719229,Mar,2,5,2,7,Returning_Visitor,False,True
8.138881,1619.4393,1.9596957,138.69664,15.379893,1797.6198,-0.0015026623,0.031907503,-2.473218,-0.0033230984,Nov,4,1,3,8,New_Visitor,False,True
10.064141,528.1229,3.0420482,81.75399,50.856293,1623.1382,0.00278272,0.011924384,11.917935,-0.00528899,Aug,3,2,4,4,Returning_Visitor,True,True
1.9829199,14.82932,0.024375383,1.789306,80.93543,2700.142,0.016917495,0.019882122,0.73197263,-0.002280833,Nov,1,1,3,10,Returning_Visitor,True,False
7.0504937,1457.8926,-0.027267989,-3.384232,32.043186,1525.4972,0.0037660159,0.010656195,-2.6990652,-0.005328199,Nov,1,1,4,2,New_Visitor,False,False
6.0737514,173.41228,10.872972,388.6819,40.80757,2661.4016,0.009930941,0.03414147,6.3817816,0.008790424,Mar,2,2,2,2,Returning_Visitor,True,True
7.957094,1000.52045,-0.010500784,-8.014657,31.74832,1013.28546,0.0041831587,0.010788949,14.942763,-0.0016456152,Dec,2,10,7,2,New_Visitor,True,True
15.9530325,592.6414,-0.07484382,-1.2430197,53.87705,2260.0164,0.008882372,0.03176235,1.7644299,0.00789162,Oct,2,4,8,1,Returning_Visitor,False,False
1.9179335,33.49998,0.009220545,-3.159039,9.79168,251.30547,0.015865289,0.02538187,-0.840684,0.00029632653,Nov,1,4,8,8,New_Visitor,True,True
4.0461125,39.53631,0.047772948,-3.3188329,12.986104,228.73357,-0.00020453088,0.014492175,0.23701374,-0.0016390103,Sep,2,10,4,4,New_Visitor,False,False
19.888615,1080.1208,4.058569,176.10385,66.58015,2235.274,0.0064539076,0.01866888,2.7296944,0.011715064,Nov,3,2,1,11,Returning_Visitor,True,False
0.95220333,14.811345,1.9670515,125.99615,13.806115,842.49274,0.038917325,0.041936204,14.312346,0.0026461503,Nov,3,2,4,2,Returning_Visitor,False,False
10.065111,252.74953,0.0076124114,6.390701,216.15993,8157.041,0.00410559,0.017255567,2.8218489,-0.0038783343,Dec,4,1,1,1,Returning_Visitor,True,False
0.9845595,-8.099338,0.019833747,1.2242273,49.713894,1053.9087,0.0061739883,0.016986953,5.2832165,-0.0032071488,Nov,1,1,1,10,Returning_Visitor,True,True
8.086815,242.75616,4.041097,140.01607,29.807072,1522.5991,-0.0011586727,0.0073935133,14.403729,-0.0035482997,Mar,1,2,1,9,Returning_Visitor,True,True
13.224345,888.6301,1.9234997,25.777744,97.94383,2980.978,0.008432773,0.024212625,-0.5824862,0.005256748,Oct,2,6,1,1,Returning_Visitor,False,False
6.9000783,145.39381,0.96110415,97.89513,34.899017,1442.0714,0.020657796,0.027942814,0.7204885,-0.0033239403,Jul,1,1,3,4,Returning_Visitor,False,False
3.9855762,388.97556,4.033517,409.75732,72.35442,5459.6694,0.00962024,0.016640494,2.7989569,0.0011695084,Mar,1,1,2,1,Returning_Visitor,True,True
3.048033,42.238678,4.024035,1622.7574,49.551754,4670.6587,0.008660541,0.030631939,4.103835,0.79493743,May,2,2,2,4,Returning_Visitor,False,True
8.081881,184.75493,2.0311358,150.62427,27.262947,827.57654,0.006390039,0.020952562,7.4284844,-7.72422e-06,May,1,1,2,2,Returning_Visitor,True,True
6.1598725,157.0525,2.9275627,95.30214,46.681984,1651.9988,0.0010921477,0.0069062733,5.6870413,0.00019457022,Mar,3,2,6,10,Returning_Visitor,False,True
10.008617,92.35971,3.020157,139.38966,34.33148,1047.118,0.0036924283,0.03517584,-1.3943425,-0.0029510537,Nov,2,5,9,8,Returning_Visitor,True,False
6.059768,245.50784,2.0329547,204.78458,242.89598,9245.534,0.010519142,0.030182516,1.95623,0.0027729033,June,2,4,3,1,Returning_Visitor,False,True
3.984042,50.24613,0.03201026,1.6634058,6.2789826,112.95061,-4.7021873e-05,0.014637014,0.24577229,0.0013160465,Oct,2,2,4,4,New_Visitor,False,False
20.274458,471.70526,2.9959998,168.44269,90.557076,2294.0483,0.013948283,0.020018471,12.275841,0.008740233,Nov,3,2,2,13,Returning_Visitor,False,True
3.0512376,91.96832,0.02583373,2.187511,24.800032,427.3261,0.0025483936,0.015572036,17.591114,-0.0029032805,Mar,1,1,1,2,Returning_Visitor,False,True
6.918001,100.01149,-0.043488916,-4.3954053,5.855046,106.77214,0.021667814,0.03287026,-0.26444635,-0.00069065933,Jul,3,2,2,5,New_Visitor,True,False
10.04284,186.78494,0.97350883,19.356112,69.67451,2847.1401,0.010749711,0.025723757,10.399505,-0.0014233234,May,4,1,4,3,Returning_Visitor,True,False
4.937043,852.03156,0.061458174,-3.8140836,33.33603,810.4312,-0.0015056081,0.0051731025,18.638199,-0.0026317143,Mar,2,4,9,10,New_Visitor,False,True
0.98790413,39.011307,1.9762278,114.49719,7.011456,110.39189,-0.0005258493,0.009360205,-0.6098767,-0.00031321665,Nov,3,2,4,2,New_Visitor,True,False
0.96482664,30.01968,-0.029188689,-2.7167516,8.19921,375.33197,-0.00019968335,0.022778278,18.576363,0.00012294407,May,2,2,8,2,Returning_Visitor,True,True
1.943194,38.887142,0.0014932794,5.232639,42.304573,1555.9617,0.00059349986,0.0055512064,17.531103,0.9855064,May,1,1,1,4,New_Visitor,True,True
-0.079445325,1.7361192,-0.014325972,-6.247887,25.703405,1236.2616,0.06307023,0.08294582,26.828703,0.001049107,Oct,1,1,4,1,Returning_Visitor,True,True
5.9815164,751.12463,1.9691955,405.8573,5.0159326,85.02702,-0.0027073708,0.016179126,-3.917428,-0.0004414933,Nov,2,5,2,2,Other,False,True
12.122073,573.7198,-0.0016921717,3.5837512,128.99005,6052.721,0.007136479,0.009254165,0.59125036,-0.0026980022,Aug,1,1,2,4,Returning_Visitor,False,True
-0.060286246,4.8116274,-0.0017731148,-1.3881041,36.92561,951.5649,0.0053204116,0.021058926,-0.5667973,-0.00036012923,Nov,2,2,1,8,New_Visitor,False,False
8.893607,330.8953,0.0051268977,1.4514955,21.354242,1836.0386,0.0001636554,0.01301514,13.27339,0.00012412126,Dec,2,2,7,1,Returning_Visitor,False,True
