Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.0404375,35.382633,-0.0064173895,0.7732271,31.577682,1602.0133,-8.116695e-05,0.015704753,3.3861427,-9.375235e-05,May,3,2,9,4,Returning_Visitor,True,False
3.078549,-6.065593,4.874016,1952.9285,24.809187,222.67961,0.028177995,0.032056488,-1.752391,0.018226644,Jul,1,1,3,1,Returning_Visitor,False,False
20.726765,1212.5853,3.2363315,122.83855,205.74431,4495.555,8.630627e-05,0.008269796,179.21808,-0.0039741304,Nov,2,5,3,3,Returning_Visitor,True,False
4.4495916,89.525856,9.825496,515.4377,296.8746,14988.99,0.005095283,0.02560465,0.5762128,-0.013604419,Dec,2,2,1,2,Returning_Visitor,False,False
-0.0105743045,-0.85618126,0.0024400395,2.7420535,0.5004297,36.88091,0.19466618,0.20162417,-0.73667246,0.005653115,Dec,2,5,1,1,Returning_Visitor,False,False
6.9194083,2555.159,3.7083874,390.98068,68.16478,5827.5947,0.028383963,0.037844624,0.37475196,-0.004728472,Jul,3,2,1,13,Returning_Visitor,False,False
1.7497605,334.14557,4.079376,100.308075,-1.0281461,-43.76167,0.0003342048,0.009839542,2.2933626,-0.0062749665,Dec,1,1,3,10,New_Visitor,True,False
0.9195097,17.770489,-0.009565766,10.862536,3.844195,51.660084,-0.00022725142,0.032570425,-0.48515138,-0.0026000717,Oct,2,2,6,6,New_Visitor,False,False
-0.115685664,-2.058505,-0.0003629881,-2.0392766,-0.7738051,5.706713,0.20016405,0.19878969,-0.1475745,0.86988574,Feb,1,1,2,3,Returning_Visitor,False,False
9.699669,1743.4174,3.146801,76.13862,22.047617,1497.1327,0.012299336,0.06891875,4.8822184,-0.008019289,May,2,4,2,3,Returning_Visitor,False,False
-0.048415385,-4.8691587,-0.06830119,4.2572284,3.048266,77.833664,0.2017664,0.2062514,-0.3301154,0.004892638,June,2,4,3,4,New_Visitor,False,False
2.9237397,101.52315,-0.0018226462,-5.0385404,135.72534,3796.1704,0.0015335312,0.0041027186,85.324165,-0.0033687593,Dec,2,10,3,1,Returning_Visitor,False,False
2.9309998,145.5406,2.0441778,120.73735,59.962387,2050.9778,-0.0009737074,0.0014827908,0.60349554,0.6362313,May,2,5,3,2,New_Visitor,False,False
12.101352,263.35776,6.8584895,159.7373,73.202484,1695.2532,0.004051602,0.015253626,41.816463,-0.0051555913,Oct,2,10,1,4,Returning_Visitor,False,False
3.2781274,22.297108,0.9954176,1488.2721,96.66013,3618.706,0.003643261,0.01350764,-1.8901855,0.012173133,Nov,2,2,1,3,Returning_Visitor,True,False
0.08619789,-1.5780746,0.009532456,3.8068347,4.7620606,139.67265,-0.00059672014,0.019522293,0.17743008,-0.00043699314,Aug,1,1,1,2,Returning_Visitor,False,False
10.838767,366.42355,8.809772,337.58096,200.1015,3833.2485,0.0072154547,0.021375878,0.7362861,-0.011468971,Aug,2,2,6,1,Returning_Visitor,True,False
0.016082324,3.197507,-0.0036934572,0.355842,70.688034,3249.3042,0.017216153,0.039940063,-0.6397143,0.0050845463,Nov,2,2,1,13,Returning_Visitor,False,True
