Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.5731995,28.986774,0.4568862,15.211474,31.133623,902.2904,0.02709436,0.048811864,0.3805131,0.61321187,May,2,2,1,3,Returning_Visitor,False,False
4.0771604,145.44304,0.90482247,43.578213,26.70485,770.81067,0.002447456,0.02100838,3.1269588,0.0010825564,Dec,1,1,3,2,Returning_Visitor,False,False
2.2633924,64.81011,0.22215721,10.52259,20.268501,627.0533,0.0058247107,0.022228343,2.0520525,0.0009927099,Nov,1,1,1,2,Returning_Visitor,False,False
1.9241413,78.04076,0.4576416,5.8335567,18.846493,517.52344,0.004576675,0.02386388,0.06941216,0.00093955005,Nov,1,1,1,2,Returning_Visitor,True,False
3.0426624,97.078,0.47744843,13.205493,21.090714,609.6372,0.0075939037,0.029115498,3.8986874,0.0005663281,Dec,2,2,3,2,Returning_Visitor,False,False
2.700063,79.86287,0.5843542,25.943296,23.028358,729.4233,0.022148484,0.038363777,3.7435827,0.0010028762,May,1,1,3,2,Returning_Visitor,False,False
0.7671365,13.8851595,0.32220453,5.3054347,25.04476,787.77765,0.013777087,0.03613767,1.6814116,0.00064122136,Dec,2,2,1,1,Returning_Visitor,False,False
0.66486126,16.557522,0.477892,14.584321,14.189496,490.69025,0.0133676855,0.03311881,0.15635388,-0.00043680688,Mar,3,2,4,2,Returning_Visitor,True,False
-0.019317828,1.7162064,0.00593913,-1.7194258,1.4992701,103.09038,0.1934498,0.194711,-0.18464954,0.0012633038,Nov,1,1,9,1,Returning_Visitor,False,False
0.8799091,11.237103,0.23266992,3.9020152,29.182283,642.9259,0.059547577,0.07030977,1.2504767,-7.354638e-05,June,3,2,1,13,Returning_Visitor,False,False
1.5001346,30.562405,0.69354874,22.79033,33.76805,1435.1254,0.0042991512,0.024219818,2.4098463,0.00068068336,Nov,2,2,9,2,Returning_Visitor,False,False
4.529998,108.62191,1.0942991,17.55387,56.7363,1926.4868,0.0073798364,0.024671433,6.8313794,0.0005632026,Nov,2,2,3,2,Returning_Visitor,True,False
2.4618876,59.611355,0.31781173,3.706653,23.637877,695.1041,0.011874407,0.038401358,2.5283794,0.00033479388,Dec,2,2,1,3,Returning_Visitor,False,False
0.3957124,5.274144,0.039351705,0.84513414,16.018532,598.38635,0.01575483,0.042999588,0.66920465,0.0005163757,Nov,2,2,1,10,Returning_Visitor,False,False
0.9234765,51.16416,0.12991536,2.0252414,19.986893,709.6952,0.01107166,0.05109817,0.21147244,0.02574668,May,1,1,1,1,Returning_Visitor,False,False
3.4684324,103.17829,0.393653,12.047027,30.985523,1147.6163,0.007848312,0.026558544,2.8725777,0.007973401,May,2,2,1,2,Returning_Visitor,False,False
0.6022747,7.5918016,0.8296944,239.10823,9.254617,343.68353,0.081573054,0.09396028,1.2080268,0.0011122396,Mar,1,1,3,1,Returning_Visitor,False,False
3.2036576,101.509705,0.9014052,23.931902,37.5631,1787.0378,0.009396653,0.025500357,3.2033157,0.074194595,May,1,1,1,4,Returning_Visitor,False,False
3.5513878,103.7595,1.386863,31.814123,152.21474,6980.236,0.0044234986,0.019143466,2.4472208,0.0006994141,Nov,2,2,1,2,Returning_Visitor,False,False
1.5487387,40.309082,0.63429904,26.045635,25.481949,871.63715,0.01303343,0.042497944,1.3025569,0.01766265,May,2,2,3,4,Returning_Visitor,False,False
1.3273313,38.533707,0.14784649,2.6157413,17.7934,681.41766,0.00858229,0.042321272,-0.015554504,0.0010006224,Nov,2,5,1,3,Returning_Visitor,False,False
0.065847196,2.5922594,-0.0046064216,-0.96474516,1.8548151,37.99297,0.18124954,0.1878957,-0.09883793,0.012335682,May,2,2,1,3,Returning_Visitor,False,False
1.461325,46.67565,0.13481665,1.6914667,21.426352,733.289,0.017267773,0.040316723,-0.04840572,0.12133319,May,2,2,1,1,Returning_Visitor,False,False
