Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.2353792,41.025608,0.24461725,-2.307221,5.8967195,195.65215,-0.0014710616,0.028329719,-1.286687,0.00035776402,Mar,2,2,9,2,New_Visitor,False,False
1.9434737,77.08868,0.10571659,-1.2073523,11.684781,429.1933,0.0064580734,0.022395335,-0.45410547,-0.00030642172,Nov,3,2,1,2,Returning_Visitor,False,False
-0.05521389,3.8223314,0.042962853,-1.3537718,6.341664,318.40436,0.015403269,0.064605646,-0.8981696,0.23594409,May,2,4,3,1,Returning_Visitor,False,False
-0.043188058,7.6215944,-0.007436927,-2.8852353,8.686751,152.25542,0.056089673,0.0968746,-0.76570517,0.0040381197,May,2,2,1,3,Returning_Visitor,False,False
0.6593383,7.9183702,0.008500044,1.523887,3.482638,209.89653,0.012599154,0.064088576,0.11556046,0.0006599484,Dec,1,1,1,3,Returning_Visitor,False,False
2.1168346,39.543793,1.2454036,26.119251,37.23185,2111.4749,0.017782703,0.033389855,0.27793017,0.005329063,May,2,2,6,1,Returning_Visitor,False,False
0.927262,45.328716,-0.0069165784,-4.8092885,12.577977,416.6563,0.017901575,0.051398695,-0.49127492,0.0015560818,Mar,3,2,1,1,Returning_Visitor,False,False
2.5592206,98.105064,-0.006545897,0.32833803,23.17931,467.1242,0.000211883,0.019307248,-0.31524763,0.0016738978,May,3,2,3,2,Returning_Visitor,False,False
0.0022149452,-1.0744582,0.9605797,10.320502,35.650707,1116.9093,0.00045660665,0.0027893358,0.18714039,-0.0014071407,May,1,1,6,4,Returning_Visitor,False,False
0.43186834,5.221265,0.59229106,16.70134,52.16422,1589.6978,0.0036764562,0.02823014,0.49040976,0.0030190258,Nov,2,2,7,2,Returning_Visitor,False,False
0.39934352,25.143917,0.010794823,-5.828957,10.180753,403.78143,0.028519008,0.06222547,-0.3250819,0.001003394,Mar,2,2,4,1,Returning_Visitor,False,False
1.7268625,49.039646,0.28651685,10.360156,23.129414,998.89215,0.006180928,0.032834336,7.3895807,0.0013652911,Dec,2,2,1,2,Returning_Visitor,False,False
-0.012932741,6.446599,0.002012853,-3.8234372,2.0180573,67.79692,0.15309137,0.17525773,0.36011973,0.0010074695,Dec,2,2,1,1,Returning_Visitor,False,False
3.7521174,85.99372,0.022121135,2.777351,21.69637,607.74445,0.0013001614,0.008324573,-0.4485608,-0.0014659519,Mar,1,1,3,2,Returning_Visitor,False,False
2.099939,123.116425,-0.010295267,-4.3319325,14.2610655,506.46344,0.009846659,0.028049989,-0.98505026,-0.0006161312,Nov,3,2,3,1,Returning_Visitor,True,False
1.4481715,56.21685,0.12602568,4.9637256,33.926746,1517.5148,0.011614855,0.030147811,7.7049217,-0.0003083067,Nov,2,2,1,13,Returning_Visitor,False,False
-0.030100308,4.093625,-0.009275432,-2.4064221,4.610945,202.60722,-0.0006835222,0.028568441,-0.51058584,-0.0018149483,May,3,2,1,6,Returning_Visitor,True,False
2.015647,12.949437,-0.01329958,4.266868,46.67546,2519.1716,0.0056150607,0.0053792023,1.836789,-0.0047562364,May,2,5,7,4,Returning_Visitor,False,False
