Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3.5875857,135.14024,0.39421502,35.10419,11.177421,441.74744,0.0012599385,0.016147831,-0.0061751166,-0.0022618824,Mar,2,2,1,8,New_Visitor,True,False
7.0112824,351.32245,0.4619817,21.875217,49.6845,1610.8534,0.012483145,0.025931858,5.3180513,0.000314912,Sep,3,2,3,1,Returning_Visitor,False,False
1.2419907,43.55845,0.106179126,4.8592906,19.119291,679.5831,0.0073201233,0.035802007,0.046463892,0.0013713596,Mar,2,2,2,1,Returning_Visitor,False,False
1.4512839,40.279865,0.20359498,11.86843,36.218758,1177.1565,0.0073762755,0.0316296,2.0842838,0.0019181316,Nov,2,2,3,2,Returning_Visitor,False,False
1.692999,55.81499,0.425839,24.420336,35.159904,1205.0492,0.0076789134,0.032104954,3.1681957,0.0007919578,Dec,2,2,1,2,Returning_Visitor,False,False
2.1319184,96.20435,0.2602719,14.234311,21.592611,658.6209,0.009060865,0.03137874,1.0555447,0.01873878,Dec,1,1,1,3,Returning_Visitor,False,False
0.80947536,33.890766,0.1477764,8.152312,26.406645,874.34906,0.010902964,0.039406717,0.88929075,0.032531813,May,2,2,6,1,Returning_Visitor,False,False
2.6196046,88.84345,0.36395732,21.90741,22.64661,731.2127,0.0068222457,0.027544202,2.328803,0.018406587,May,1,1,3,2,Returning_Visitor,False,False
2.1548274,70.61214,0.28567585,18.070723,35.891438,1206.1115,0.0076437183,0.0314083,3.0387096,0.104907475,May,2,2,2,4,Returning_Visitor,False,False
0.13212422,12.164128,0.08039159,2.3128734,13.322337,394.3199,0.096971594,0.1250804,-0.36666593,0.1322904,May,3,2,1,13,Returning_Visitor,False,False
1.3707634,42.250225,0.19561023,8.048709,27.137033,878.9512,0.0156929,0.041068397,0.6664323,0.18479232,May,2,2,1,1,Returning_Visitor,False,False
2.0508893,73.478,0.20148301,15.1034975,16.72979,502.3302,0.0019880494,0.020195477,0.029912872,-7.3982235e-05,Dec,2,2,1,2,New_Visitor,False,False
1.0158592,52.27819,0.142914,15.114549,16.764616,743.39813,0.004480081,0.03245283,1.2864684,-0.00044183602,Mar,2,2,1,1,Returning_Visitor,False,False
2.043622,100.06725,0.31154314,23.1866,26.096529,898.4973,0.010729425,0.032480925,2.577177,0.039574817,May,2,2,4,1,Returning_Visitor,False,False
-0.057094775,4.787801,0.013666992,2.6239505,3.0310693,45.32561,0.19098322,0.19293603,-0.11002262,0.021495255,May,2,2,1,1,Returning_Visitor,False,False
1.6247528,63.67236,0.27651623,7.7427325,27.322708,795.11456,0.009252908,0.02645909,1.2486371,0.00028172712,Nov,3,2,1,4,Returning_Visitor,False,False
5.899283,289.06903,4.267635,258.2452,74.43438,2482.6191,0.009103479,0.025745926,9.612584,0.015480099,Dec,2,2,1,2,Returning_Visitor,False,False
5.4996552,179.01407,3.6570284,217.06723,60.136307,1994.4407,0.0049456167,0.02011518,20.643261,0.009537483,Nov,2,2,1,2,Returning_Visitor,False,True
3.1798193,103.08927,0.35907188,16.650257,29.48955,1170.524,0.003484845,0.018354075,24.681328,-0.0016130375,Mar,2,2,1,1,Returning_Visitor,False,True
3.7653792,119.19475,0.7316907,35.613796,52.869728,1509.8434,0.0072607216,0.025139105,12.022161,0.0076663066,Nov,2,2,4,1,Returning_Visitor,False,True
2.3225384,100.873856,0.4015893,17.929522,30.661556,1043.4932,0.0042615565,0.021395333,23.919695,0.077265255,May,2,2,1,4,Returning_Visitor,False,True
1.9875857,77.43354,0.27438742,11.423091,37.381187,1333.4282,0.008402447,0.02748862,10.729245,0.011088153,Nov,2,2,1,1,Returning_Visitor,False,True
3.4130135,99.9068,0.38827947,17.410088,46.889183,1516.1654,0.0051012854,0.02123636,13.687856,0.00048124994,Nov,2,2,3,2,Returning_Visitor,False,True
10.510538,365.76016,4.627616,298.8977,192.7502,7223.629,0.006084845,0.020738706,6.8582234,0.000996506,Nov,2,2,1,2,Returning_Visitor,False,True
1.6935747,90.57014,0.24641517,18.516716,21.49236,770.054,0.00058484136,0.012024572,43.575855,0.029756896,May,2,2,1,2,New_Visitor,False,True
2.2348785,78.19964,0.20522875,16.388779,22.987907,840.94196,0.0013127845,0.013675852,27.81229,-0.0006664934,Dec,2,2,1,2,New_Visitor,False,True
6.3991795,246.21072,3.7137675,290.0088,54.28879,2284.8892,0.0045530307,0.01649147,13.646183,0.009902647,Mar,2,2,3,2,Returning_Visitor,False,True
3.0917475,106.77635,0.28097725,9.384025,45.3039,1441.6377,0.007466355,0.023983592,16.87333,0.011251023,Nov,2,2,3,1,Returning_Visitor,False,True
5.846086,208.11734,0.6903462,45.593296,151.01903,5678.357,0.0040090545,0.017122645,10.675789,0.001814237,Nov,2,2,1,2,Returning_Visitor,False,True
2.4623752,81.07447,0.121537514,8.077903,20.901728,782.15076,0.0016251846,0.019257115,22.929338,-0.0009934622,Nov,2,1,1,8,New_Visitor,False,True
2.2523918,81.955154,0.3784842,38.832367,29.649994,1078.5701,0.0014854787,0.012368735,56.4276,0.010733193,May,2,2,4,2,Returning_Visitor,False,True
2.0949664,74.95024,0.11825884,0.747722,19.3711,981.3612,0.00093661586,0.011555847,97.34147,0.00069548766,Dec,8,13,9,20,Other,False,True
3.084533,96.37251,0.3253202,12.531594,45.306248,1441.2622,0.007817853,0.023211535,14.411767,0.00619903,Nov,1,1,1,2,Returning_Visitor,False,True
2.0040295,86.897575,0.21697903,12.774636,29.965294,1113.3065,0.0016706927,0.014067896,89.87771,0.0014131462,Dec,2,2,1,2,Returning_Visitor,False,True
