Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.9656505,28.170757,-0.002105351,-0.14429532,17.934626,420.1125,0.011553187,0.011450842,0.069269106,4.210899e-05,Dec,3,2,1,2,Returning_Visitor,False,False
8.085547,140.10968,8.24295,349.06528,46.345707,2030.2649,0.0055296416,0.007174256,5.747965,-0.00160286,Mar,2,2,4,2,Returning_Visitor,False,True
0.08488063,4.791463,-0.017379161,0.60030305,14.914063,260.65375,0.0001462974,0.014170269,-0.051879957,0.0051741954,Nov,4,1,1,20,Returning_Visitor,False,False
4.0272894,56.242596,1.9718671,8.44826,8.671819,207.80522,0.019058017,0.03660947,-0.29733858,0.0020505285,Nov,1,8,3,6,Returning_Visitor,True,False
11.263508,2034.5328,9.081045,1145.9799,44.1465,3660.804,0.0003531395,0.014818614,7.055021,0.00422555,Mar,2,2,1,2,Returning_Visitor,False,True
-0.049016677,1.3960694,0.0076620025,-0.18930875,65.01794,6026.623,0.005348996,0.025849992,0.2549638,0.00044490228,Sep,2,4,9,3,Returning_Visitor,False,False
7.004387,1469.3414,-0.010430451,0.4236406,27.463537,1441.6575,0.003373536,0.010836208,-0.00998886,0.0007894432,Nov,1,1,4,2,New_Visitor,False,False
2.8133807,255.90428,1.0337825,1769.5164,377.5963,13146.917,0.0017783722,0.009978307,-0.0833493,0.0066634547,May,2,2,1,19,Returning_Visitor,True,False
7.9594264,968.4084,5.987228,185.95453,133.47502,5985.1455,0.029409003,0.053299308,-0.7936507,0.0024473167,Nov,3,2,1,3,Returning_Visitor,False,False
6.188908,161.2099,10.024099,401.54163,17.9629,645.8213,0.0053701946,0.0045805504,-0.18515308,-0.0031576694,Mar,3,2,8,8,New_Visitor,False,False
2.0999637,53.57258,1.986196,8.365569,42.38928,1541.6948,0.00024935478,0.004756753,8.774185,0.0015457628,Dec,8,13,9,20,Other,False,True
0.08275727,7.598813,-0.018359479,-0.97735274,7.1053605,535.8581,3.2485135e-05,0.049627215,0.13294308,0.002663823,Nov,2,2,4,20,Other,False,False
-0.02547475,1.3511399,-0.020596202,3.7315288,8.422549,250.0977,0.0005260069,0.025290618,17.677984,0.99327993,May,2,2,2,4,Returning_Visitor,True,True
9.808295,182.54378,1.015948,15.295854,70.65774,2861.3591,0.010241184,0.025894722,8.476959,8.6674634e-05,May,4,1,4,3,Returning_Visitor,True,False
4.0781927,101.38008,-0.039390024,2.1015239,2.274611,33.324146,0.00035958798,0.049564425,-0.20804031,-0.002495648,Nov,1,1,2,8,New_Visitor,True,True
10.928565,242.61865,0.9867901,1.2664179,31.139345,691.4497,-0.0002903336,0.017310072,0.29695025,0.0005400723,Aug,2,4,7,2,New_Visitor,True,False
5.966459,733.7932,1.9632068,406.07706,1.8964792,125.808395,-0.00032075806,0.015139336,-0.1540118,-0.00060600584,Nov,2,5,2,2,Other,False,True
6.106959,106.83577,-0.05044287,0.5348238,9.201489,1220.464,-0.00040575242,0.012805477,0.66565603,5.0386247e-06,Dec,4,1,4,8,New_Visitor,False,False
11.829592,971.91534,3.9490457,280.8499,51.534317,2847.3738,0.0050067524,0.017913705,-0.67845446,0.0027211218,Sep,3,2,8,2,Returning_Visitor,True,False
13.066939,211.02194,-0.017574545,4.016151,8.79839,194.74431,0.0132211475,0.033379134,-0.5514756,0.00081755425,Oct,2,6,2,20,Returning_Visitor,True,True
2.940493,517.3922,0.02187771,0.80277956,28.436304,3248.3635,0.0025812273,0.0338717,15.376396,0.00078581105,May,1,1,1,1,Returning_Visitor,False,True
8.02944,390.90775,-0.0022093016,3.1168208,25.164732,969.6428,-0.0003652641,0.0017688782,0.31617156,0.003531976,Aug,1,8,1,6,New_Visitor,False,True
11.138663,1670.7356,0.0023374003,0.25408494,13.138337,1889.2051,-0.0009084962,0.014676921,10.545935,-0.0015922392,Mar,1,1,2,3,Returning_Visitor,False,False
1.970733,25.604572,0.010953848,1.0909799,150.02766,4817.051,0.011977419,0.019578,-0.17824657,0.0017643516,Nov,3,2,8,13,Returning_Visitor,False,False
3.0354292,46.20206,0.012956505,0.7260164,6.3090196,169.25835,-0.00045714373,0.0337477,4.297145,0.003080344,Oct,2,7,7,20,Returning_Visitor,True,True
3.0825126,40.849636,2.0060601,40.84438,18.761,1039.3704,0.024923686,0.040825035,13.971036,-0.002725588,Mar,3,2,2,3,Returning_Visitor,True,True
4.9050617,659.9568,2.995704,369.2093,34.217392,1412.0968,-0.000455933,0.017763466,6.8184032,0.00044939498,May,2,4,2,4,Returning_Visitor,False,False
4.9374213,476.6333,2.0139627,196.08127,113.78462,4065.5938,0.003826238,0.012575865,-0.29101762,0.0030846542,Aug,3,2,9,5,Returning_Visitor,False,False
6.083194,43.1497,0.015353267,-0.25998366,44.8778,1868.8882,0.029128682,0.055891037,15.008426,0.5859568,May,2,2,4,6,Returning_Visitor,False,False
-0.04881545,3.0838137,0.037363652,2.5728946,12.451774,284.70392,0.013403396,0.01939178,14.251479,0.00090564246,Sep,3,2,1,6,New_Visitor,False,True
2.961352,123.334076,3.0191844,186.7765,85.631935,1841.203,0.00012137522,0.0057214857,1.1813258,0.0023063293,Aug,2,2,3,4,Returning_Visitor,False,False
-0.0044076075,2.4932222,0.0066050333,-0.44415724,13.086368,379.60516,0.00013367146,0.048862368,16.86427,0.003942175,Aug,4,1,1,3,Returning_Visitor,False,True
2.937314,428.59164,-0.011521275,2.9216418,22.727571,1210.4457,-9.7484655e-05,0.0105275195,0.010485574,0.0022218584,Oct,4,1,1,4,New_Visitor,False,False
0.9512369,1.0238847,5.9354324,1061.0238,73.6949,3663.5354,0.007056495,0.024500152,-0.33759412,-0.0002064908,Nov,3,2,5,2,Returning_Visitor,False,False
10.860741,272.26486,1.9973445,71.08279,48.77054,1753.2699,9.123017e-05,0.021009922,0.2838172,-0.00041416084,Sep,2,5,4,1,Returning_Visitor,False,True
4.9734406,105.32166,2.9475777,223.5914,6.282063,412.61407,0.00046426957,0.024459831,-0.32849416,0.0007501302,Sep,1,1,1,5,New_Visitor,False,False
0.01571969,7.001096,3.0163085,554.17145,31.343262,756.1279,0.000965783,0.013405502,-0.18621643,0.004350135,Nov,1,1,3,20,Returning_Visitor,False,False
7.861604,274.23233,2.113718,1671.5096,42.986572,1742.7562,-0.00040908562,0.018632641,17.516142,-0.0015950481,Dec,3,2,5,2,Returning_Visitor,False,True
0.9769946,9.143231,-0.024166998,0.31800783,8.474509,546.6057,-0.0003198761,0.0072038365,8.13588,-0.0035520436,Dec,2,5,3,8,New_Visitor,True,True
-0.063125335,-1.0944701,-0.025635656,4.0964465,60.474903,4393.0303,0.0029785146,0.015060231,-0.07149704,0.0024788252,June,2,10,2,1,Returning_Visitor,False,False
9.012992,184.50494,2.0568082,515.00037,88.90696,2704.1929,0.0074326517,0.025988663,5.6207943,0.58801836,May,4,2,8,4,Returning_Visitor,False,False
8.919311,182.38885,2.9088867,184.515,7.2996755,239.51604,-0.00025210375,0.035735514,0.012951775,0.00014461408,Jul,2,2,1,2,New_Visitor,False,False
0.9865554,37.218506,1.9439411,118.89832,6.857924,76.816574,0.0003151136,0.010179676,-0.1074477,-0.00061069225,Nov,3,2,4,2,New_Visitor,True,False
0.9937524,111.80188,0.0019435328,-0.5806128,36.7339,2073.5176,0.0044786413,0.015984636,12.523527,-0.002449447,Mar,2,5,3,6,Returning_Visitor,False,True
7.8949323,292.1999,3.0011146,229.98178,23.180395,1019.81006,-0.00033117956,0.01435894,10.321033,-0.0022348145,May,2,4,3,3,Returning_Visitor,False,True
0.97657806,87.64411,-0.025346454,1.4789919,16.708534,1178.2319,0.00011732955,0.012445994,9.708122,-0.0013932231,May,1,1,3,4,New_Visitor,True,True
1.903656,148.18037,0.028924052,2.6507068,28.006868,482.7577,0.0002856177,0.01417545,0.03203766,0.0026695451,Sep,1,8,7,1,New_Visitor,False,False
-0.010950767,-2.6784391,-0.003129776,1.6089967,9.801402,268.48053,-4.6873793e-05,0.020335056,16.430569,0.0013019351,Dec,2,10,7,2,Returning_Visitor,True,True
-0.052626573,-0.72391045,3.043239,500.474,166.67142,3234.0884,0.0056212232,0.013930673,6.0129175,0.0007008521,Dec,2,2,1,1,Returning_Visitor,False,False
0.020950831,0.06883706,-0.026799735,0.24640216,22.704771,361.55157,0.02947829,0.0413458,0.00054161134,0.0024464114,Nov,1,8,6,11,Returning_Visitor,False,True
1.9245619,574.6988,0.98167807,55.00368,21.659271,955.0318,-0.00055176986,0.00802419,9.771523,-0.00087063183,Dec,2,2,4,2,New_Visitor,False,True
9.756382,277.76385,1.0027593,7.134792,18.254705,725.27,0.00022109937,0.01913839,-0.36670694,-0.0013525913,Sep,2,2,5,5,Returning_Visitor,True,True
5.989881,49.353218,-0.030742344,1.9319986,13.239701,843.827,0.00072971696,0.009685729,-0.052261427,0.0009962005,Oct,4,1,3,5,New_Visitor,False,True
6.087922,97.68417,3.0578516,12.731256,77.812485,5502.5,0.021434179,0.047092836,4.1425924,0.18832147,May,2,2,8,3,Returning_Visitor,False,True
2.9200635,111.69691,2.022235,694.99194,36.753998,1301.9562,0.0149115585,0.022149563,6.03703,0.0029696173,Aug,1,2,8,2,Returning_Visitor,True,True
0.9735368,45.470547,-0.014417346,-2.4913297,19.481249,671.54126,0.00023273252,0.02153324,14.536158,-0.0013205128,Dec,1,1,4,10,Returning_Visitor,False,False
4.088509,36.279366,-0.019699808,0.12272585,45.19607,653.8377,-5.178093e-05,0.0040494767,0.6288604,-0.0021380277,Mar,2,2,7,8,New_Visitor,False,False
3.9204786,90.625656,0.017698232,2.9920764,1.5333163,16.49895,0.00040942678,0.03269023,0.16858093,0.00074340234,Sep,2,4,1,5,New_Visitor,False,True
13.145346,659.58966,-0.01680499,1.4661554,79.794716,4279.3955,0.0024665731,0.022978902,2.32522,-0.0004694516,Dec,1,1,6,2,Returning_Visitor,True,True
