Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.0398792,35.794006,-0.004601534,1.8396562,29.891346,1582.3052,-1.05997115e-05,0.015201196,3.1772633,-1.2086535e-05,May,3,2,9,4,Returning_Visitor,True,False
2.9693828,30.46111,4.919433,2147.7898,20.62334,376.61322,0.02966158,0.0308888,0.1439027,-0.0021716522,Jul,1,1,3,1,Returning_Visitor,False,False
7.043333,2665.2126,3.0755856,357.94473,67.85787,5903.5967,0.031647813,0.0373489,-0.106055334,0.008473834,Jul,3,2,1,13,Returning_Visitor,False,False
-0.0035462014,0.90108955,-0.0063103396,2.4054332,1.2392527,7.7747064,0.199517,0.19957732,0.036080286,0.0032231978,Nov,1,1,6,2,Returning_Visitor,False,False
5.135064,104.36198,10.035982,505.60953,278.78085,15102.885,0.008731542,0.029764934,0.036910936,0.0022714569,Dec,2,2,1,2,Returning_Visitor,False,False
-0.114576064,2.5699663,2.0589533,327.17606,2.857905,70.241135,-0.0001994142,0.032871034,0.44549456,0.0019029361,Dec,3,3,2,8,New_Visitor,False,False
2.965245,608.9726,6.0894723,77.32917,49.536625,2428.2278,0.020349529,0.03730484,-0.16013153,0.9971514,May,1,1,3,15,Returning_Visitor,True,False
21.532244,1139.5798,3.0321329,104.50135,200.12442,4227.133,0.0013939791,0.009393619,176.82979,-0.0018363612,Nov,2,5,3,3,Returning_Visitor,True,False
-0.045514546,0.9107865,-0.012700136,0.4904207,2.9237275,17.233812,0.20045154,0.20030767,0.02321331,0.8015675,May,3,2,1,13,Returning_Visitor,False,False
1.9562536,188.2691,0.014910226,0.5779184,26.3962,1171.1135,-0.00023170967,0.0071304017,0.123927996,-8.754974e-05,Nov,2,4,6,11,New_Visitor,True,False
-0.004353725,-1.4555389,0.00026750984,3.5328937,0.9145685,7.258837,0.1985937,0.20264333,-0.01456459,-0.0020470263,Nov,8,2,9,3,Other,False,False
9.903687,1766.6011,3.0352018,70.97348,22.187925,1523.5011,0.013923,0.06801337,4.1423798,0.005040778,May,2,4,2,3,Returning_Visitor,False,False
4.911299,264.44754,0.018747155,0.9241861,2.7687364,225.19939,-2.6845702e-05,0.02845263,-0.054628447,0.0005978888,Mar,1,1,9,8,New_Visitor,False,False
1.0234592,12.30309,0.019435469,-0.31430113,58.438805,4175.8354,0.008588693,0.016983883,-0.19299705,0.0010997636,Nov,3,2,3,10,Returning_Visitor,False,False
3.0257645,33.4873,1.0283155,1536.1425,95.82677,3952.212,0.0015572595,0.010938775,0.65774053,-0.0072526876,Nov,2,2,1,3,Returning_Visitor,True,False
9.84795,213.48972,0.05574626,4.600017,7.9097867,230.83855,0.00070608186,0.0055931197,-0.22406109,0.59419453,May,2,5,1,5,New_Visitor,False,False
4.943246,85.79806,3.9911356,360.3655,30.047798,534.64294,0.014104807,0.029533863,0.036817476,0.0011688118,Oct,4,1,3,1,Returning_Visitor,False,False
-0.012614214,2.1596117,0.0016902131,1.9256967,0.7287851,-10.261183,0.19943246,0.20049869,0.16311829,-0.001642296,Nov,3,2,2,11,Returning_Visitor,True,False
0.004791535,4.5176973,0.014530246,2.893539,7.686768,475.03967,0.00036578966,0.07471785,0.30306998,0.0018598196,June,2,7,2,1,Returning_Visitor,False,False
8.019939,58.173195,1.0018082,2.8970447,112.692696,8403.05,0.01179204,0.029551765,-0.25836858,0.80073,May,3,2,2,6,Returning_Visitor,False,False
8.971918,554.9033,3.994354,122.02202,94.16707,5550.658,0.00043463675,0.007257663,-0.095087126,0.0023789278,June,2,2,5,2,New_Visitor,False,False
-0.024862729,-1.9476501,-0.00457048,0.4075235,1.0406176,-3.2344491,0.20128244,0.20474494,-0.39255342,0.00039060245,Feb,3,3,3,2,Returning_Visitor,True,False
-0.010508263,0.65176094,7.0345592,1201.2604,10.705308,442.15002,0.036458176,0.041080758,0.08603375,0.0011146163,May,1,2,3,2,Returning_Visitor,False,False
