Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.64758235,65.12344,-0.01823574,-0.5450293,11.233407,361.19305,0.00011151251,0.019032031,0.41571513,-0.00012619962,Dec,2,2,4,2,New_Visitor,False,False
1.0194271,52.717827,-0.008749957,0.7194208,42.08884,1461.3423,0.007833837,0.038216475,0.3369607,0.00059470366,Nov,2,2,2,2,Returning_Visitor,False,False
-0.008941376,-1.8730575,-0.0014128047,0.19704379,14.685115,903.02576,0.025524177,0.066608414,0.1653661,0.0028239845,Mar,4,1,4,1,Returning_Visitor,False,False
-0.02768775,2.4488192,0.023643259,2.1020503,9.53444,365.87628,0.14722735,0.16657718,-0.25310525,0.0014369172,May,3,2,1,13,Returning_Visitor,False,False
1.4529314,52.058693,0.1615906,1.3251756,18.23953,595.5871,0.010840141,0.04103562,2.9940395,0.094617546,May,2,2,6,4,Returning_Visitor,False,False
-0.03190609,-2.041316,0.012837951,2.3750873,3.7713037,473.26202,0.16064583,0.17484914,-0.12058075,0.0012449903,Nov,1,1,6,1,Returning_Visitor,False,False
1.9960141,56.05699,3.861697,391.43164,56.027363,2423.308,0.011188115,0.03166396,2.4316292,-0.0002889501,Nov,3,2,5,2,Returning_Visitor,False,False
6.2144475,173.49673,0.06328309,0.60938966,28.392126,608.58765,0.02591209,0.04093204,8.7205925,0.0014672113,Sep,2,2,1,1,Returning_Visitor,True,False
-0.036162816,5.4098406,-0.013300057,1.5277971,19.263968,1851.0713,0.010137942,0.042288944,0.12630837,0.00038287247,May,2,5,6,6,Returning_Visitor,False,False
3.9845505,126.37888,0.0044747037,0.65965974,15.8625345,260.00372,0.003868861,0.015970469,-0.030491905,0.00024442206,Sep,1,1,1,2,Returning_Visitor,False,False
-0.055510484,-1.3121597,-0.016137477,0.33783662,37.24974,1076.7672,0.043447945,0.0737861,-0.17520912,0.59946847,May,7,1,6,3,Returning_Visitor,False,False
0.34884456,6.42513,0.23086387,15.97359,30.569822,942.3935,0.017445516,0.06371153,-0.06563957,0.0030078648,Aug,2,2,1,1,Returning_Visitor,False,False
-0.08301636,1.1976441,0.00056267204,0.3483919,2.067988,67.43132,0.15002106,0.17207167,-0.018203812,0.19170564,May,1,1,5,2,Returning_Visitor,False,False
5.951537,535.08484,3.5519466,70.72992,68.37226,2707.426,0.013116742,0.026846807,3.1782227,0.00042179058,Nov,3,2,3,1,Returning_Visitor,True,False
7.2160153,222.56885,0.51156604,0.868667,23.766186,551.021,-0.0002425009,0.012616737,0.31963244,-0.0013137738,Mar,2,4,7,2,New_Visitor,True,False
2.6282353,77.36171,0.0006944579,0.71575105,15.014483,871.66974,0.007163497,0.019374877,-0.10327919,-0.0007389279,Dec,3,2,3,1,Returning_Visitor,True,False
2.3102252,50.803345,0.0051938933,0.15805377,26.758953,724.51056,0.0047281333,0.02029203,0.07320587,0.00052302907,Nov,2,2,6,1,Returning_Visitor,False,False
2.0093124,55.728477,0.9978927,4.05907,62.715717,1425.5747,0.01400069,0.03926423,0.32982245,-0.0008112656,Dec,2,2,6,10,Returning_Visitor,False,False
0.41959193,7.7023134,0.52139693,21.59673,37.460167,1143.1447,0.001580198,0.01994549,3.6116104,0.25120142,May,3,2,3,6,Returning_Visitor,True,False
4.512384,71.29009,-0.01002794,3.2520518,21.483498,531.7117,0.007687281,0.024270091,-0.10624893,-3.7064605e-05,Jul,2,2,1,5,New_Visitor,True,False
0.55494386,12.593503,0.15585631,1.8428873,20.959612,776.1675,0.007372462,0.03653498,3.1546545,0.0006475022,Nov,2,2,2,1,Returning_Visitor,False,False
3.9366663,498.65292,0.024915043,0.5299181,42.15207,1118.6001,0.015251122,0.017890751,-0.3700858,0.0011732114,Sep,3,2,3,13,Returning_Visitor,False,False
0.008186377,-0.32987508,-0.0070352512,-2.9465299,10.644702,777.6006,0.0002376974,0.025962878,0.04561989,0.0019362328,May,4,2,3,13,Returning_Visitor,False,False
0.63811475,7.582593,-0.020023163,-1.9134794,38.10971,1162.6823,0.009579705,0.023209179,-0.06422241,-0.0015163029,Nov,1,1,3,3,Returning_Visitor,True,False
0.42286828,-0.7263595,0.026821021,0.5920404,6.5364633,132.6558,0.12210322,0.13634814,-0.010534362,-0.00049081986,Dec,3,2,9,1,Returning_Visitor,True,False
2.5639174,23.78371,2.436238,110.65722,8.776158,258.40558,0.012149445,0.026776457,-0.12346847,-0.0013069081,Nov,3,2,1,8,New_Visitor,True,False
1.9474982,113.99714,0.68371254,81.36625,6.6944776,221.17278,0.016590195,0.0281184,0.033018038,0.25273404,May,1,1,8,2,Returning_Visitor,False,False
8.939741,200.14731,0.0014008922,0.35365617,41.225742,2023.3268,0.011440775,0.02957909,3.3841066,-0.000688182,Dec,3,2,3,2,Returning_Visitor,True,False
2.9941864,140.87537,6.0347133,476.9838,102.12333,3053.1711,0.0034082828,0.01998371,1.0645093,0.0012485628,Mar,2,2,4,1,Returning_Visitor,False,False
-0.10323974,-3.3439207,0.0076116365,2.3728938,1.5009829,-6.472852,0.20016211,0.20328139,-0.01972969,-0.0007208491,Dec,3,2,3,6,Returning_Visitor,True,False
3.7416284,91.6537,-0.0023289877,3.2671618,27.599585,822.22516,0.006318291,0.007997526,-0.18618877,0.0035414419,Aug,3,2,1,4,Returning_Visitor,True,False
4.022564,167.52184,-0.009714241,-2.5187154,23.962128,453.93567,0.0012171488,0.0144302435,0.060496256,-0.00083788653,May,3,2,3,2,Returning_Visitor,False,False
-0.07839175,1.3349808,-0.015007908,-2.0733838,12.928847,436.65094,0.027156293,0.06843099,-0.07795437,0.4733737,May,1,1,4,3,Returning_Visitor,False,False
1.9673594,139.02422,0.6623316,11.369224,4.5522866,116.60515,0.00029918426,0.020445261,0.076162264,-0.0022086406,Dec,3,2,3,2,New_Visitor,False,False
0.6024087,9.179715,0.0057952446,0.38130128,9.92954,384.4035,0.013986052,0.06199726,0.050755426,-0.00053755735,May,2,5,1,3,Returning_Visitor,False,False
5.016912,150.62405,2.0172124,42.939907,47.864735,1274.3597,0.004963,0.020417996,7.0046296,-0.0007240342,May,2,2,6,4,Returning_Visitor,True,False
1.9226289,103.54234,0.04281408,1.0293459,37.129467,919.4841,0.014238028,0.031642273,2.7216072,0.0010982101,Sep,3,2,1,1,Returning_Visitor,False,False
0.9157732,8.00958,0.008195941,-0.40956557,13.077121,711.21375,0.05149167,0.07697002,-0.14694126,0.0008094592,Jul,3,2,4,3,Returning_Visitor,False,False
0.3375788,10.224286,-0.00403976,0.6471628,17.478077,582.111,0.0071850438,0.028848732,-0.29212102,0.00074715744,Nov,3,2,1,2,Returning_Visitor,False,False
0.10058478,5.332402,-0.0077198106,-1.3483855,16.679602,355.96356,0.01403753,0.04040011,-0.04982288,0.08777008,May,1,1,1,3,Returning_Visitor,False,False
1.3314334,22.388462,1.9944811,53.67374,73.72316,3486.019,0.0037267709,0.0201203,-0.17599876,0.0015298148,Nov,2,2,1,2,Returning_Visitor,False,False
0.001343287,1.9009064,-0.009269531,1.3115343,5.385943,130.0302,0.00021662623,0.027524626,-0.2558156,-8.236414e-05,May,3,2,1,6,Returning_Visitor,True,False
3.0499475,30.803669,2.9147236,253.87143,113.39445,3133.668,0.003559185,0.016624557,-0.14200981,0.0008209331,Nov,2,2,7,2,Returning_Visitor,True,False
-0.020611487,-3.151454,-0.00071662245,1.2000536,2.8633676,-13.697706,0.15711789,0.17764017,-0.051266745,0.00047377328,Nov,1,1,3,2,Returning_Visitor,False,False
0.5112241,28.312542,0.011459534,-0.24231015,18.280657,536.1024,0.015762724,0.051187795,0.11945622,-0.00067487155,Mar,2,2,6,1,Returning_Visitor,False,False
3.0995276,51.067417,0.48240915,-0.30793822,7.5215573,144.73271,0.00038297815,0.019779336,0.23553745,-0.0020951347,Mar,2,2,3,10,New_Visitor,False,False
2.9480383,155.80508,2.986241,88.032074,76.62567,2851.273,0.03906452,0.053177968,-0.27065095,0.0013517087,Sep,3,2,6,13,Returning_Visitor,False,False
3.3197584,40.613174,0.6656734,41.912327,49.690933,1964.1771,0.0049014674,0.019526284,1.4557885,0.0010100995,May,2,2,7,4,Returning_Visitor,False,False
3.5040944,51.415585,0.011388247,-3.204144,32.576405,615.55963,0.001792559,0.016326744,5.7752247,-0.0010109002,Sep,2,2,5,2,Returning_Visitor,False,False
0.026420869,1.6293687,0.029030327,1.9274782,2.975245,32.246754,0.20456742,0.20136982,0.06836979,0.00033047254,Mar,2,2,1,3,Returning_Visitor,False,False
2.607757,44.4495,-0.014072235,-1.0433584,26.251612,572.5493,0.010293702,0.02374366,0.13614456,-0.0018883067,Mar,2,5,2,2,Returning_Visitor,True,False
3.346777,76.79186,2.3738918,46.393562,65.75987,1856.3413,0.0024646202,0.029868498,9.170233,0.00075237284,Nov,2,2,4,2,Returning_Visitor,False,False
0.4440947,7.2216463,0.017450694,0.16291751,17.42909,892.92444,0.00316135,0.03543936,0.003579064,-1.2026931e-05,Mar,2,2,1,1,Returning_Visitor,False,False
0.33118442,8.418965,0.016012136,0.93442094,8.364558,598.70416,0.028012618,0.060856868,-0.018149452,0.21524268,May,2,2,1,1,Returning_Visitor,False,False
8.935465,186.20511,0.9861249,3.615501,124.33574,2537.4216,0.011938897,0.022843752,-0.16403778,0.5784705,May,3,2,3,4,Returning_Visitor,False,False
7.429099,173.58871,1.01951,21.683193,30.200272,697.5896,0.0026189198,0.025640042,0.85556024,-0.00052882155,Sep,2,5,3,3,Returning_Visitor,False,False
0.5838552,17.205853,0.15303999,-1.792195,21.380856,545.1745,0.0073433626,0.029332435,0.11460678,-0.0011618602,Mar,2,2,3,1,Returning_Visitor,False,False
1.820795,126.15353,-0.017234322,-1.3445936,6.0117383,311.20978,0.000110288755,0.022091039,0.15465824,0.0015118403,Dec,8,13,9,20,Other,False,False
1.9569732,37.738354,0.01669145,2.3142848,13.710118,320.11676,0.0026090338,0.017767353,-0.2936879,0.0013453459,Sep,3,2,1,2,Returning_Visitor,False,False
0.065666236,0.9436692,0.0067155403,0.8449892,7.628836,695.2423,0.006460154,0.056399994,-0.20897968,-0.00094321166,Mar,2,2,1,1,Returning_Visitor,True,False
4.6783257,91.71072,0.32916766,32.59123,25.355234,805.5206,0.0063929884,0.01896826,-0.10202606,8.94239e-05,Oct,1,1,3,4,Returning_Visitor,False,False
-0.004475557,0.5376328,0.008858268,2.8300395,15.555448,1364.6117,0.03248145,0.09722562,-0.17135341,0.0013962259,Nov,2,10,1,3,Returning_Visitor,False,False
2.6417332,43.667976,-0.0035574394,-1.1331908,11.93514,335.09467,0.036270812,0.058005817,-0.17723854,-0.00061787834,Nov,3,2,3,3,Returning_Visitor,False,False
3.9817045,45.99604,-0.01704466,3.7748904,7.9368405,181.1032,0.00020303171,0.014319079,0.28715506,0.0010407363,Sep,2,10,4,4,New_Visitor,False,False
3.9766343,286.68848,0.7545398,51.65263,32.999508,1511.1765,-0.0001753125,0.018539825,0.2914466,-0.0005190017,Dec,2,2,4,2,Returning_Visitor,False,False
0.2609084,18.71445,0.55172837,8.781123,33.986988,740.5679,0.022006197,0.05630342,-0.32879457,0.0010973384,Nov,2,2,1,1,Returning_Visitor,True,False
2.4566507,185.31207,0.5124188,10.378089,15.292829,404.11188,0.025378542,0.043656457,0.09105198,0.0024013577,Aug,2,2,3,4,Returning_Visitor,False,False
0.9484646,50.24448,0.0056351465,1.9955705,30.245964,967.2719,0.0045190225,0.027992623,-0.36246976,0.0010625814,Sep,3,2,2,4,Returning_Visitor,True,False
0.0057258974,2.9052172,-0.009955223,-1.1428038,4.115771,62.620655,0.0005580835,0.06489366,-0.044046476,-4.7048383e-05,Nov,2,2,3,3,Returning_Visitor,False,False
0.04322604,-1.8857986,0.030622248,0.55916536,10.632009,136.99846,0.043491803,0.09155832,-0.22118576,-0.00066434016,Mar,2,2,1,13,Returning_Visitor,True,False
-0.026690684,-3.529399,0.039690617,2.8513446,6.108319,735.2601,0.12406229,0.1480325,-0.39622793,0.0012625513,Nov,3,2,1,13,Returning_Visitor,False,False
1.1987716,74.98348,0.0056251925,-0.10989057,66.91404,2627.8577,0.014470436,0.031219743,-0.010616378,0.0002576096,May,2,2,2,1,Returning_Visitor,False,False
-0.07248493,-3.9733992,0.03012878,3.8471522,1.676848,-15.410963,0.20020416,0.20149513,-0.10020073,0.001365455,Dec,2,1,1,1,Returning_Visitor,True,False
-0.0037574403,-0.17396079,0.012543027,1.2112612,3.1841912,24.095507,0.1724008,0.17935994,-0.13243301,-0.000958165,Mar,3,2,3,3,Returning_Visitor,False,False
0.011634386,-0.23811637,0.027292076,-0.6714331,28.965141,851.76227,0.003742635,0.035384543,0.5574483,0.0013368746,Sep,2,2,8,2,Returning_Visitor,False,False
8.001844,265.83243,0.49605888,17.021078,24.380178,786.2434,0.0015748857,0.007634437,1.7283839,-0.0009527894,May,2,2,7,2,New_Visitor,False,False
0.90428644,41.384953,0.00037974538,-0.7715117,18.780005,1064.663,0.0015464021,0.014668338,0.3051919,-0.000113619324,Dec,2,2,4,1,Returning_Visitor,False,False
0.03352622,-1.6075164,-0.0041183787,-0.015862098,5.9028897,126.067795,0.0004548297,0.05234848,-0.27101907,3.2702632e-05,Dec,2,2,7,13,Returning_Visitor,True,False
-0.0334756,1.2325028,0.028837685,-0.16492902,7.880984,125.277145,0.13955808,0.15619668,0.053098604,1.3841485e-05,May,2,2,5,13,Returning_Visitor,False,False
0.45363095,3.8798647,0.4981313,18.086569,41.39523,999.92145,0.0009519687,0.02776801,8.788244,0.00081699545,June,2,2,1,2,Returning_Visitor,False,False
0.20530799,3.3240938,0.028608982,-0.380715,16.767221,392.09808,0.010950775,0.03167402,10.620466,0.00059034134,Nov,2,2,1,13,Returning_Visitor,False,False
-0.04862424,1.2304734,0.5274697,6.7060275,31.497833,984.4444,0.0052281166,0.034025595,0.46052065,0.002749285,Aug,2,4,1,4,Returning_Visitor,False,False
1.980591,201.8079,0.49315462,-1.7117239,16.843485,485.21252,0.01025856,0.011214234,0.24243061,-6.439706e-05,Nov,1,1,4,2,Returning_Visitor,False,False
-0.01931139,1.4880112,0.0047999066,2.656612,3.5277581,57.74309,0.13815804,0.17304897,0.146511,0.0004957786,Nov,2,5,3,10,Returning_Visitor,False,False
0.06560353,0.8041123,-0.010186548,-0.9051596,16.508688,374.5125,0.0052366,0.027718171,-0.09792526,-0.0025649795,Mar,1,1,1,3,Returning_Visitor,True,False
1.962267,46.283367,0.6857174,4.9813685,14.642858,453.48004,0.00017224684,0.02132648,-0.16164024,0.0018739906,Sep,2,2,1,2,Returning_Visitor,False,False
0.93043333,9.630818,0.03233755,1.029384,89.06232,2938.639,0.033634443,0.0500065,-0.32685956,0.0011574683,Nov,3,2,8,13,Returning_Visitor,True,False
2.022798,63.51072,0.010545497,-0.591786,23.189257,1373.4526,0.002770703,0.022983648,59.539738,-0.00057133083,Dec,2,2,1,2,Returning_Visitor,False,False
5.5528755,156.50398,0.35329312,0.15599765,38.280582,1918.1299,0.010152664,0.029383125,5.216873,0.00042874942,Nov,2,2,1,13,Returning_Visitor,False,False
1.2961558,19.869648,0.0030343574,-0.8331839,4.2241693,31.811815,0.00064555893,0.0628654,-0.048977926,0.00095068867,Dec,3,2,8,2,Returning_Visitor,False,False
1.2019147,24.753582,-0.0074335295,-1.7109419,8.001752,213.36687,0.008539336,0.0614545,-0.0018015665,0.029299764,May,2,2,6,3,Returning_Visitor,False,False
4.1023827,167.00496,0.29729533,7.270984,10.71589,950.4901,-7.362138e-05,0.0072528743,0.043017313,-0.003697017,Mar,3,2,3,8,New_Visitor,True,False
3.6740153,111.813705,-0.0037488895,1.0414385,24.206165,353.68707,0.013382064,0.017259607,-0.3315049,-0.0006459186,May,3,2,1,2,Returning_Visitor,True,False
1.7435304,18.59113,0.017346386,-0.6833044,12.465379,442.422,0.014289985,0.058222253,0.17902939,-0.0013201254,Mar,2,4,3,1,Returning_Visitor,False,False
0.25155523,16.584248,4.294038,776.6098,152.84161,4091.899,0.0054069175,0.021212572,1.6091422,0.0011638982,Dec,2,2,1,1,Returning_Visitor,False,False
0.34374312,6.6445665,0.38571182,8.679099,17.091497,472.97614,0.0022309327,0.02766832,-0.042275503,0.5319531,May,2,2,1,2,Returning_Visitor,False,False
5.3281865,241.8319,2.3917744,164.90242,36.184875,2081.6492,0.026240503,0.03999508,10.331359,-0.00048355554,Nov,1,1,3,2,Returning_Visitor,False,False
0.4697211,7.28671,0.00505871,-1.1309325,16.773415,266.33234,0.006457806,0.040605646,0.05598633,-0.0012041869,Mar,2,2,1,3,Returning_Visitor,False,False
-0.070806704,-4.842532,0.007072572,-1.6392332,17.947432,1221.6735,0.008792045,0.055174623,0.16050236,-0.00020949339,June,2,7,2,1,Returning_Visitor,False,False
2.0291479,93.0733,-0.019967254,1.592872,16.194067,612.0444,0.00021436125,0.007152718,-0.038557127,-0.0009376945,Mar,3,2,3,2,New_Visitor,True,False
8.888222,479.39395,6.3800707,983.3443,86.43576,4834.16,0.00268679,0.014470717,5.1645336,-0.00030854886,May,2,2,2,2,Returning_Visitor,False,False
0.009733236,0.54975593,0.36860344,0.2591318,15.454751,202.44939,0.005492103,0.056586545,4.6477594,0.0010705759,Nov,1,1,1,1,Returning_Visitor,False,False
1.4846139,20.534214,3.455205,213.87746,39.971252,1155.6537,0.008519881,0.02486979,-0.07072075,-0.00069352036,Dec,2,2,1,2,Returning_Visitor,True,False
1.1941007,34.51643,-0.010440583,-0.8121153,19.655594,662.1154,0.0078131175,0.027796553,-0.062995985,-0.0012193824,Dec,3,2,2,2,Returning_Visitor,True,False
0.95887786,10.57652,1.0276878,14.652007,58.60358,1583.9268,0.025700958,0.042422123,-0.23686607,-0.000104894694,Nov,3,2,9,13,Returning_Visitor,True,False
1.0225092,21.970524,-0.011135097,-0.34082854,10.036548,450.85724,0.031449076,0.041948244,-0.04122646,0.0034888072,Dec,3,2,4,20,Returning_Visitor,False,False
0.82401484,21.856213,-0.023807522,-0.7661902,12.472682,703.79266,0.0075980364,0.024143027,-0.10236652,-0.0025300176,Mar,1,1,2,2,Returning_Visitor,True,False
7.7882323,178.94383,4.491374,102.44245,52.010582,1184.8058,0.03774095,0.04626117,-0.18005855,0.0028914718,Aug,3,2,1,3,Returning_Visitor,False,False
0.65883,21.247715,-0.015159483,1.7222666,16.367496,781.0998,0.0006167457,0.023502363,0.7873773,0.000673989,May,3,2,1,4,Returning_Visitor,True,False
-0.0064537157,-2.1050901,-0.0004890519,1.3644975,90.39,4304.086,0.013292195,0.02352496,-0.16225345,0.00027697737,May,3,2,6,13,Returning_Visitor,False,False
1.9949683,31.195393,-0.011638041,1.7073511,2.977652,61.782032,0.00010053967,0.03611349,0.15558426,-9.4691124e-05,Nov,2,2,1,10,New_Visitor,False,False
-0.010130846,-1.1970397,-0.0139020635,0.81663454,23.729954,828.9207,0.020742165,0.027679319,0.071189806,0.002308896,Jul,3,1,4,4,Returning_Visitor,False,False
0.4759963,0.048024077,0.008421366,-1.5168158,42.297062,2420.123,0.010776549,0.03022956,4.849679,0.00026342476,Dec,2,2,8,3,Returning_Visitor,False,False
-0.025190316,-0.5453216,0.34202167,10.567363,31.036606,829.00183,0.030306594,0.045118537,-0.32884893,0.6607607,May,3,2,1,3,Returning_Visitor,False,False
1.9654167,73.42257,0.32789358,2.459579,17.258148,625.044,0.004476433,0.019915547,0.20826428,-0.0017872098,Dec,1,1,3,3,Returning_Visitor,False,False
9.871586,460.02255,3.8949375,116.32526,123.688545,5780.945,0.0015880723,0.0123528,0.10365383,-0.0010893437,June,2,2,5,2,Returning_Visitor,False,False
0.30052355,10.916539,0.120525815,10.645286,20.491287,855.1143,0.017290613,0.049007762,0.013796731,0.026499758,May,2,2,1,3,Returning_Visitor,False,False
-0.028331243,-4.319934,0.001691584,3.4825397,2.2955956,-15.416578,0.19957675,0.19872327,-0.28468332,0.001237007,Nov,3,2,2,2,Returning_Visitor,True,False
0.90761834,65.38739,-0.0018239575,-2.996819,20.356358,1128.511,0.0052512516,0.029819952,0.48207274,-0.000791421,Mar,2,4,3,2,Returning_Visitor,False,False
0.4770482,1.9469346,0.02897257,0.13451709,21.748901,1072.5472,0.040097136,0.07091242,-0.039223745,0.0016915892,Nov,2,2,7,1,Returning_Visitor,False,False
1.627891,71.07095,-0.002672966,0.045440085,11.440469,275.69305,0.0136196045,0.03864897,0.020471497,-0.0010979864,Dec,3,2,1,10,Returning_Visitor,False,False
0.9728393,25.865269,0.20846179,16.896334,27.572626,938.5518,0.008954626,0.02229653,8.714503,0.022875242,May,2,2,2,2,Returning_Visitor,False,False
0.016047992,0.60741127,0.5361112,0.22798099,18.927343,1402.05,0.027101228,0.06338489,0.1467704,-0.0021232383,Mar,2,5,5,1,Returning_Visitor,False,False
-0.051917754,-1.7443877,0.045676652,2.5055766,3.3932405,16.3593,0.17313148,0.18879373,0.10917084,0.0011077953,Dec,2,2,1,1,Returning_Visitor,False,False
3.0624526,136.75272,-0.029081222,-0.13959943,9.28568,350.55865,4.7067784e-05,0.01228817,0.37886515,-0.0023197585,Mar,3,1,4,2,New_Visitor,False,False
-0.023450337,1.2548417,0.03330416,2.4118724,2.3126588,6.5541253,0.20010237,0.19949923,-0.06817253,0.0018277374,May,2,2,1,13,Returning_Visitor,False,False
-0.061362468,4.908292,0.02333999,0.7833818,4.042601,47.82195,0.1892545,0.19348635,0.07548134,0.055153128,May,2,2,1,3,Returning_Visitor,False,False
3.0043852,79.47194,2.8961413,222.95872,44.49768,1090.0272,0.00037106933,0.009254556,-0.08592327,0.08662337,May,4,2,1,4,Returning_Visitor,False,False
0.59701425,46.871044,-0.0132763935,0.5994104,17.916538,919.1576,0.013317129,0.027594857,-0.1989127,0.086817704,May,3,2,6,1,Returning_Visitor,False,False
1.6499561,98.76133,0.029338483,-0.16393338,13.615668,788.2199,0.019342033,0.032671396,8.964349,0.0001403747,Sep,3,2,3,1,Returning_Visitor,False,False
1.5749993,87.04031,-0.023980316,2.8329082,3.1336312,181.70793,0.0002679682,0.036610767,-0.053174093,0.0021738096,Dec,3,2,6,20,New_Visitor,False,False
4.9403095,75.99286,0.5261794,2.003677,19.08012,427.16376,0.027948285,0.0431389,-0.24416836,0.002244199,Oct,2,2,3,20,Returning_Visitor,True,False
5.3230834,205.25339,0.34474888,12.759646,24.024075,829.88776,0.005403491,0.028676208,1.2477788,-0.0025936493,May,1,1,3,3,Returning_Visitor,True,False
1.2276777,11.419942,-0.0026482898,-0.4351431,42.426903,1327.1676,0.0060308636,0.018610021,-0.15873821,0.0004023632,Nov,3,2,1,3,Returning_Visitor,False,False
0.9777296,18.422947,0.5133376,165.4239,83.66207,3476.1924,0.007241172,0.016145049,0.008769914,-7.007813e-05,Nov,3,2,3,10,Returning_Visitor,False,False
1.9664943,1.0815552,0.019795481,-0.64246047,6.637055,44.200123,0.08692147,0.10519853,-0.20035656,-1.554733e-05,May,1,2,1,6,Returning_Visitor,True,False
2.0496252,59.885227,0.20804095,2.971027,15.348605,529.1314,0.0054277345,0.026295152,-0.27156362,-0.0012337099,Mar,3,2,1,1,Returning_Visitor,True,False
0.050859965,3.7233706,-0.011643226,-1.2267042,14.4730215,799.8572,0.000281681,0.042414356,0.034081385,-0.0013616177,Mar,2,2,3,6,Returning_Visitor,False,False
