age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
47.92543,Private,282653.7,Masters,13.999205,Divorced,Exec-managerial,Not-in-family,Other,Female,-12.08864,0.18158157,39.986073,United-States,<=50K
90.18784,?,76755.586,HS-grad,9.006228,Never-married,?,Not-in-family,Other,Female,-0.003679652,4369.017,40.030685,United-States,<=50K
27.93736,Private,338412.72,Bachelors,13.040467,Married-civ-spouse,Prof-specialty,Unmarried,Black,Female,1.5966622,0.6447392,40.06642,Cuba,<=50K
45.026997,Self-emp-not-inc,138605.25,7th-8th,9.984389,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,-7.7407403,-0.116102144,71.852585,?,<=50K
60.999935,?,581880.3,Masters,14.018728,Married-civ-spouse,?,Husband,Other,Female,3.0660224,0.71617323,2.3088691,United-States,>50K
42.071304,Self-emp-inc,96446.38,7th-8th,9.9719305,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,7.976667,0.48710832,60.157238,Taiwan,<=50K
25.051893,Private,102790.15,Bachelors,12.983589,Never-married,Farming-fishing,Own-child,Other,Female,27775.598,0.080858305,50.013657,United-States,>50K
61.87132,Local-gov,167903.86,Doctorate,16.09766,Never-married,Prof-specialty,Unmarried,Other,Female,4.4658027,0.639864,40.05348,Iran,<=50K
53.18351,Self-emp-not-inc,145557.33,1st-4th,2.0091398,Married-civ-spouse,Exec-managerial,Husband,Other,Female,7636.996,-0.03841202,67.34602,Italy,>50K
31.050745,Private,250124.08,7th-8th,10.0032625,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Female,-11.694353,1487.1865,55.089134,?,>50K
