age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
43.614174,Private,198117.84,1st-4th,5.40868,Married-civ-spouse,Other-service,Husband,Other,Female,34.008892,0.8410817,39.318142,United-States,<=50K
57.616596,?,172863.72,HS-grad,9.355554,Married-civ-spouse,Farming-fishing,Husband,Other,Female,31.257307,-0.18280594,22.16333,United-States,<=50K
42.878147,Self-emp-not-inc,159388.34,HS-grad,9.830647,Married-civ-spouse,Exec-managerial,Husband,Other,Female,17.427107,-0.38789168,44.256474,United-States,<=50K
23.745138,Private,181653.06,HS-grad,9.735191,Never-married,Adm-clerical,Own-child,Other,Female,1.0120674,-0.22733872,34.57841,United-States,<=50K
35.018505,Private,192525.12,HS-grad,9.293377,Never-married,Adm-clerical,Own-child,Black,Female,-4.1541924,-0.30264845,39.067684,United-States,<=50K
36.99877,Private,182214.36,HS-grad,9.374938,Never-married,Adm-clerical,Own-child,Other,Female,42.802715,0.26844987,39.451683,Nicaragua,<=50K
32.032505,Private,180152.23,HS-grad,9.1142645,Never-married,Exec-managerial,Not-in-family,Other,Female,8.347273,-0.2051677,41.24819,United-States,<=50K
40.716476,Private,165648.39,HS-grad,9.333585,Divorced,Adm-clerical,Not-in-family,Other,Female,14.6399975,-0.19122116,39.38958,United-States,<=50K
39.49497,Local-gov,172484.88,Bachelors,13.639034,Never-married,Prof-specialty,Not-in-family,Other,Female,35.827496,-0.6298656,40.33592,United-States,<=50K
32.453903,Private,214784.05,HS-grad,8.93986,Never-married,Other-service,Own-child,Black,Female,1.4086739,-0.46339217,38.682255,United-States,<=50K
23.272198,?,185399.42,HS-grad,9.195995,Never-married,?,Own-child,Other,Female,-46.591816,-1.3236674,34.951412,United-States,<=50K
38.558933,Private,187771.84,HS-grad,9.056909,Married-civ-spouse,Craft-repair,Husband,Other,Female,-2.4166436,-1.2210292,42.044426,United-States,<=50K
30.17014,Private,188417.22,Bachelors,11.090916,Never-married,Sales,Not-in-family,Other,Female,20.280378,-0.3701152,40.57823,United-States,<=50K
52.64468,Private,171933.84,HS-grad,9.182937,Separated,Adm-clerical,Not-in-family,Other,Female,19.90074,0.020174101,36.919537,United-States,<=50K
39.090584,Private,159336.23,Bachelors,11.405665,Married-civ-spouse,Exec-managerial,Husband,Other,Female,22.60777,-0.885786,42.942997,United-States,<=50K
19.551823,Private,177112.83,Assoc-acdm,8.145731,Never-married,Adm-clerical,Own-child,Other,Female,3.8661933,-0.39037886,20.796335,United-States,<=50K
37.662964,Private,180130.64,10th,5.4972034,Married-civ-spouse,Craft-repair,Husband,Other,Female,27.457747,0.36860856,39.983418,United-States,<=50K
30.470406,Private,179587.02,Bachelors,12.986407,Never-married,Sales,Not-in-family,Other,Female,14.437727,-0.54997057,39.186665,United-States,<=50K
26.101465,Private,182270.06,HS-grad,9.201016,Never-married,Adm-clerical,Unmarried,Other,Female,6.420881,-0.35043135,38.76854,United-States,<=50K
37.7891,Private,174634.62,HS-grad,9.495886,Never-married,Exec-managerial,Own-child,Other,Female,41.91258,1798.3801,40.188362,United-States,<=50K
