age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
34.980213,Private,170614.8,HS-grad,9.000366,Married-spouse-absent,Other-service,Unmarried,Black,Female,-62.480244,-1.1816615,20.050697,United-States,<=50K
31.073051,Local-gov,374451.1,Prof-school,14.986657,Married-civ-spouse,Prof-specialty,Husband,Other,Female,-8.073992,-2.564108,97.63923,Columbia,<=50K
81.05255,Self-emp-not-inc,124035.08,Bachelors,12.930772,Married-civ-spouse,Prof-specialty,Not-in-family,Other,Female,60.754864,1664.7716,3.3449905,Hungary,<=50K
81.11147,Self-emp-not-inc,193567.86,1st-4th,2.05531,Married-civ-spouse,Sales,Other-relative,Other,Female,13.338118,1.1069432,44.943966,Mexico,<=50K
87.9026,Private,27932.75,Bachelors,12.980164,Never-married,Exec-managerial,Not-in-family,Other,Female,58.165386,1811.6978,49.95417,United-States,<=50K
74.99992,Self-emp-not-inc,230704.16,Doctorate,15.994112,Married-civ-spouse,Prof-specialty,Husband,Other,Female,4901.8745,-2.9437008,2.9407585,United-States,<=50K
16.998144,Private,119102.22,12th,8.004861,Never-married,Craft-repair,Own-child,Other,Female,41.430523,-2.747404,15.220811,Columbia,<=50K
19.098959,?,349285.9,9th,4.929592,Never-married,?,Other-relative,Other,Female,-17.010393,1722.3732,35.17266,El-Salvador,<=50K
26.97722,Private,1467379.5,Bachelors,9.996906,Married-civ-spouse,Exec-managerial,Husband,Other,Female,-26.567034,-0.4305171,40.017548,United-States,<=50K
45.9964,Private,139217.2,Preschool,1.0537642,Married-civ-spouse,Machine-op-inspct,Other-relative,Black,Female,35.66441,-0.23326676,75.192215,Dominican-Republic,<=50K
62.97191,?,441660.94,Bachelors,13.010134,Married-civ-spouse,?,Not-in-family,Amer-Indian-Eskimo,Female,-82.635025,-2.2546673,56.023315,United-States,<=50K
89.5027,Local-gov,187622.45,Assoc-acdm,11.967248,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Female,-26.989397,-0.09507553,19.949846,Philippines,<=50K
51.971584,Private,245909.86,9th,4.9952483,Married-civ-spouse,Handlers-cleaners,Husband,Other,Female,-65.46352,-0.28296462,40.00722,Outlying-US(Guam-USVI-etc),<=50K
24.133017,Private,502380.94,1st-4th,2.0110567,Never-married,Farming-fishing,Own-child,Other,Female,-19.852922,1.1191732,40.049698,Mexico,<=50K
33.994404,State-gov,47433.125,Doctorate,15.993849,Never-married,Prof-specialty,Not-in-family,Other,Female,40.101055,-2.875845,59.891373,United-States,<=50K
35.907394,Self-emp-not-inc,241484.69,HS-grad,9.020049,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,41552.125,0.8510228,91.20781,South,<=50K
42.733368,Federal-gov,422121.22,Bachelors,13.031126,Never-married,Adm-clerical,Not-in-family,Black,Female,6867.942,-1.6447734,49.95243,United-States,<=50K
59.99885,Federal-gov,28097.812,Bachelors,9.987641,Married-civ-spouse,Exec-managerial,Not-in-family,Other,Female,38.28062,-1.4962596,39.951904,England,<=50K
19.047054,?,65487.297,Bachelors,12.997401,Never-married,?,Own-child,Black,Female,-44.207294,-1.7709178,40.018574,Jamaica,<=50K
49.991005,Private,331299.16,Prof-school,14.99964,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,37.479473,1595.4255,25.31143,China,<=50K
51.854664,Federal-gov,23849.031,Bachelors,12.98357,Married-civ-spouse,Protective-serv,Husband,Other,Female,30.733381,-1.6690425,59.932533,United-States,>50K
21.685307,Self-emp-not-inc,205043.05,HS-grad,8.986267,Never-married,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,99986.18,3.643633,40.130333,Dominican-Republic,>50K
67.00699,Private,225135.17,HS-grad,9.002394,Married-civ-spouse,Adm-clerical,Not-in-family,Other,Female,15825.347,-0.027227327,15.9700365,Germany,>50K
66.98774,Private,370414.6,Doctorate,15.992113,Divorced,Exec-managerial,Not-in-family,Other,Female,99987.97,-0.5774974,59.935116,United-States,>50K
19.0736,?,200884.5,12th,8.006841,Married-civ-spouse,?,Other-relative,Other,Female,15045.167,-1.7831477,39.993862,United-States,>50K
53.96636,Private,167607.78,1st-4th,1.9213618,Married-civ-spouse,Craft-repair,Husband,Black,Female,9.707014,-1.9826869,39.960297,Haiti,>50K
29.078632,Self-emp-not-inc,343442.53,HS-grad,8.996826,Married-spouse-absent,Other-service,Other-relative,Asian-Pac-Islander,Female,-7.3318048,1561.3348,50.013844,India,>50K
44.8804,Private,173238.83,Doctorate,15.998589,Divorced,Prof-specialty,Unmarried,Black,Female,46.159283,3013.1348,35.180378,United-States,>50K
40.79164,Self-emp-inc,50258.047,Prof-school,14.9899025,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Female,100000.84,1.5369893,50.010944,India,>50K
50.961857,Private,292067.9,Doctorate,15.9858675,Married-civ-spouse,Prof-specialty,Husband,Other,Female,15055.25,-2.3989773,59.8873,Iran,>50K
35.746178,Private,393269.1,Bachelors,10.064619,Married-civ-spouse,Adm-clerical,Other-relative,Black,Female,99970.625,1.9268972,40.09693,United-States,>50K
61.039062,?,579578.4,Masters,13.993633,Married-civ-spouse,?,Husband,Other,Female,-87.95998,-1.9834574,2.112931,United-States,>50K
79.040474,Federal-gov,66431.64,Doctorate,15.998989,Married-civ-spouse,Exec-managerial,Not-in-family,Other,Female,33.175762,-3.6149502,6.1769724,United-States,>50K
58.97032,Self-emp-inc,108504.01,10th,5.972884,Married-civ-spouse,Exec-managerial,Unmarried,Other,Female,49.6826,2559.1155,49.992664,United-States,>50K
37.754284,Private,226762.25,Bachelors,13.032084,Never-married,Exec-managerial,Not-in-family,Black,Female,13622.691,-0.5438518,40.00676,United-States,>50K
34.143215,Private,581327.0,HS-grad,9.005558,Separated,Adm-clerical,Not-in-family,Other,Female,-54.361835,-1.0169047,48.032204,United-States,>50K
30.965742,Private,275519.25,Masters,13.998676,Married-civ-spouse,Exec-managerial,Husband,Other,Female,52.529522,2417.3408,69.695786,Taiwan,>50K
55.994442,Self-emp-not-inc,62390.094,11th,6.9881797,Married-civ-spouse,Other-service,Unmarried,Other,Female,41.581036,-0.11189835,65.19387,Greece,>50K
31.054806,Local-gov,441239.03,Doctorate,15.982572,Never-married,Prof-specialty,Not-in-family,Other,Female,-6.552996,-3.0524502,50.020866,Mexico,>50K
26.912086,?,251062.23,Bachelors,13.015651,Married-civ-spouse,?,Other-relative,Black,Female,-65.47499,-1.7411021,35.076,?,>50K
