age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39.1937,Private,177519.11,HS-grad,8.788883,Married-civ-spouse,Craft-repair,Husband,Other,Female,9.972639,-2.3936214,41.38034,United-States,<=50K
24.262947,Private,180472.03,HS-grad,8.888933,Never-married,Adm-clerical,Own-child,Other,Female,2.240827,-1.4700755,38.691166,United-States,<=50K
44.639202,Self-emp-not-inc,160462.16,HS-grad,9.136453,Married-civ-spouse,Exec-managerial,Husband,Other,Female,23.18968,-1.1036814,43.05376,United-States,<=50K
50.648235,Private,163480.16,Bachelors,11.756722,Separated,Exec-managerial,Not-in-family,Other,Female,40.47166,-1.0929774,38.977573,United-States,<=50K
21.489206,Private,189364.31,HS-grad,9.407713,Never-married,Adm-clerical,Own-child,Other,Female,9.035139,-1.1487864,19.71937,United-States,<=50K
24.099226,Private,180177.88,Bachelors,10.155891,Never-married,Adm-clerical,Own-child,Other,Female,9.884382,-0.95001024,39.6646,United-States,<=50K
43.173737,Private,174838.48,HS-grad,9.129442,Divorced,Exec-managerial,Not-in-family,Other,Female,30.568464,-2.6714306,42.006588,United-States,<=50K
28.052399,Private,171895.42,Bachelors,12.98511,Never-married,Sales,Not-in-family,Other,Female,23.529158,-1.8877009,40.11402,United-States,<=50K
27.302923,Private,214240.6,HS-grad,9.832188,Never-married,Adm-clerical,Own-child,Black,Female,-15.680071,-1.260023,38.02602,United-States,<=50K
37.72286,Private,169598.17,Bachelors,10.227882,Married-civ-spouse,Craft-repair,Husband,Other,Female,28.593855,-2.8989697,42.786736,United-States,<=50K
42.23944,Local-gov,163739.11,HS-grad,9.28416,Divorced,Adm-clerical,Not-in-family,Other,Female,14.791365,-1.4113978,39.135937,United-States,<=50K
43.557045,Private,170373.86,HS-grad,8.881089,Divorced,Adm-clerical,Not-in-family,Other,Female,6.002912,-1.339918,39.298172,United-States,<=50K
47.650856,Self-emp-not-inc,140339.22,HS-grad,9.205387,Married-civ-spouse,Farming-fishing,Husband,Other,Female,42.2689,-2.1933193,50.0368,United-States,<=50K
43.237556,Private,166762.52,Bachelors,11.170251,Divorced,Exec-managerial,Not-in-family,Other,Female,29.26219,-1.7126216,40.282486,United-States,<=50K
49.36022,Private,200314.61,1st-4th,4.3944373,Married-civ-spouse,Other-service,Husband,Other,Female,38.75462,-1.1969508,40.281555,United-States,<=50K
41.72194,Private,160321.45,Bachelors,10.626546,Divorced,Adm-clerical,Not-in-family,Other,Female,26.80284,-1.2059306,39.161015,United-States,<=50K
