age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
56.894814,Private,174826.98,HS-grad,7.725413,Married-civ-spouse,Prof-specialty,Husband,Black,Female,14.145002,0.48822984,38.173904,United-States,<=50K
32.59709,Private,190245.9,Bachelors,12.4043045,Never-married,Prof-specialty,Not-in-family,Black,Female,26.975325,-0.15585892,40.684013,United-States,<=50K
41.9392,Private,181026.1,HS-grad,10.125117,Divorced,Other-service,Not-in-family,Black,Female,16.512922,0.10474594,40.736866,United-States,<=50K
34.805847,Private,262280.66,HS-grad,6.087936,Never-married,Machine-op-inspct,Husband,Black,Female,7.871076,0.14591415,39.555492,Mexico,<=50K
23.748941,Private,190671.11,HS-grad,9.37503,Never-married,Prof-specialty,Own-child,Black,Female,16.180159,-0.16861527,32.611862,United-States,<=50K
34.235573,Private,188720.45,HS-grad,8.511214,Married-civ-spouse,Other-service,Husband,Black,Female,24.629622,0.0067463676,43.382435,United-States,<=50K
60.51716,Private,169307.88,HS-grad,8.490411,Divorced,Prof-specialty,Not-in-family,Black,Female,8.812483,0.5072194,31.3988,United-States,<=50K
39.988792,Private,176119.38,Masters,11.527507,Married-civ-spouse,Other-service,Husband,Black,Female,36.17857,0.044328764,43.42374,United-States,<=50K
31.103275,Private,194811.6,HS-grad,8.916873,Never-married,Other-service,Not-in-family,Black,Female,13.448103,-0.053602144,39.974052,United-States,<=50K
42.517857,Private,179892.25,HS-grad,9.574499,Divorced,Adm-clerical,Not-in-family,Black,Female,9.64781,0.17422684,39.601974,United-States,<=50K
45.358627,Private,183025.7,HS-grad,12.892321,Married-civ-spouse,Prof-specialty,Husband,Black,Female,99977.6,-2.6696606,49.925667,United-States,>50K
42.566647,Private,190287.7,Bachelors,12.108914,Married-civ-spouse,Prof-specialty,Husband,Black,Female,6.39903,0.2759038,45.11058,United-States,>50K
41.17364,Private,181230.72,Bachelors,11.075284,Married-civ-spouse,Machine-op-inspct,Husband,Black,Female,49.749004,0.22542007,38.65286,United-States,>50K
44.920204,Private,180450.72,HS-grad,8.586805,Married-civ-spouse,Other-service,Husband,Black,Female,2.3998847,0.32650957,45.757805,United-States,>50K
46.297436,Private,177025.12,Assoc-voc,15.1062565,Married-civ-spouse,Prof-specialty,Husband,Black,Female,381.3217,0.3113118,47.34139,United-States,>50K
45.00114,Private,185618.02,Bachelors,11.225339,Married-civ-spouse,Other-service,Husband,Black,Female,8506.412,0.28778276,45.58377,United-States,>50K
45.27594,Local-gov,188176.97,Masters,12.502281,Married-civ-spouse,Prof-specialty,Husband,Black,Female,53.793926,0.35121354,44.665165,United-States,>50K
38.970387,Private,195217.53,Bachelors,12.510868,Never-married,Prof-specialty,Not-in-family,Black,Female,476.5709,-0.2619609,46.52464,United-States,>50K
43.36311,Private,188685.73,Bachelors,11.963207,Married-civ-spouse,Exec-managerial,Husband,Black,Female,1.6461006,0.34688768,46.533226,United-States,>50K
43.952274,Private,187037.86,Bachelors,11.887673,Married-civ-spouse,Prof-specialty,Husband,Black,Female,3.9998603,1984.1311,46.270374,United-States,>50K
