age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
42.02662,Private,175908.86,Assoc-acdm,12.001491,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0.1696602,0.27249345,40.04353,United-States,>50K
60.046627,Private,85919.04,Masters,14.010245,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Female,24.90843,0.4453908,49.922813,South,>50K
34.952427,Private,950335.3,HS-grad,8.98636,Married-civ-spouse,Exec-managerial,Husband,Black,Female,-19.791033,0.2728978,40.150963,United-States,>50K
74.97619,Local-gov,73342.84,HS-grad,9.010479,Married-civ-spouse,Other-service,Husband,Black,Female,15.499861,2461.6748,39.90821,Canada,<=50K
89.788994,?,76866.305,HS-grad,9.014585,Divorced,?,Not-in-family,Black,Female,-3.5448174,4234.529,39.830704,United-States,<=50K
48.943615,Private,112286.53,7th-8th,4.054763,Married-civ-spouse,Prof-specialty,Husband,Black,Female,4268.8467,0.2798482,98.96313,United-States,>50K
34.085236,Self-emp-inc,214870.36,Masters,14.000899,Separated,Prof-specialty,Not-in-family,Black,Female,4837.4473,-0.08518784,40.05325,United-States,>50K
42.84238,Private,144107.9,5th-6th,2.9625337,Married-civ-spouse,Machine-op-inspct,Own-child,Asian-Pac-Islander,Female,7.646955,2129.4927,72.259346,?,<=50K
30.145578,Local-gov,124072.93,Bachelors,12.974986,Never-married,Prof-specialty,Not-in-family,Black,Female,14313.922,-0.3472499,45.07207,?,>50K
31.147978,Private,1033055.7,Bachelors,13.0002,Never-married,Adm-clerical,Not-in-family,Black,Female,8761.133,-0.16422074,40.041,United-States,>50K
43.87095,Private,172212.67,1st-4th,2.0377538,Married-civ-spouse,Handlers-cleaners,Own-child,Black,Female,3906.752,0.29912767,60.145256,United-States,<=50K
40.99085,Private,69645.14,1st-4th,10.003898,Never-married,Craft-repair,Unmarried,Black,Female,39.25401,3008.5945,59.91044,?,>50K
58.057983,Self-emp-not-inc,112304.8,Doctorate,16.0258,Married-AF-spouse,Exec-managerial,Own-child,Black,Female,-59.378437,1477.8374,34.803684,United-States,>50K
32.069553,Private,207154.16,Bachelors,12.995417,Never-married,Exec-managerial,Other-relative,Black,Female,22.995832,2451.0435,50.056538,United-States,>50K
73.99274,Private,130158.33,HS-grad,8.985842,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Female,15311.806,0.29738817,40.03744,United-States,>50K
43.918655,Self-emp-not-inc,359298.47,1st-4th,9.991942,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Female,-18.07387,0.3886281,79.94366,Philippines,>50K
49.16182,Self-emp-not-inc,43580.97,Doctorate,15.99145,Divorced,Prof-specialty,Unmarried,Black,Female,57.60545,0.30945024,62.96578,Canada,>50K
40.88202,?,27152.047,Assoc-voc,11.018011,Married-civ-spouse,?,Husband,Black,Female,-22.127337,2407.6143,11.992166,United-States,>50K
31.93007,Local-gov,28302.594,1st-4th,9.993804,Married-civ-spouse,Protective-serv,Own-child,Black,Female,-9.543352,0.3095418,40.113804,France,>50K
36.06359,Local-gov,321982.06,1st-4th,9.9932165,Married-civ-spouse,Prof-specialty,Husband,Black,Female,-16.338152,1886.915,40.086166,Jamaica,>50K
63.959515,Private,59958.133,HS-grad,8.988086,Married-civ-spouse,Sales,Not-in-family,Black,Female,9773.46,0.24685104,49.993774,France,>50K
