age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
41.906647,Self-emp-not-inc,177855.69,HS-grad,9.60004,Married-civ-spouse,Craft-repair,Husband,Black,Female,21.95555,0.2612401,43.01876,United-States,<=50K
41.572773,Private,186739.83,HS-grad,8.65428,Married-civ-spouse,Handlers-cleaners,Husband,Black,Female,9.679426,0.22138412,42.467346,United-States,<=50K
36.497845,Private,257310.97,5th-6th,4.302151,Never-married,Machine-op-inspct,Husband,Black,Female,2.7090888,0.22850235,39.447163,Mexico,<=50K
44.474045,Private,183729.64,12th,6.164587,Married-civ-spouse,Craft-repair,Husband,Black,Female,-10.31679,0.24952896,38.793182,United-States,<=50K
42.477505,Private,167467.58,HS-grad,9.81338,Never-married,Prof-specialty,Not-in-family,Other,Female,9.220564,0.008058623,38.614662,United-States,<=50K
42.397472,?,194538.56,HS-grad,9.430746,Divorced,?,Husband,Black,Female,3.327497,0.091180876,31.50264,United-States,<=50K
31.118345,Private,207210.47,HS-grad,9.219546,Never-married,Other-service,Not-in-family,Black,Female,11.720442,-0.17585556,40.729897,United-States,<=50K
39.605778,Private,206083.81,HS-grad,10.402408,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Female,26.824202,-0.029905245,41.124268,South,<=50K
57.042328,Private,175157.98,7th-8th,5.5032635,Divorced,Prof-specialty,Not-in-family,Black,Female,-5.0345635,0.5205098,31.780842,United-States,<=50K
25.656544,Private,194274.56,HS-grad,9.177027,Never-married,Other-service,Own-child,Black,Female,15.440168,-0.16737168,35.63243,United-States,<=50K
23.917398,Private,201635.92,HS-grad,9.40735,Never-married,Adm-clerical,Own-child,Black,Female,17.751936,-0.17141525,33.006523,United-States,<=50K
41.564804,Private,177661.67,HS-grad,9.04898,Married-civ-spouse,Sales,Husband,Black,Female,292.55368,0.11219986,46.30895,United-States,<=50K
39.988346,Private,177998.5,1st-4th,10.3457575,Married-civ-spouse,Other-service,Husband,Black,Female,5.8522773,0.21455581,42.374565,United-States,<=50K
43.71864,Private,179689.52,HS-grad,9.819153,Married-civ-spouse,Machine-op-inspct,Husband,Black,Female,3.8108954,1761.0518,42.277653,United-States,<=50K
28.88321,Private,189016.62,1st-4th,10.510184,Never-married,Other-service,Not-in-family,Black,Female,10.538801,-0.22263901,38.446224,United-States,<=50K
18.96263,Private,182629.72,5th-6th,6.8336263,Never-married,Other-service,Own-child,Black,Female,24.48033,-0.23966782,22.879084,United-States,<=50K
31.285358,Private,191067.75,Bachelors,12.931897,Never-married,Prof-specialty,Not-in-family,Black,Female,40.009624,-0.105138704,41.01932,United-States,<=50K
29.963314,Private,198141.36,HS-grad,9.253745,Never-married,Adm-clerical,Not-in-family,Black,Female,21.696272,-0.20569412,40.49079,United-States,<=50K
42.953465,Private,177975.42,HS-grad,9.964828,Divorced,Adm-clerical,Not-in-family,Black,Female,10.332136,-0.019269869,39.785633,United-States,<=50K
42.75416,Private,176730.78,HS-grad,10.3301115,Divorced,Other-service,Not-in-family,Black,Female,14.276838,-0.020849153,41.236584,United-States,<=50K
22.267319,Private,184690.19,1st-4th,9.934832,Never-married,Other-service,Own-child,Black,Female,21.32469,-0.19473068,29.820944,United-States,<=50K
28.70276,Private,189900.27,HS-grad,9.296191,Never-married,Machine-op-inspct,Husband,Black,Female,19.958723,-0.20414536,39.850605,United-States,<=50K
30.68862,Private,217336.38,HS-grad,10.197024,Never-married,Other-service,Not-in-family,Black,Female,12.782942,-0.10819809,37.426403,England,<=50K
42.11614,Private,177275.55,HS-grad,9.00688,Divorced,Other-service,Not-in-family,Black,Female,1.2272774,0.008585052,39.84365,United-States,<=50K
40.978,Private,173910.11,Bachelors,13.144273,Married-civ-spouse,Prof-specialty,Husband,Black,Female,15.679304,0.32913408,45.045326,United-States,<=50K
