X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
276920.28,1,1,1,35.508713,-2,-1,-1,0,0,0,51647.98,59158.176,75338.72,63878.01,68951.19,82166.35,29611.463,13317.393,19479.105,16294.695,25246.021,12804.052,0
218054.17,1,1,1,36.483006,-2,-2,-2,-2,-2,-2,4237.336,3122.2097,4213.0483,2671.2573,4015.996,2999.3235,3010.6313,2456.25,2516.7527,2820.635,2464.1655,3619.0962,0
191333.08,1,2,2,34.062923,0,0,0,0,0,7,33027.266,25081.008,21984.78,15856.75,14249.826,11338.374,3423.4102,2198.5525,2296.3381,2349.954,3158.887,2873.044,0
198126.61,1,1,1,35.747417,-1,-1,-1,-1,-1,-1,7204.3164,5032.35,7441.5444,5776.9097,7301.4453,5365.4443,3714.0867,5177.341,3985.6965,3495.1,3190.5251,4042.2676,0
327987.72,1,2,1,36.760677,0,0,0,0,0,0,259839.5,244050.7,246289.53,223675.66,209634.62,205621.89,11778.813,10881.727,9884.924,8506.216,9261.137,9797.119,0
187747.14,1,2,1,34.645847,0,0,0,0,0,0,90120.484,85823.76,80493.87,66446.83,60801.625,56414.83,5791.2764,5719.2007,4326.526,4092.909,4336.961,10857.6,0
85347.48,1,2,2,34.20622,1,2,0,0,0,0,22728.1,22928.504,21809.225,20569.547,19948.818,17670.457,3462.5063,2200.5525,2084.7124,1799.428,2087.8423,2088.4695,0
70085.77,1,2,1,40.264843,0,0,0,0,0,0,37940.758,35101.992,32307.658,27687.318,27269.547,23260.76,2769.6514,2519.839,2119.2175,2711.7583,1941.5394,1886.688,0
186998.88,1,2,1,36.03401,0,0,0,0,0,0,134233.12,129279.484,129880.164,117326.44,107074.83,108141.164,6151.0654,5790.513,5346.253,4705.3936,4622.0645,4787.5527,0
60884.957,1,2,2,26.833248,0,0,0,0,0,0,31594.998,31542.43,28480.434,26177.934,25583.11,21471.316,2831.074,2193.6516,2397.9312,1854.7964,1748.6805,1695.6733,0
65374.035,1,2,1,34.907784,1,2,4,0,0,0,27813.277,27087.805,24025.176,22101.861,21467.562,18360.176,1924.3477,1660.7822,1717.0511,1350.4033,1670.4406,1678.4468,1
213047.42,1,1,1,37.479073,-1,-2,-2,-2,-2,-2,4006.2266,1325.9635,2031.6108,1046.8004,1303.4727,932.218,1219.7048,1060.8877,902.94635,1160.7849,1101.0421,1477.3691,1
53170.363,1,2,2,32.897396,0,0,0,0,0,0,31144.021,30122.182,28327.785,24173.969,21629.303,18941.379,2636.665,2199.2961,1978.8895,1762.4597,1867.5072,2015.9854,1
63631.16,1,2,1,34.3949,2,2,2,2,2,2,21210.291,21886.418,22765.277,20803.582,22417.955,20737.986,1668.177,1841.8325,1104.7418,1422.3601,1320.2975,1582.5283,1
248553.47,1,1,1,35.109756,0,0,0,0,0,0,41236.848,36695.562,46778.344,32077.238,35903.57,42560.547,8208.114,6558.006,4195.043,9403.268,13716.111,11536.021,1
223449.9,1,2,1,35.2978,0,0,0,0,0,0,182325.06,169854.23,164329.19,150976.48,131177.4,127816.4,6897.7007,5711.68,7893.953,5363.4233,5045.698,10513.529,1
141899.23,1,1,1,37.38577,2,2,2,2,2,2,97865.29,98241.0,103861.67,96952.1,94310.36,103982.13,4658.999,4783.136,3987.5667,3679.6619,4010.103,3222.3113,1
371546.47,1,2,1,38.372288,0,0,0,0,0,0,321887.34,317231.5,328296.38,301944.84,287716.28,274907.16,12126.755,11566.882,10847.46,10150.988,11415.179,15790.24,1
175604.56,1,1,1,36.67967,-1,-1,-1,-1,-1,-1,3270.0078,2888.1667,4010.9858,2210.0894,3799.379,2763.7493,2318.822,2492.675,2366.709,2194.4534,2225.1328,2143.7585,1
131394.58,1,2,1,38.15323,0,0,0,0,0,0,92799.59,90801.12,86143.77,74640.12,69133.08,69625.33,4711.0845,3999.9607,3658.6123,3730.301,3271.318,3143.9353,1
