X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
218436.33,1,1,2,24.136303,0,0,0,0,0,0,51834.242,53895.684,53816.395,53831.07,58514.754,57473.715,1982.0679,1446.2842,2137.4312,1971.8982,2418.9512,2391.8281,0
593056.3,1,1,2,27.809277,1,-2,-1,-1,0,-1,-66323.05,21655.88,1100302.5,161894.1,324382.3,355736.47,-5879.7656,1276810.0,67952.805,349410.53,381274.88,18267.248,0
195196.0,1,1,1,30.12136,1,2,0,0,0,0,192121.52,207368.52,177426.66,174919.23,195056.47,188036.88,3524.7253,12616.467,5098.5166,187261.84,202116.17,-695.52686,0
405416.78,1,2,1,44.004498,0,0,2,0,0,2,342361.2,363765.72,373754.0,359857.84,424088.7,516970.66,45766.336,3088.4702,13284.497,50582.9,133604.6,15992.658,0
227168.7,1,3,2,29.799227,1,2,2,3,2,2,214345.4,214200.86,241771.1,233781.7,232150.66,191502.3,9902.724,30773.059,-238.87248,7007.009,652.5369,3955.6045,0
32330.332,1,2,1,22.161072,6,5,4,4,3,2,41869.156,36412.11,36345.78,30006.14,30565.768,31372.791,28.657505,1246.5796,280.67975,171.93654,96.69807,1390.9688,1
82980.04,1,1,2,24.424746,2,2,-2,-2,-2,-2,104954.61,1332.4479,6451.8843,5246.937,647.7813,-81642.1,-523.3713,156.64304,146.85506,-346.6709,-265.2165,152047.52,0
172439.86,1,2,2,21.83399,2,0,0,-1,0,0,16251.793,135603.7,156924.67,7899.0073,2381.5156,101264.01,142171.56,4037.845,119740.37,1122.0193,83938.28,2915.072,1
230549.4,1,2,1,32.741306,1,2,2,0,0,2,178296.8,178008.36,143844.08,43027.65,43493.832,46248.723,5281.0825,-597.9507,2748.055,6904.4893,1230.0414,139605.28,0
103864.56,1,3,1,55.260303,2,-1,-1,-1,-2,-1,-739.35535,1247.6315,1221.728,-65.44574,-1303.668,-245.91872,812.0057,1449.1504,-65.78362,29.92628,1979.7697,-210.69876,0
128618.68,1,1,1,28.210083,1,2,0,0,0,-1,163795.17,136566.89,133529.53,92109.18,97975.83,91627.47,1374.3928,8850.751,5072.417,4925.2305,101559.234,-545.9492,1
577704.6,1,2,1,33.49242,1,2,0,0,0,0,418905.12,415947.12,440294.9,464517.72,484689.28,502369.62,1484.1487,38805.25,51884.395,17730.291,20250.594,15929.093,1
3765.5981,1,1,2,25.132702,1,3,2,0,0,0,10514.566,9771.6045,9932.424,11582.783,8867.527,597.6985,197.93973,-57.776886,315.59967,-37.78173,-53.68963,359.59128,0
514033.44,1,1,2,47.84698,-2,-2,-2,-2,-2,-2,453926.78,411158.84,312829.3,287548.62,149408.3,111177.195,1136.9539,10739.149,10197.726,4099.593,3553.6335,1615.3845,1
52277.277,1,3,1,37.68847,1,5,4,3,2,0,51188.785,45600.24,48722.04,43993.984,45158.94,48541.68,574.77814,1062.0947,-544.52094,1129.8074,2565.8987,497.79538,1
230961.17,1,1,1,41.816063,1,1,1,1,2,2,376674.62,329264.38,340340.4,320497.0,298805.25,303389.03,14308.51,4981.5483,9458.605,-224.94432,7860.867,258166.62,1
502678.28,1,1,1,39.03215,2,0,0,2,2,2,10520.422,16441.51,123959.56,119242.6,122321.125,113671.94,4515.929,106434.1,-765.74896,9129.441,164.0877,10678.429,1
552004.06,1,2,1,44.705738,0,0,0,0,0,0,561703.0,548869.3,568097.2,536140.8,458001.56,94118.05,20408.148,24061.33,15983.886,16640.574,40626.535,419340.12,0
58550.598,1,2,2,34.92074,1,2,0,-1,-1,0,58936.977,61991.33,118274.55,2278.4253,23996.625,24420.102,-1238.6384,2057.0444,3544.4229,60530.48,1258.5502,1079.1304,0
209414.4,1,2,1,40.482594,1,2,2,0,-1,0,299254.88,288062.22,211378.0,235795.0,199261.89,185558.95,6591.9214,1949.251,7121.978,203415.55,6330.654,5958.335,0
15468.738,1,3,1,45.26433,2,-1,-1,-1,-1,-2,-2943.9062,4092.4402,904.8999,1392.0309,4350.664,2557.839,1119.8367,1285.186,98.003,5458.25,269.35724,-238.0889,0
22885.457,1,3,1,49.520714,1,5,4,5,4,3,17804.086,16467.701,18170.41,13780.953,17296.229,16931.76,757.57697,2996.3818,-775.6635,1017.36426,-350.85028,-237.44144,0
96954.69,1,2,1,40.901424,2,-1,0,0,0,0,143505.33,158858.22,162109.55,167508.44,58006.895,19800.383,104069.86,5110.974,7735.7188,1840.3982,2467.406,3763.9097,1
