X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
51460.816,1,2,2,21.988071,-2,-2,-2,-2,-1,0,65260.21,54470.984,775.9116,45185.215,34038.426,29046.412,-132.78488,173.00778,54649.848,30669.16,674.61115,1848.3096,0
181049.98,1,1,1,38.154926,2,-1,-2,-2,-1,0,60825.16,304954.25,-22399.088,302098.16,392302.44,391966.3,902343.0,1159835.4,823434.7,578733.25,9896.937,189983.97,0
640525.75,1,1,1,30.783627,-2,-2,-1,-1,-2,-1,95670.49,81529.625,1110075.4,162918.52,177956.61,280219.44,10776.566,1543003.5,123529.02,125884.26,392118.0,21464.082,0
498850.7,1,2,2,41.687485,-1,-1,-1,0,0,-1,19791.086,22372.625,286548.34,232641.52,232757.2,-733.0867,-4267.033,292461.0,6842.502,-902.5967,11093.849,517953.9,0
432308.38,1,1,2,30.078924,-1,-1,-1,-1,0,6,64820.86,489689.2,594333.25,173299.81,116991.45,119265.055,499490.6,1290979.5,164205.98,7862.028,8321.434,13038.315,0
578885.06,1,1,2,29.770308,0,-1,2,-1,-2,-1,390462.56,301200.1,386787.8,366068.1,229208.2,212330.1,310263.16,5207.885,368656.97,249244.92,264781.75,227900.1,0
692449.3,1,1,2,25.719301,1,-1,-1,0,0,-1,10027.676,19561.371,446179.7,415062.6,383488.1,406869.0,241524.67,386807.62,10489.964,9095.946,406116.12,8218.106,0
607043.75,1,1,2,27.065668,0,0,0,0,0,0,558485.6,548460.2,469163.88,460332.12,478486.62,475554.22,21785.186,20202.54,22224.268,17007.758,33859.97,248296.8,0
41367.074,1,3,1,33.060196,0,0,-2,-2,-2,-1,52197.61,26734.715,800648.94,-6115.9106,4941.7734,143438.83,-573.73846,1094884.9,228.31453,-1548.7378,117020.21,10566.652,0
280165.34,1,2,1,38.89265,1,-1,2,0,0,0,52767.18,355887.72,309091.44,48480.527,73150.5,19895.592,524581.9,4511.4175,-386.76996,17866.264,19083.898,25929.732,0
249028.66,1,3,1,50.433384,0,0,0,0,-1,0,221475.05,320279.84,247579.55,-83188.85,227400.69,237639.48,25227.38,11817.23,-2811.1577,486116.94,12673.548,5079.5913,0
454866.75,1,1,1,43.763767,-2,-1,0,0,0,-1,35684.0,348697.5,304302.3,187696.4,146013.88,144443.03,348828.28,1010.583,7571.3877,8536.148,164695.42,364826.84,0
239030.83,1,2,1,47.55235,0,0,0,0,-1,-1,221714.34,264803.75,256107.08,67908.41,200292.11,6164.3115,32643.564,10720.149,6778.3276,186151.83,8787.8545,376131.44,0
373084.56,1,1,1,54.819736,-1,-1,-1,-1,0,0,110541.8,190696.19,84639.99,195834.06,184141.53,218.73363,189430.4,75506.4,193619.77,3655.5386,12896.274,137282.94,0
509421.4,1,1,2,28.265018,0,0,0,0,-1,-1,36739.016,28953.068,45077.617,44483.316,8963.67,413295.25,5565.405,11259.707,1093.3705,11587.268,399276.62,17706.27,0
