X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
194249.22,1,1,2,30.263306,-1,-1,-1,-1,-1,-1,5944.039,3652.155,3595.06,4720.4604,1789.8164,2196.593,3664.0527,2772.679,2791.5076,2378.602,2445.7268,2640.4707,0
200739.06,1,1,2,32.065933,0,0,0,0,0,0,118924.98,119240.84,102745.65,98934.516,90383.92,83418.18,7720.6123,6121.4443,4885.2896,4051.6738,4083.7542,4757.864,0
229214.75,1,1,2,31.190865,-2,-2,-2,-2,-2,-2,7825.379,4950.643,3763.8452,4238.1753,2129.5078,2485.9954,2369.3728,2138.721,1648.7308,1576.5259,2121.893,2591.0957,0
84308.945,1,1,2,27.94981,0,0,0,0,0,0,34846.32,32734.213,29466.584,26801.215,25178.846,21477.666,3705.2327,2538.3108,2067.9575,1647.5347,1740.6322,2179.543,0
100236.164,1,2,1,42.283863,0,0,0,0,0,0,39112.555,34717.324,31769.33,27865.457,26152.828,25538.168,2778.5972,2012.396,1901.3214,1586.4265,1901.619,1916.7043,0
362486.56,1,1,1,40.749233,-1,-1,-1,-1,-1,-1,28284.672,23242.287,37726.492,27076.264,31938.783,16674.152,20064.766,53518.035,19834.904,26563.842,13368.417,16543.107,0
215611.88,1,2,1,40.754322,-1,-1,-1,-1,-1,-1,5325.879,3987.7957,4718.736,4282.941,2022.4219,2231.6555,4513.175,3329.7632,2517.4766,2315.9812,2900.092,2770.2056,0
306457.72,1,1,2,33.038235,-1,-1,-1,-1,-1,-1,5051.426,6638.096,6126.556,5716.3745,3539.2227,4285.5186,5864.934,4509.0234,3258.8862,2746.8696,3233.2625,4336.0156,0
223763.33,1,1,1,40.440975,-2,-2,-2,-2,-2,-2,3402.6758,3311.3113,2265.2788,2036.4567,1949.7031,2630.6672,2464.4788,1719.4155,1414.1488,1687.0557,1625.8805,2490.4985,0
74465.164,1,2,2,29.525743,1,2,0,0,0,0,41584.652,31459.326,36385.04,31809.441,28804.557,29804.598,379.8284,3509.664,1924.3497,1752.5432,2575.0464,1536.1458,0
69167.65,1,2,2,26.265633,0,0,0,0,0,0,32035.764,28120.734,26218.006,23635.39,21730.844,18796.938,2653.772,2245.8064,1838.2926,875.7439,1600.8375,1305.5085,0
83376.08,1,2,2,28.700603,0,0,0,0,0,2,37961.457,35030.715,37295.12,35876.727,40142.36,38383.4,3086.5881,2323.244,2137.171,2924.3887,1786.4799,1278.3408,0
187921.84,1,2,2,29.94106,0,0,0,0,0,0,111438.52,110183.87,101173.66,95802.38,91638.35,89145.52,5946.647,5466.8384,4337.2124,3748.6243,4345.522,4327.536,0
133064.5,1,1,2,27.950752,-1,-1,-1,-1,-1,-1,4126.8086,4417.389,3840.724,3601.2456,3160.7305,2180.214,3556.9753,3020.2546,2393.6226,2255.5513,1541.4,3118.2693,0
261046.42,1,1,1,38.435947,-2,-2,-2,-2,-2,-2,25139.512,12632.519,10471.322,9664.07,7271.9453,76259.414,5117.9355,6506.5537,4231.308,2316.734,81804.18,8850.709,0
284473.25,1,2,1,39.51896,0,0,0,0,0,0,220133.28,218744.69,203421.52,193161.89,171440.58,169493.72,10240.118,9536.84,7783.8633,6382.281,7864.7183,8093.868,0
133558.66,1,1,2,29.792856,0,0,0,-2,-2,-2,53238.543,29840.73,12767.627,302.67535,1728.3711,2138.5032,2421.1511,1819.4033,846.35114,351.44824,892.9444,1149.5342,0
219396.64,1,1,1,43.24008,0,0,0,0,0,0,124840.984,123225.77,111170.914,105870.68,95123.48,88183.805,7856.319,5660.8237,4174.2783,4113.54,4399.0513,4967.8735,0
219193.06,1,2,1,39.649372,-2,-2,-2,-2,-2,-2,5454.3594,3215.9246,2506.2905,3896.359,2294.9648,2790.554,2366.1035,1584.3633,1704.3956,1705.0149,1923.8773,2040.5376,0
173183.5,1,2,2,30.081602,0,0,0,0,-1,0,44563.71,37594.457,27146.455,11644.514,47475.383,48115.758,3438.4495,3095.2747,2779.3035,55322.715,3629.721,4584.4814,0
74221.04,1,3,2,47.073757,0,0,0,0,0,0,45556.383,38076.016,35707.1,27800.418,26944.021,26222.55,2693.6904,2814.7925,2157.0857,1929.825,2390.4736,2016.405,0
297893.3,1,1,2,31.42075,0,0,0,0,0,0,220431.9,218171.7,204882.11,191366.88,173526.95,163111.7,11231.521,10050.587,8320.034,6506.149,7393.6455,8656.232,0
264929.16,1,1,2,32.414223,-1,-1,0,0,0,0,45136.05,35914.957,25899.803,24232.719,15146.326,7933.382,7506.074,6413.9204,4640.671,1607.0847,5984.5283,134083.38,0
93531.42,1,2,2,25.077856,0,0,0,0,0,0,34459.887,32833.734,29498.047,26640.328,26329.1,24015.998,3047.5479,2194.2627,2254.001,1426.511,2129.5588,2065.019,0
204734.11,1,2,2,30.63573,0,0,0,0,0,0,56267.055,52521.54,38292.066,25176.014,18537.133,85626.8,6285.2075,6097.3867,3423.6775,2355.8657,73270.19,6427.092,0
210960.08,1,1,2,34.319565,-1,-1,-1,-2,-2,-2,8323.008,5094.893,1788.81,-900.0981,2378.8672,2240.1086,5390.8184,1155.9517,280.7574,715.8125,1388.3019,371.41208,0
189706.6,1,2,2,30.792936,-1,-1,-1,-1,-1,-1,4555.1055,4851.436,3541.0952,3397.1792,3480.9219,3352.1086,4157.393,2777.1814,2598.896,2422.9304,2563.5793,3340.1562,0
245079.45,1,1,2,33.679657,-1,-1,-1,-1,-1,0,12902.93,15565.28,10453.729,8416.0625,52707.945,39839.883,6851.627,4658.29,4668.1055,65032.18,4445.9106,8106.7583,0
92199.6,1,2,1,39.839466,0,0,0,0,0,0,42680.152,36973.906,35604.035,30972.943,27204.81,24644.203,3052.6494,2275.5703,1955.5912,1435.78,2136.9436,1640.6204,0
98985.5,1,2,2,39.15997,0,0,0,0,0,0,48090.29,43669.582,40331.047,34726.242,31306.434,29515.645,3136.9653,2887.3965,2274.4866,1788.8352,2551.0745,1993.2058,0
96626.66,1,2,2,31.32118,2,2,2,2,0,2,48835.086,49994.06,49021.33,49118.4,45031.875,55860.848,2852.9292,2372.1836,2436.3381,2313.6333,3115.5715,1582.6299,0
183811.95,1,1,2,29.178959,0,0,0,0,0,0,106805.0,103959.03,92953.93,91527.92,87691.49,85590.42,6638.2866,5062.5923,4392.9775,3722.445,4284.3535,4624.7876,0
277080.1,1,1,1,34.18782,-1,-1,0,0,0,0,39720.035,199712.02,164698.75,150802.78,108168.664,124944.75,209930.17,19195.115,8835.244,5091.563,8679.949,10094.666,0
288123.7,1,1,2,34.32731,-1,-1,-1,0,0,0,36764.695,20983.8,133097.44,114086.99,81154.78,79581.59,11748.821,139595.84,5268.9404,3976.102,7540.9507,11702.142,0
461673.38,1,1,1,39.459072,0,0,0,0,0,0,399908.4,401123.34,385094.78,369622.0,353747.44,328239.03,18263.064,21361.59,17815.78,14941.765,15598.64,14743.135,0
198324.7,1,2,1,38.370045,-1,-1,-1,-1,0,0,5495.34,4665.686,7262.5444,12503.539,11893.873,9967.177,4603.099,5598.395,5114.6904,1577.5576,2622.3704,2638.0652,0
380079.28,1,1,2,30.997904,0,0,0,0,0,0,41850.88,37685.64,34963.97,32440.732,29005.955,26265.023,5501.4365,4569.1665,3722.107,2859.5818,3838.914,6662.8955,0
