X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
30063.926,1,3,2,38.884468,3,3,2,2,2,2,10757.332,10872.862,19665.688,14522.764,17393.693,38087.67,1940.4907,-508.897,1270.4391,-745.3633,-534.4982,16.600555,0
38505.332,1,2,2,25.11596,2,2,-2,7,3,-1,2959.6445,-5317.345,-4429.819,-394.20746,3628.8516,-15325.384,-691.18427,2142.636,2387.765,3415.013,508.91583,-2217.0796,0
24037.004,1,3,1,51.19574,2,2,2,2,2,2,-104.538956,4499.018,7018.3804,146.3277,8898.809,9430.708,1472.0125,-2211.6372,1135.2323,-845.7344,-952.44257,-713.91064,0
30245.973,1,2,1,45.309757,3,2,2,2,2,2,-3213.3594,-3551.6145,-2932.8384,-3349.8755,4623.8047,-4996.0166,-246.5466,-2471.2695,1438.1859,2215.7017,-807.96405,-2444.0732,0
33240.41,1,2,2,24.481264,3,2,2,7,3,-1,-3244.914,-12320.407,-3801.397,-7275.4927,3273.1133,-17459.98,-223.47385,-979.6953,2044.3031,1983.3767,-3479.4182,-3244.4644,0
29053.988,1,2,2,26.892397,2,2,2,2,2,2,6969.8984,2325.2214,2849.8062,5966.609,5721.7227,5178.3506,1096.0613,1111.3228,1632.2809,1963.7097,1658.225,-1844.6602,0
141485.56,1,2,1,38.77168,2,2,2,2,2,2,167023.2,140106.06,143956.81,128165.99,180570.61,146022.12,4728.9697,5800.6113,9748.022,4729.18,1993.5304,6977.111,0
147383.34,1,3,1,37.217796,2,2,2,2,2,2,172822.16,143434.31,154254.92,135256.52,182910.6,148253.62,6079.4297,5371.2603,5061.988,8824.434,3601.4937,8992.968,0
19421.395,1,3,1,57.84859,2,3,2,2,2,2,-2214.9531,11386.327,12700.506,691.0035,9695.092,23564.37,341.30496,-3014.921,760.8931,1008.70874,-452.8869,-908.1548,0
25541.02,1,1,1,49.00649,2,2,2,2,2,2,2156.4727,8234.425,9965.506,4500.6323,10187.488,20013.629,1704.2742,-2021.1455,1023.6148,1664.5625,319.94806,-764.63135,0
474964.9,1,1,1,55.49099,-2,-2,-2,-2,-2,-2,-4099.6367,1655.6119,205414.4,10807.002,16005.51,113493.68,6185.974,92210.625,7138.436,-973.4541,79014.71,136298.78,1
439838.84,1,1,2,31.854538,-2,-2,-2,-2,-2,-2,18941.246,79290.1,18231.678,5744.9214,12119.551,49850.605,52896.99,7276.0205,413.6275,16085.122,32812.94,21309.848,1
143997.67,1,1,1,31.888275,-2,-2,-2,-2,-1,0,3400.0117,16175.011,24448.957,-30541.781,21038.582,73401.07,16057.112,84877.05,1735.016,59752.566,9212.34,2365.6035,1
338339.3,1,1,1,28.39332,-2,-1,0,-1,-1,-1,70153.59,26337.373,130574.06,42337.766,16737.758,46385.89,52014.254,90455.73,13623.625,947.751,23993.734,12114.16,1
304722.84,1,1,1,32.018818,0,-1,-1,-1,-1,-1,58821.312,50344.754,26456.982,7196.902,27878.98,50916.633,54344.42,2270.1497,8664.97,26381.17,25339.465,72959.89,1
215515.45,1,1,1,22.79174,-2,-2,-2,-2,-2,-2,11283.355,1143.6471,11612.201,11892.664,13126.512,61963.79,2072.2656,7764.8564,14.995189,5336.353,34371.934,2317.4026,1
310789.38,1,1,1,50.271027,-2,-2,-2,-2,-2,-2,1174.3243,22726.15,24963.895,1448.7535,11391.771,63641.22,42618.43,49124.934,-145.52971,10321.917,38050.3,34662.28,1
538670.6,1,1,2,24.002165,0,0,-1,-1,-1,0,-5327.66,9347.44,16595.768,4021.2925,11730.973,184247.03,770.9295,7886.151,-1168.5184,3273.185,115723.04,4800.6274,1
237568.8,1,1,2,23.590837,0,-1,0,0,0,0,26619.078,27660.367,25682.975,124010.69,182367.08,160879.03,2413.9458,14069.355,41886.758,1994.3955,49046.414,8308.381,1
334194.2,1,2,1,31.740881,0,-1,-1,-1,-1,-1,93370.836,15338.522,12392.541,2621.5269,21039.973,13063.235,42196.574,4537.4663,6375.0083,18808.676,3707.0618,32169.51,1
