X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
189584.12,1,1,2,36.37031,-1,-1,-1,0,0,-1,16780.266,18013.836,13986.533,21651.906,11696.549,11630.505,14391.948,6138.682,3034.2441,2136.4653,6165.6206,5542.3354,0
77213.58,1,2,2,37.189255,1,2,2,0,0,0,32365.56,30923.4,21724.566,25045.89,20609.902,23208.217,2333.2827,2621.2942,1430.1146,2043.176,2114.2615,1716.8516,0
177571.69,1,2,1,37.67055,-1,-1,-1,-1,-1,-1,10716.84,6491.346,1907.1812,6334.859,6333.6484,4369.659,6026.9053,1829.3262,5224.0474,724.9009,3662.6826,3994.126,0
84952.71,1,2,2,34.77284,0,0,0,0,2,0,35335.273,36906.195,25880.533,25276.195,16112.201,23449.723,4430.775,2006.7063,475.9322,1003.6133,3131.7356,2213.4514,0
148595.48,1,1,2,36.090996,0,0,-2,-2,-2,-2,31037.309,18572.887,535.4741,7134.3276,-3621.164,4873.788,3037.154,835.5381,-470.09564,-269.05518,2308.0115,2867.3682,0
106624.914,1,3,1,40.99274,0,0,0,0,0,0,42500.56,41187.047,31946.203,35011.9,26767.74,22849.363,3702.5022,2449.78,1593.6346,2475.229,2130.7327,2571.1838,0
273787.2,1,1,2,38.66293,0,0,-1,-1,0,0,64956.902,50699.64,69170.25,127552.55,100473.35,90176.96,14050.421,60494.594,82375.09,591.6172,9216.453,5904.774,0
222101.05,1,1,2,32.609486,-2,-2,-2,-2,-2,-2,7433.9688,9875.843,-1011.13916,4636.8823,899.3829,9002.985,4755.6484,955.27637,2735.2922,-507.86182,2603.3289,3135.7246,0
188234.81,1,2,1,38.227085,0,0,0,0,0,0,131823.97,120292.19,117004.17,113592.875,116185.71,94390.305,6264.3433,5463.061,4723.429,3931.5942,4939.568,3861.6255,0
197947.9,1,2,2,35.35538,0,0,0,0,0,0,140703.16,125943.15,120610.73,119115.766,120959.67,105499.28,6879.6855,6049.8076,4597.5405,3685.863,6135.795,3983.7822,0
