X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
278881.16,1,3,1,38.13098,-2,-2,-2,-2,-2,-2,3819.457,11745.46,25609.27,-9542.285,5629.797,1683.0422,5176.5767,7549.115,962.3228,-200.11375,1926.4237,4212.5757,0
128808.58,1,2,2,34.494244,0,0,0,0,0,0,96192.47,99510.92,85009.54,79569.695,72955.56,79109.21,4773.3213,3489.587,7804.814,3452.2612,635.9476,3852.7234,0
212664.84,1,2,2,35.697277,-1,-1,-1,-1,0,-1,8763.484,-2034.9779,20624.646,-6554.024,12721.512,5753.37,5662.885,6985.6396,3232.2485,162.23341,4379.3813,5874.742,0
89393.29,1,3,2,33.78824,0,0,0,-1,2,0,42974.098,37875.637,45835.582,37114.53,37030.527,44125.45,4234.003,2021.5896,4092.908,-191.39159,118.71955,973.47754,0
228172.58,1,1,1,36.41997,0,0,0,0,0,0,117183.12,148714.08,99637.46,99600.18,100230.36,119541.5,4311.921,7406.3,9057.662,5436.171,-146.5202,6835.288,0
172891.84,1,2,1,37.057384,-1,-1,0,-1,0,0,7431.8438,18257.451,31700.486,4552.1675,11714.203,11915.554,4978.4404,9375.271,5676.9307,2389.4338,1525.9843,4867.6655,0
238880.3,1,1,2,33.820305,0,0,0,0,0,0,138766.28,170482.31,98531.46,108381.6,130273.94,138571.38,4963.9263,6228.61,10257.852,5257.555,1098.0372,7638.5347,0
281688.22,1,3,2,34.93737,0,0,0,0,0,0,42016.734,25480.793,35243.125,26323.709,37859.88,43648.48,5469.4956,5179.5435,7118.6875,2233.2346,2897.5737,5893.926,0
262517.84,1,1,2,34.6472,-2,-2,-2,-2,-2,-2,12925.105,10090.417,25159.576,-5055.7856,12887.037,3145.3118,5420.798,6581.46,3096.8103,5.190927,2399.1934,4782.416,0
73093.06,1,2,2,33.631233,0,0,0,0,0,0,35635.645,25225.973,34932.15,23309.914,32211.078,26732.617,4541.0405,1482.1187,4598.391,1683.1421,-639.4533,1234.9702,0
87430.38,1,2,1,37.62005,0,0,0,0,0,0,38559.508,31882.795,38282.938,26823.033,30114.094,31003.387,4773.7007,2806.2334,4641.4883,1950.9072,-576.68134,1354.021,0
90616.64,1,2,1,36.707726,2,2,2,2,2,2,29875.736,37735.703,46848.45,34013.17,24378.291,33160.67,4124.4976,5034.658,2009.0013,188.60841,622.2259,2895.5608,0
274931.72,1,1,1,37.26426,-1,-1,-1,-1,0,-1,8776.086,11748.542,28353.484,-2709.3677,3496.293,7883.0635,5336.8486,9724.381,3502.4402,1457.9431,3635.8186,7179.141,0
325072.66,1,3,1,37.789112,0,0,0,0,0,0,219112.34,232685.0,96667.51,161062.72,284941.6,203025.95,6736.915,11742.6,16227.911,11221.922,1409.6932,15522.466,0
99116.24,1,3,2,34.129353,1,2,0,0,0,0,43925.242,39872.816,45764.965,30123.54,29691.428,25347.45,4002.1812,5582.1523,3321.811,1078.3655,1528.2003,4055.3948,0
66814.47,1,2,1,36.260105,0,0,0,0,0,0,40364.9,35894.918,42919.59,32068.812,30550.39,31129.764,4070.1384,2547.6086,4619.8813,2947.5095,-1824.4738,1379.5144,0
111000.73,1,2,2,34.06433,0,0,0,-2,-2,-2,49475.12,43349.25,37857.81,-14788.785,13252.59,2449.839,4628.539,2691.6123,-193.0756,-1449.3633,98.33967,659.5298,0
132763.27,1,1,2,32.584927,0,0,0,0,0,0,40257.23,37991.438,42820.656,32930.254,31858.455,35810.805,4378.2383,2915.0554,4689.094,1978.0659,-362.90594,2881.8438,0
245149.19,1,3,1,38.361584,0,0,0,0,0,0,151923.9,180599.38,100875.6,113005.75,141195.12,141328.28,5812.062,7664.424,10824.483,5540.1133,1128.2008,7115.8716,0
218671.3,1,3,1,36.10494,2,2,2,2,2,0,149513.84,178554.1,100440.16,128210.74,168419.78,159344.89,5289.758,8745.145,7046.9443,4000.902,3088.9614,9216.032,0
241590.97,1,1,2,35.542046,-1,-1,-1,-1,0,-1,11217.867,-2182.9153,20957.084,-3942.7075,12884.471,7566.0713,5789.105,7709.792,3466.382,-677.34814,5320.0034,6509.0405,0
98788.336,1,1,2,33.318485,0,0,0,0,0,0,40444.56,33575.086,40828.64,29223.4,30983.795,31754.748,4769.456,2362.545,3882.3516,579.5967,289.99933,1634.9001,0
235411.62,1,1,1,37.250195,1,-1,-2,-2,-2,-2,5718.496,13208.315,28040.764,-14618.02,5111.4414,-483.2312,4409.7417,6434.8223,-1392.847,-1247.523,1443.8763,2115.9846,0
260184.4,1,3,1,37.563244,-2,-2,-2,-2,-1,-1,8256.426,9203.405,24282.033,-4955.3013,15488.512,16298.905,5101.3203,8352.02,4390.922,4241.646,3551.8015,7316.031,0
251600.77,1,2,2,34.181175,0,0,0,0,0,0,36137.656,25667.094,34266.207,21632.861,33159.953,32820.113,5017.444,3908.5308,6174.07,1836.79,1290.1302,3535.4978,0
98036.33,1,2,2,34.755447,-1,2,2,-1,0,0,31703.848,17454.494,33040.703,16532.434,24715.791,17605.787,4632.7183,5388.898,1879.0363,-62.644035,2665.4204,2716.6565,0
203240.06,1,1,2,34.38724,-1,-1,-2,-2,-2,-2,10846.406,9829.022,26424.338,-13771.656,11324.135,-241.86794,4653.7974,5016.834,-1630.6127,-2230.1846,2217.441,1964.1592,0
241704.58,1,1,2,34.373154,-2,-2,-2,-2,-2,-2,10244.461,13041.726,25481.258,-8016.1763,12662.967,3165.3586,4957.801,5070.99,1967.1691,549.41113,1500.923,4426.577,0
231213.0,1,2,1,39.13335,-1,-1,-1,-1,0,-1,4713.2773,-1493.6107,20359.514,-6823.731,7001.914,4563.6787,5742.2705,8700.118,2225.19,-101.1914,4212.4746,5682.2915,0
