X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
319409.6,1,1,1,42.837425,1,-2,-1,-1,-1,-1,-6787.3984,-2937.0247,35424.53,-15457.754,1713.8789,-5442.079,4910.0264,21119.3,-2551.127,-1431.5151,3471.3281,3075.2737,0
235776.8,1,3,1,39.569687,0,0,0,0,0,0,197427.44,238209.47,100508.67,-116279.25,286678.75,178493.33,6625.5366,276.33884,15033.446,53721.758,-6258.8125,16007.093,0
363368.38,1,2,2,33.31703,0,0,0,0,0,0,367634.9,279033.3,122120.69,190471.83,237799.56,230686.5,18139.193,1865.1516,35692.438,46680.72,-404.93622,36458.977,1
76767.2,1,2,1,33.192055,1,2,0,0,0,0,27144.7,26845.56,36962.098,21856.861,18049.73,12141.388,3485.5593,5484.409,3481.9138,1765.2725,-579.94696,3307.4912,0
399449.56,1,2,1,33.849316,2,0,0,0,0,0,328447.9,272701.94,121552.484,179940.3,-2292.746,186539.08,7086.5254,33592.465,57498.67,10707.818,-595.3283,109272.91,1
318875.5,1,2,2,37.416477,-1,2,2,-1,0,-1,358126.22,257216.0,109014.36,174360.98,312317.75,179476.67,6932.0815,2649.3694,6425.7256,7668.392,52154.246,12806.536,1
403352.72,1,1,2,41.893692,-2,-2,-2,-2,-2,-2,302755.84,239369.9,97511.305,171600.2,166151.28,137337.03,6362.9487,11360.323,11333.29,3104.2805,3503.95,4457.5435,1
192095.23,1,1,1,33.48388,1,2,0,0,0,0,201848.47,214284.42,97160.75,154484.88,306911.4,205602.36,-146.83029,4499.047,14927.7295,33286.586,55667.707,1069.2769,0
98321.06,1,2,2,35.00579,1,2,0,0,0,-2,80316.95,73882.13,44035.688,27747.09,14638.422,-15134.688,4196.1553,6780.3022,2578.712,-1696.2642,2345.6006,2432.3254,0
87847.45,1,1,2,31.868536,0,0,2,2,2,2,21520.459,21189.098,38896.586,23896.383,26769.123,29166.951,4803.2075,-437.501,1133.8644,-3511.1646,586.0042,-860.9092,1
74134.086,1,3,1,42.163177,-1,2,2,2,-1,0,18556.299,20992.467,33446.457,-20457.043,50701.3,70707.06,1917.2493,3142.4475,2933.762,27639.613,-2222.6365,3434.8032,0
80852.45,1,2,2,42.175854,0,0,2,2,2,2,13312.477,7730.6274,29446.27,9014.109,30281.783,5810.6475,5286.4795,-858.01855,597.545,-1522.0767,273.31036,-2224.9663,0
347048.75,1,2,1,33.627586,2,0,0,0,0,0,189677.55,223995.72,99344.13,123638.11,187761.0,147655.75,6580.9526,9962.105,42166.305,5708.941,210.07306,9031.887,1
312645.53,1,3,1,42.521008,2,0,0,0,0,-1,225145.55,199172.05,93960.74,33213.695,46999.074,139769.08,6533.34,6460.622,3947.3186,4666.615,65837.63,74475.01,1
99452.586,1,1,2,31.166862,2,2,-2,-2,-2,-2,92010.46,32466.727,32175.605,-8586.078,8234.672,-96488.76,4567.284,3247.8,-3055.6787,-753.8579,-549.98016,110363.45,0
388128.72,1,2,2,33.234383,-1,-1,2,0,0,0,315264.4,255507.75,116576.99,181251.86,198856.78,217794.72,10650.763,6485.0386,16004.043,11508.559,9750.174,22474.035,1
320139.4,1,1,2,34.379063,-1,-1,3,2,2,2,217485.5,193660.4,93236.734,157710.77,279100.44,183790.25,5469.623,5944.1973,11385.54,6535.4697,6018.946,12915.946,1
93437.83,1,2,2,33.45784,2,2,-1,2,0,0,121542.7,118485.89,95537.75,64036.875,70807.59,144878.95,4832.4917,92355.64,2648.0051,6831.4595,2928.415,4371.4736,0
347450.7,1,1,2,31.661673,2,2,0,0,2,0,86484.65,113359.36,95890.1,99605.57,64975.766,138335.8,4232.0127,7521.867,6091.0283,-398.80176,991.14703,102424.23,1
97247.78,1,1,1,33.328083,1,2,2,0,-2,-1,73730.31,115035.41,94739.375,99624.03,83357.95,141689.06,3209.977,6627.3594,5962.712,8043.807,-393.05096,10174.732,0
356946.16,1,2,1,33.429306,-2,-1,2,2,-2,-2,-1501.9374,12382.175,23782.865,-15401.902,10482.014,-3929.5398,5460.4263,5139.948,-1160.2533,-1892.0933,1547.5494,1496.8201,0
311738.03,1,2,1,35.757576,1,2,2,0,0,2,151319.34,173567.14,93280.89,49191.902,14432.635,67667.27,6596.0825,8516.205,-2204.8774,2546.7551,3361.8674,106930.984,0
214225.03,1,1,2,41.8672,2,0,0,0,0,0,299963.0,254494.7,110468.55,178403.05,34131.094,154430.58,7312.743,8730.347,14021.419,9592.707,65312.918,109269.29,0
214511.4,1,2,1,34.086807,1,-1,3,2,2,-2,21500.895,19819.9,33151.258,-6841.5396,13397.863,-16526.785,4102.9263,7386.2437,679.8648,-449.53125,2766.4397,3161.9292,0
265073.44,1,2,2,33.653675,2,0,0,-1,0,0,194357.47,199069.34,32460.838,153567.08,195714.14,161976.16,5147.8936,3644.0615,60883.027,5568.7646,1364.8256,5038.948,1
382200.16,1,1,1,36.30474,2,0,0,0,0,0,2130.996,18748.973,27948.906,-945.1879,15527.51,8958.845,4941.465,5408.8633,1113.7072,-665.5254,701.1453,4185.503,0
81650.83,1,3,2,40.677715,-1,-1,2,-2,-2,7,-165.03505,7174.6157,27310.486,-8725.559,10854.445,3428.8625,5449.5303,3826.565,693.75543,-2247.7588,1373.1832,-515.0259,0
172901.86,1,3,1,37.719433,-1,-1,-1,2,2,0,143354.53,175332.3,103355.734,125516.26,154721.6,162529.7,5907.045,7501.9507,1325.0822,-1485.7349,3896.7993,6470.9355,1
