X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
33262.613,1,1,2,40.496235,0,0,0,0,0,0,18884.52,16036.675,12728.307,17923.113,9845.619,-7448.091,3115.2974,23583.322,-103.856865,2411.1665,66.35432,-221.66312,0
124955.44,1,3,2,-34.91361,2,-1,-1,-2,3,-2,-130311.875,225563.27,614226.44,880446.6,-158542.88,267633.44,341691.84,328240.6,5559.0464,117209.3,147377.1,-9715.988,0
400920.44,1,1,2,38.196804,0,-2,-1,-2,-1,-1,-13053.242,-44141.113,457435.72,266403.88,27261.262,278617.75,-3780.2854,203515.5,88146.05,93072.88,232809.67,36579.137,0
343481.84,1,1,2,38.43006,-2,-1,-1,5,0,-2,-160712.81,338981.34,430199.22,655556.25,88225.03,159625.88,280919.34,167055.81,94191.04,63400.25,19637.826,15388.051,0
236089.17,1,2,1,31.486797,-1,-1,2,0,0,-1,-81415.69,43857.67,215272.47,247912.05,90372.59,154871.97,-18387.56,149828.89,46971.074,-1902.9458,-6390.5947,95225.445,0
537743.94,1,1,2,32.59925,-2,-2,-1,-1,0,-2,-15088.145,-101586.81,407495.53,429946.28,296114.4,310857.75,155883.58,140206.08,-12574.146,45112.504,243778.61,-160.85843,0
156965.92,1,1,1,39.69807,-2,-1,0,0,0,-1,13428.371,512310.75,410585.1,242570.14,179543.62,217415.38,167585.72,22895.803,13304.366,21598.13,203542.0,114040.82,0
526550.8,1,1,2,31.236124,1,-1,0,-1,7,-2,319360.1,403064.72,416051.56,355003.22,66979.125,247298.48,151121.56,28231.494,88376.055,106783.516,225015.25,110972.15,0
-144225.62,1,3,1,38.21931,0,0,-2,-2,-2,-1,28959.111,-6593.7476,354301.5,99411.48,35913.79,164561.0,-9287.044,162569.02,7452.153,1227.28,130461.375,14940.944,0
193462.64,1,5,1,38.66891,1,-1,2,-1,0,-2,-80239.22,305705.47,465737.03,55483.26,85720.84,18586.338,190916.27,-5051.33,-8719.582,45043.188,19889.543,9307.442,0
379234.38,1,2,2,37.131546,-2,-2,-2,-2,-2,-2,40060.76,-12074.591,22326.254,240381.95,14008.246,154459.9,4606.934,3972.4263,106714.46,5153.2275,211535.5,0.600068,0
553434.25,1,1,1,53.20283,-2,0,-2,-1,-2,0,759552.2,377845.62,355756.06,297745.72,190612.88,283777.6,100116.49,54878.105,97862.4,31591.791,18704.146,133485.94,0
294732.47,1,2,1,34.9821,0,0,0,0,0,0,401567.34,415467.28,332421.12,279325.88,203275.34,86022.81,17020.564,31071.697,38213.0,84320.3,-16950.576,129567.74,0
364298.34,1,2,1,47.54354,0,0,2,0,0,2,297330.4,367351.5,379926.7,349173.8,339241.66,336233.97,47678.676,-4706.907,4561.2876,64343.168,136875.34,16608.979,0
228524.5,1,1,2,38.033882,-2,-2,-2,-2,-2,-2,-23449.488,346473.4,7460.1616,-11198.305,39531.793,4027.4016,154264.56,-1260.1431,4478.9966,6938.1294,-6293.7285,129280.17,0
270740.84,1,2,1,37.099724,-2,-2,-2,-2,-2,-2,-12948.012,16434.436,20030.018,196952.69,10342.861,33758.367,-41032.246,7229.3345,107480.27,-5139.106,3375.7573,139222.17,0
417392.44,1,1,1,39.162853,-2,-2,-1,0,0,0,461839.12,315498.16,254562.97,266936.56,246544.22,261765.48,4357.79,129065.21,97139.45,19923.91,-1525.0035,52308.27,0
249623.3,1,1,1,34.97951,-1,-1,-2,-2,-2,-1,-36795.723,25393.22,11178.432,21870.37,37733.523,109513.01,-14854.267,12983.107,16499.203,-4321.1694,-5572.0234,113021.5,0
365277.25,1,1,1,60.27546,-1,-1,-1,-1,-1,-1,84707.234,-1033.681,23477.652,67211.03,102360.164,151100.55,16219.376,6034.623,73775.71,85828.79,163129.88,96682.45,0
299530.47,1,3,1,41.05436,1,0,0,0,3,0,242052.22,224283.5,117618.734,38198.08,138161.48,178400.48,-4895.827,16991.44,3784.2732,96330.25,6155.6875,8142.467,0
442629.03,1,1,2,33.787777,0,-2,0,-1,-1,-1,60994.46,-3434.259,76527.51,91550.04,51846.67,289855.16,14262.506,63.28415,-9932.664,33310.59,247404.0,10169.585,0
357152.16,1,2,1,41.138947,-2,-2,-1,0,0,0,15499.371,257995.66,16322.137,203983.69,180890.98,175164.78,142343.17,12062.894,107549.18,1543.2639,7515.5576,5565.893,0
314356.97,1,2,2,26.600231,2,2,2,2,2,2,274172.28,322956.3,298164.75,282919.8,303673.47,293933.4,8536.554,4907.318,23828.58,516.6865,-11697.993,132332.73,0
125261.195,1,2,1,31.150652,-2,-2,-2,-2,0,-2,16833.07,189628.27,250599.14,211704.78,100481.21,125518.09,147110.53,-947.5967,-9752.331,28706.521,183472.72,2033.0149,0
229920.8,1,1,1,34.491592,0,0,0,0,0,0,165714.55,357981.2,367976.22,240683.52,218552.27,242160.56,139801.06,102981.91,6611.3774,96015.66,8446.265,6423.688,0
395279.25,1,1,2,30.969511,-2,-2,-1,0,-1,-1,75426.42,11054.839,22492.844,7604.773,37209.133,141105.47,20269.75,44736.832,2643.076,11478.218,123858.35,132226.48,0
161852.23,1,2,1,42.926777,-2,-2,-1,-1,-1,-1,19120.172,90384.63,60545.793,6746.519,120447.58,13654.167,88149.12,90953.305,19230.172,84204.49,1580.1788,2785.4285,0
508459.2,1,2,2,40.681595,0,0,0,0,0,-1,158006.64,141211.53,149705.95,33005.195,13096.148,150450.75,7387.342,-83.19388,-3070.3008,9393.533,174883.17,3525.8577,0
