Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.8993517,28.894299,0.10567916,5.2370167,16.408342,589.67725,0.031003058,0.06117916,0.66421956,0.00058183697,May,2,2,3,3,New_Visitor,False,False
2.0072243,61.31132,0.22666289,8.942717,26.197262,1007.0803,0.0066934987,0.027081389,1.4396636,0.001255023,Nov,2,2,1,1,New_Visitor,False,False
1.3999584,52.553963,0.20121871,7.405514,19.696186,760.68604,0.009362712,0.030875428,0.98739785,0.0009763005,Mar,2,2,1,10,New_Visitor,False,False
1.5782067,52.04541,0.24590774,7.8336487,23.298773,881.7795,0.008382874,0.026932785,1.151017,0.0014153185,Mar,3,2,1,2,New_Visitor,False,False
1.4265134,51.548702,0.13859923,4.5527134,17.858778,628.36896,0.012581875,0.03392507,1.0116417,0.00013559559,Nov,1,1,1,2,New_Visitor,False,False
6.4847126,299.38016,2.5716472,254.51085,75.58304,2961.9287,0.006239576,0.020164274,3.5006962,0.00094002363,Nov,2,2,1,2,New_Visitor,False,False
1.3909278,47.26612,0.16281973,7.500021,21.49527,835.0504,0.010593197,0.033178117,0.96072406,0.0009947555,May,2,5,1,1,New_Visitor,False,False
1.2126501,48.535934,0.20483492,9.929457,24.440653,936.36224,0.027781721,0.054069582,0.89073867,0.03674989,May,3,2,3,13,New_Visitor,False,False
2.168533,67.29478,0.24937637,9.341097,24.721645,967.13116,0.0030375195,0.020825852,1.6905506,0.0014071489,Mar,2,2,3,2,New_Visitor,False,False
0.7137481,16.752983,0.12149257,4.062063,21.916025,703.8476,0.014519875,0.041365564,0.46180937,0.66248524,May,2,2,1,2,New_Visitor,False,False
6.092265,314.5058,1.3821802,54.867157,124.47215,4725.4204,0.003498703,0.017240658,13.327397,0.00085857016,Nov,2,2,1,2,New_Visitor,False,True
2.523598,78.04073,0.2901977,11.007734,33.04435,1309.071,0.0032081956,0.017307602,20.145546,0.0008960056,Nov,2,2,3,2,New_Visitor,False,True
2.2183843,71.967896,0.3734717,16.790028,30.253244,1196.7872,0.0041438392,0.01940009,20.247398,0.00034320974,May,2,2,1,4,New_Visitor,False,True
7.611961,276.4341,3.717815,467.0579,86.34863,3653.755,0.0047821584,0.017145537,11.795226,0.0012713174,Nov,2,2,1,2,New_Visitor,False,True
2.0308425,71.526726,0.2040232,7.3257847,26.351074,1075.5881,0.004651695,0.019074233,23.859898,0.00082267326,Nov,1,1,3,2,New_Visitor,False,True
3.2442415,93.14751,0.5836079,22.905315,48.14602,1857.8395,0.0049904357,0.019131707,17.852705,0.0002555276,Nov,2,2,1,10,New_Visitor,False,True
1.9605418,65.69348,0.50684303,25.62578,19.299463,744.84784,0.0037034971,0.01804711,37.56519,0.0013214449,Oct,1,2,1,4,New_Visitor,False,True
2.722208,87.3842,0.1708128,2.3865852,25.033455,1118.2423,0.0023565365,0.019910673,18.978434,0.001228823,Nov,2,2,1,8,New_Visitor,False,True
1.2321429,43.496796,0.34228808,18.837965,33.226673,1127.7689,0.0008724049,0.010302688,181.10286,0.00021327907,Nov,2,2,1,2,New_Visitor,False,True
2.5566952,87.72997,0.23019655,7.230343,38.526573,1598.8384,0.0030893327,0.017300451,24.749788,0.0012908416,Nov,2,5,3,2,New_Visitor,False,True
