Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.1753514,73.825745,0.18671314,0.76908296,16.583689,558.2435,0.008324206,0.029971031,0.31037065,-0.0010913102,Mar,3,2,1,1,New_Visitor,False,False
0.6569879,16.481373,0.11757425,0.32386202,24.457226,684.9476,0.016413359,0.047146954,0.16484852,0.63044953,May,2,2,1,3,New_Visitor,False,False
8.044402,322.11517,0.5462553,14.627594,37.84636,1266.3909,0.0057845036,0.018788699,2.511727,-0.0012302486,Mar,2,2,1,2,New_Visitor,False,False
2.290523,68.228134,0.1714467,0.9417018,19.44953,631.0443,0.0024594923,0.018662455,0.5361602,0.00042692074,Dec,2,2,3,2,New_Visitor,False,False
1.1463983,30.40081,0.14210613,1.0095652,17.271812,637.02795,0.0030457003,0.026865987,0.6062576,-0.001215571,Mar,2,2,1,2,New_Visitor,False,False
1.7405993,39.97261,0.27611956,0.9648227,26.095642,904.14813,0.0062887664,0.027061924,1.0999563,0.0111644855,May,2,2,1,4,New_Visitor,False,False
1.2330321,36.505444,0.14221112,0.50926393,24.39822,855.8857,0.0066303774,0.03239869,0.8882081,-0.0008097303,Nov,2,2,1,3,New_Visitor,False,False
1.101723,34.360954,0.23309131,1.0047206,23.607372,929.51654,0.010998868,0.03690989,0.85678214,0.003828867,Dec,2,2,6,1,New_Visitor,False,False
1.0102767,45.22547,0.085450925,0.5662517,19.603897,732.153,0.013339609,0.04435965,0.47196934,0.0030937667,Mar,1,1,1,1,New_Visitor,False,False
8.734706,275.81033,7.161876,594.53015,162.58713,7413.0537,0.006412163,0.020397581,2.9498756,0.026575828,Nov,2,2,1,2,New_Visitor,False,False
9.471558,294.55045,3.4170935,206.78825,87.21171,3298.117,0.0073850504,0.020589437,5.3785048,-0.0014810128,Nov,2,2,3,2,New_Visitor,False,False
1.4878026,55.491474,0.20579661,0.8726978,17.32171,596.54694,0.011153363,0.03999241,0.42700216,0.0021083269,Nov,1,1,3,3,New_Visitor,False,False
1.6393553,47.91092,0.24194591,9.105936,29.529171,1078.215,0.0083922995,0.03193265,1.3368547,0.004107988,May,2,2,3,6,New_Visitor,False,False
0.041600592,7.4597926,0.0016258139,-0.15247925,2.7891297,58.75581,0.1816447,0.18750234,0.01113721,-0.0014955042,Nov,3,2,1,3,New_Visitor,False,False
0.69335794,20.173607,0.059673436,0.19069855,19.741053,735.48755,0.012513347,0.039733607,0.900305,0.0019251505,Dec,2,2,1,1,New_Visitor,False,False
2.7672133,70.50166,2.9005663,655.95715,45.26918,1926.8773,0.00575971,0.024083126,5.1815658,-0.001967111,Nov,2,2,1,2,New_Visitor,False,False
6.0888066,171.49344,0.3164889,1.2436236,40.712578,1474.4537,0.0034749096,0.01846949,19.383757,0.0043419213,May,2,2,1,2,New_Visitor,False,False
2.093068,67.47665,0.29509965,2.2020054,20.595188,755.5826,0.0032685248,0.023786452,0.8994414,-0.0011720372,Nov,2,2,8,2,New_Visitor,False,False
1.8889443,68.056015,0.46335503,8.775778,28.815136,1007.8184,0.010187645,0.030287871,1.1792328,0.005822933,May,2,2,1,6,New_Visitor,False,False
