Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.9372903,2.2723918,-0.03160342,0.9508075,15.860775,389.52814,-0.0005092289,0.0017173837,69.70395,0.0001058268,Nov,1,12,1,15,Other,False,False
0.9373672,3.0157695,-0.023730122,0.48361772,163.2881,5800.4146,0.0031014082,0.0089092245,52.318577,9.050096e-05,Nov,2,2,1,1,Other,False,False
1.9528307,17.593582,-0.018420301,0.658781,25.178417,295.29254,-0.00038483398,0.008213817,77.77813,0.00016530478,Nov,2,2,7,2,New_Visitor,False,False
4.9820514,142.794,0.99967355,16.831478,183.80408,3596.0872,-0.00021758523,0.0037072885,137.96991,-1.3259553e-05,Oct,2,2,3,15,Other,False,False
3.9822772,43.331974,1.986197,40.24136,30.05346,1017.8032,4.6265908e-05,0.0069269342,40.60243,0.00034110123,Nov,2,2,4,2,New_Visitor,False,False
1.9412649,6.528793,-0.0128654465,0.5448856,26.075386,628.74207,6.325209e-06,0.009330369,35.974823,0.0003132845,Nov,2,2,4,15,Other,False,False
2.9566514,29.036987,-0.017943941,0.63268846,15.365976,298.43323,-0.00039168293,0.0011909108,55.97688,0.00017086664,Dec,2,4,1,2,New_Visitor,False,False
1.9779195,13.480468,-0.016826414,0.96470064,2.8068604,284.14917,-0.00023870949,0.040303793,50.058178,0.00035216534,Nov,2,2,5,5,New_Visitor,False,False
3.9976628,39.31864,-0.017902218,0.6406383,66.04088,2554.1365,-0.00029646637,0.016028946,62.37586,0.00010948504,Nov,4,1,2,2,Other,False,False
-0.035195224,-1.6635747,-0.010299884,0.5399646,16.312336,683.27466,0.00014053624,0.005786444,29.460157,0.00039178008,Nov,3,2,3,2,New_Visitor,False,False
1.9591627,20.791931,-0.01622095,0.6109943,4.8902535,76.026566,-0.00018313933,0.00982904,32.799686,0.00032320493,Nov,2,4,4,5,New_Visitor,False,False
-0.0009418654,-1.9749913,2.956591,62.196945,24.067263,687.5353,0.015033259,0.038556553,72.1622,0.00054633495,Nov,1,1,8,10,Other,False,False
1.9599789,33.101612,-0.012166522,0.3981914,2.921206,48.71272,-0.0001967739,0.0015262875,55.850716,0.00039863834,Dec,1,1,3,2,New_Visitor,False,False
5.979155,201.57095,-0.016987346,0.37390703,83.988976,3661.653,0.0062679066,0.016646223,66.72073,0.000114849456,Nov,2,2,4,2,Other,False,False
1.9347998,17.524578,-0.01677259,0.49512666,85.21786,2858.5876,0.004551913,0.012968619,37.379498,0.0001636284,Nov,2,2,1,1,Other,False,False
-0.0826863,-3.6482167,-0.022582076,0.3100261,68.76864,1236.2815,0.0019860712,0.014145982,64.506325,-6.426623e-05,Nov,4,1,1,1,Other,False,False
