Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.004616,24.96672,3.0016203,50.081745,59.511707,4139.2188,0.013884658,0.03255915,5.934902,0.40618002,May,2,2,4,13,Other,False,False
16.780844,2631.3608,23.997576,2041.0677,703.98236,43276.23,0.008714571,0.012590009,-0.46811178,0.005078128,May,2,2,1,14,Other,False,False
26.61217,851.7156,1.9278759,121.552795,586.50024,24978.95,0.001262793,0.010179202,5.099184,0.0012866767,Nov,2,4,3,8,Other,False,False
10.118382,2427.5093,2.989784,436.33423,482.72974,22992.957,0.0011601407,0.011257975,0.51710194,0.0023277279,Jul,2,2,1,3,Other,False,False
25.52023,1573.7504,8.976781,498.497,184.00882,9492.312,0.010752337,0.013251114,20.166515,-0.0015509365,Nov,3,2,2,13,Other,False,True
11.94778,240.70987,4.001516,1510.4769,439.7496,21793.969,0.004285,0.011889054,12.019289,0.005544404,Nov,2,2,1,13,Other,False,False
4.8552923,109.432205,6.0237274,1193.8279,227.49287,9653.53,0.0050354986,0.014730343,3.1642501,0.002675275,Nov,2,2,1,2,Other,False,False
3.98953,45.573612,0.008904435,0.12051956,181.81653,9943.447,0.0039915643,0.02139482,8.47191,0.0016171472,Nov,2,2,1,2,Other,False,True
10.02037,252.8696,2.0059114,504.76636,14.253302,237.45485,0.00042723646,0.02046578,29.745258,-8.607408e-05,May,2,4,4,2,Other,False,True
19.065079,908.8179,1.994077,36.223377,28.110819,1136.0527,0.00020497445,0.019032076,16.52888,-0.0015912665,Nov,2,5,1,5,Other,False,False
10.201375,1246.1625,7.0745225,252.39658,415.97543,23606.635,0.010434236,0.027527945,0.7594401,0.0026389833,Nov,2,2,4,13,Other,False,False
3.9532828,68.02841,6.017691,1029.306,102.94145,8117.0146,0.004311658,0.016977184,5.80361,0.0011360036,Nov,1,1,4,2,Other,False,True
2.0135965,997.7527,5.0764966,808.8057,28.07322,1797.3695,0.0064544226,0.015099629,9.387647,0.0010870049,Nov,2,2,1,10,Other,False,True
11.954298,186.85838,0.9968575,11.685074,159.58725,6151.655,0.011450457,0.031231664,18.511196,0.0004207703,June,2,4,3,2,Other,False,False
4.961932,825.7716,-0.007148824,0.7350406,33.156895,770.3754,0.0006564405,0.0050436063,20.669344,-0.00039792559,Mar,2,4,3,10,New_Visitor,False,True
-0.0067714383,1.0434413,0.0036414643,0.7571086,25.88865,1099.9465,0.015592644,0.025987457,26.209852,0.0006613421,Nov,3,2,3,17,Other,False,False
8.999996,245.21239,0.0026488681,-0.28412443,243.30328,5618.4277,0.000102195554,0.0016729448,20.501629,0.0009652811,Oct,2,5,4,4,Other,False,True
5.97937,111.20674,8.003036,225.15877,113.613594,3482.707,0.0018267907,0.009425542,5.604935,0.00013583028,Nov,2,2,3,8,Other,False,True
1.0404571,32.564922,0.0065254946,-0.9470845,324.43723,14201.044,0.0021949334,0.010482027,4.257477,0.0030718434,Nov,2,2,3,1,Other,False,True
4.0005965,38.122242,2.9983032,908.7073,23.170855,508.0594,0.00024837596,0.014047454,25.261135,0.59819597,May,2,6,1,2,Other,False,True
0.98624754,116.725296,1.003038,170.98152,35.958027,2543.1138,0.043068293,0.059227616,33.428753,0.00056470063,May,2,2,7,1,Other,False,False
-0.034891717,-0.2287145,0.0024132808,-0.06126602,2.6920877,273.1516,0.00018586185,0.04935596,32.99876,0.00031954297,Oct,3,2,2,2,New_Visitor,False,True
12.00712,1106.7625,9.021316,624.51935,123.8589,7302.9663,0.00809357,0.021693401,6.999566,0.00031968454,Nov,3,2,4,2,Other,False,True
16.018417,286.22507,0.00906352,-1.2285863,280.59543,4773.3203,0.001169657,0.0077021634,27.904026,0.001562758,May,4,1,3,1,Other,False,True
9.016098,210.75731,3.0382123,144.6827,167.2979,8170.9927,0.0071577462,0.021729976,2.7176938,0.0005470763,Nov,1,1,1,10,Other,False,True
2.0093126,18.94386,4.0075545,356.897,57.52531,1180.4513,0.015768258,0.026868535,13.98271,9.303043e-05,Nov,1,1,1,10,Other,False,True
10.941213,552.44366,0.00803373,-0.67763335,34.276966,1448.8257,0.0075075724,0.024911873,10.869333,0.0004588651,Nov,1,1,3,8,New_Visitor,False,True
2.976628,61.320217,7.026351,380.44818,101.527534,3034.1794,0.014521034,0.019228013,11.395672,0.00047335276,Oct,3,2,1,2,Other,False,False
9.972828,578.985,-0.004407845,-0.5282994,21.961657,531.9463,0.0004031599,0.004878237,25.29787,-0.00075116876,Oct,2,2,3,2,New_Visitor,False,False
12.079773,233.70085,-0.003049038,-2.518858,438.728,17741.002,0.005355626,0.019126916,2.4028788,0.0027065526,Nov,2,5,1,10,Other,False,True
4.0026975,61.329777,0.0003694076,0.38045686,6.9843183,194.0074,0.00055914524,0.032979432,30.722185,0.00044824803,Oct,2,2,3,3,Other,False,False
7.0112,114.34778,2.0017774,37.185055,92.07178,4058.305,0.002001738,0.013439228,18.284658,-0.00023045889,Nov,2,6,6,13,Other,False,False
10.97553,738.0345,-0.0046204547,0.5784702,66.77071,3507.1665,0.0030433943,0.011512793,22.3941,-0.0003175748,Aug,2,2,1,4,Other,False,False
0.9878365,60.00451,0.0043866714,-0.48850065,23.234753,903.4634,0.0003648248,0.008600849,23.382687,0.00047238046,Dec,4,5,1,8,New_Visitor,False,True
-0.023024432,-0.56411034,0.9995683,162.4759,12.350309,821.90063,0.016831279,0.019746682,34.486107,0.7996614,May,3,2,8,4,Other,False,True
0.0045889686,1.4051661,-0.003260396,0.45507234,54.126972,931.0527,0.00036944976,0.00337861,26.789368,0.001018318,Aug,4,5,1,1,Other,False,True
4.0114765,110.77939,0.0052014072,0.687128,22.959175,403.53998,0.052506242,0.07216061,31.717827,0.00035704547,Oct,1,1,3,2,Other,False,True
5.9819117,90.91102,0.99473023,31.401134,81.279526,1129.4891,0.0019821113,0.0051623164,28.056824,0.00041079396,May,4,2,6,3,Other,False,False
2.9907634,155.46228,0.007809617,0.49777025,7.8923135,407.727,0.00029958753,0.035100613,27.88547,0.00037139156,Jul,1,1,4,4,Other,False,True
0.9721432,0.21601817,0.003943302,-0.2205754,23.913918,980.98157,0.00048632702,0.00843713,17.629618,0.00074800727,Nov,2,2,4,2,New_Visitor,False,True
5.9898477,65.097115,2.002613,240.69328,19.300497,676.4228,0.0002938599,0.011103033,28.347216,1.0012175,May,2,2,1,2,Other,False,True
14.002809,515.98883,4.0153933,210.60867,61.360126,2357.1824,0.0058006453,0.02468602,27.768633,-0.0012684626,Oct,1,1,3,1,Other,False,False
13.022649,652.16693,8.027266,601.4431,160.10338,5365.551,0.0016053315,0.0012970257,17.30994,-0.0006256488,Mar,2,2,1,2,Other,False,True
8.977686,253.75172,2.0088086,94.65641,22.024353,617.98956,0.015506307,0.02583345,22.540564,-0.00014640143,Nov,3,2,4,2,Other,False,True
-0.022716872,2.174377,0.013249226,0.1257724,21.500603,1061.7651,0.00012495708,0.009813971,14.272801,0.0006941172,Nov,1,8,2,6,New_Visitor,False,True
0.9812697,58.098675,0.003362008,-0.6634694,16.166498,530.35657,0.00041707573,0.012235911,15.075688,0.0004028144,Nov,2,4,3,8,New_Visitor,False,True
4.987084,145.01715,2.004591,349.10635,33.023808,2145.4363,0.01317352,0.04459319,16.50334,-3.627067e-05,Nov,2,2,7,1,Other,False,True
10.00815,666.3026,3.032392,17.816673,26.247618,1502.5332,0.021491831,0.028500794,20.647087,-0.0013352571,Nov,3,2,1,17,Other,False,False
-0.018928163,2.3079448,0.0063842316,0.91559786,29.238125,1120.4991,0.00028721956,0.0070729395,22.537361,0.00073803467,May,1,8,1,11,Other,False,True
2.0094256,170.0213,1.998852,835.1649,117.8719,5300.637,0.0040856837,0.013656565,3.004905,0.0011936935,Nov,3,2,5,8,Other,False,True
14.240503,2141.664,-0.011149131,0.6640186,53.831154,4158.4717,0.008751998,0.016946528,9.05443,-0.00022566071,Nov,3,2,2,2,Other,False,False
0.011279233,2.6446147,0.009634502,0.33913225,74.08383,2765.0876,0.005329668,0.021232959,27.918516,0.0010323996,May,2,5,3,6,Other,False,False
1.992572,567.46814,-0.0045742015,0.84497637,10.690546,565.35254,0.00046129493,0.015173909,33.781723,0.40418828,May,1,1,8,2,Other,False,True
1.9950874,17.810452,0.0045986553,0.5622806,20.578632,1410.1393,0.012983249,0.04423415,32.651184,0.00039423877,Mar,3,3,1,10,Other,False,False
-0.02462136,1.244247,0.008738406,0.70733446,18.30319,1857.1497,0.0003240068,0.023712894,28.722595,0.00080446404,May,3,7,3,4,Other,False,False
3.9751606,40.5749,0.005355664,0.7446727,114.84825,2551.3394,0.0036998072,0.007127377,13.169181,0.0012997898,Nov,2,2,4,10,Other,False,True
0.99275553,37.24826,0.9907287,74.608894,96.90045,7728.927,0.00037977067,0.012254595,15.414588,0.0012022207,Dec,2,10,4,2,Other,False,False
10.99567,332.74164,0.0005823154,-1.2118093,20.645323,597.29175,0.00031984193,0.0075509166,26.662573,0.19802691,May,2,10,1,5,New_Visitor,False,True
