Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
4.0852594,121.69289,1.0310122,3.7303028,61.801083,2931.2126,0.0047473456,0.017658323,24.799839,0.00048799688,Nov,3,2,1,2,Other,False,True
11.81055,247.81808,3.9496748,1518.473,435.13187,21857.543,0.003016168,0.010924189,11.318306,0.0015600981,Nov,2,2,1,13,Other,False,False
26.107548,829.2421,1.8235672,122.84757,611.6702,24678.072,0.002241343,0.007962453,3.917088,0.0021747376,Nov,2,4,3,8,Other,False,False
11.036999,573.73047,0.002652951,-1.1585904,38.932465,1724.8473,0.0060161906,0.01986732,22.46085,0.0011108728,Nov,2,2,1,2,Other,False,True
0.9271555,32.118713,0.0074411114,-0.43962675,323.4788,14245.456,0.0017088108,0.009564674,4.087576,0.00011667485,Nov,2,2,5,1,Other,False,True
7.0827756,65.79134,1.9780995,737.1722,99.79623,4755.5728,0.008047922,0.010350372,20.808128,0.00017770255,May,1,1,6,3,Other,False,True
9.041113,245.30789,3.0585756,1481.4606,79.28385,3548.5095,0.0028628053,0.012025532,32.268677,0.00148519,Dec,2,2,2,2,Other,False,False
5.002179,46.24452,1.0551671,112.02456,397.00046,14513.263,0.0053477804,0.020200955,3.0286226,0.0003666977,Nov,2,2,4,1,Other,False,True
24.404552,1567.2526,8.815019,515.50696,187.32782,9846.305,0.009816769,0.013496167,19.916235,0.0023433443,Nov,3,2,2,13,Other,False,True
1.9751413,74.3572,-0.014713787,0.7804584,26.748884,2049.8289,-0.00011002492,0.012182281,8.649418,-0.00055793795,Nov,1,1,7,8,New_Visitor,False,True
-0.010395639,0.31251475,1.0023129,162.32127,12.337488,839.9903,0.016379979,0.020151628,34.49512,0.8044178,May,3,2,8,4,Other,False,True
1.9520689,166.94762,6.9584613,114.55287,233.79486,7949.2305,0.0014875099,0.01884839,8.9312105,0.0006503935,Nov,2,2,1,2,Other,False,True
0.9750873,55.672592,-0.01409968,0.6501598,23.661331,892.6966,-1.0809264e-05,0.008426721,23.25059,-0.0007237953,Dec,4,5,1,8,New_Visitor,False,True
3.0618384,137.77696,4.036474,217.41301,21.920298,955.5786,0.006459951,0.02794346,29.653835,0.20143534,May,2,2,3,2,New_Visitor,False,True
8.009275,190.47154,5.0060024,754.1982,22.663248,1305.6188,0.012643874,0.02011235,41.212578,0.0012857752,Dec,3,3,1,2,Other,False,False
-0.007085674,1.4123378,0.0006426353,0.35756105,5.5657964,288.47046,-0.00036877053,0.03349176,19.735815,-0.00074536476,Aug,1,1,4,2,New_Visitor,False,True
9.036385,243.75317,5.092307,345.17706,81.629105,5077.6123,-3.139708e-05,0.010308745,27.796389,0.0015289957,Dec,3,2,1,13,Other,False,True
1.0039402,55.18243,-0.0046721916,-0.18272598,16.148088,551.1795,-0.00017378513,0.012234137,14.995207,-0.00062279525,Nov,2,4,7,8,New_Visitor,False,True
7.0741906,114.25206,2.0031636,42.39611,91.82725,4094.746,0.0012611371,0.013260595,17.910318,0.00047715256,Nov,2,6,6,13,Other,False,False
11.047711,83.407814,0.023579247,-0.65643126,425.94012,10017.625,0.0019042004,0.010327454,0.8631317,1.0224459,May,2,2,1,7,Other,False,False
