Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.3148571,57.90867,0.0012631196,2.0387783,17.232159,688.9607,0.011140903,0.039412156,0.010278426,0.0012133109,Nov,2,6,1,3,New_Visitor,False,False
8.960499,330.9484,3.332799,286.68594,342.55966,13064.881,0.006343597,0.018154092,1.1804497,0.0026968892,Nov,2,2,1,2,Other,False,False
1.4973577,49.47713,0.0017386753,0.3831157,19.285755,694.79974,0.010168186,0.03547819,-0.012202062,0.0057213963,May,1,1,1,1,Other,False,False
3.5816505,105.11162,0.25915894,14.528025,90.38133,3826.3525,0.005698133,0.021430677,1.0100019,-0.00037317476,Nov,2,2,1,1,Other,False,False
2.120431,68.776924,0.16539453,18.139719,32.951317,1312.0043,0.014890912,0.03904221,0.4863145,0.78369105,May,3,2,3,13,Other,False,False
1.7139748,54.689125,0.0022491594,12.818018,22.856647,960.0149,0.006236981,0.030217418,0.40332863,0.0020599354,Nov,2,2,1,6,Other,False,False
2.0042222,76.68117,-0.0011324506,0.43372148,18.021082,663.07104,0.010393571,0.028969511,-0.009714879,-2.3586057e-05,Nov,3,2,1,2,New_Visitor,False,False
0.08199967,1.3698802,-0.0001144331,0.07987778,2.6801972,36.210644,0.17824759,0.18661286,0.0337412,0.030012453,May,1,1,1,3,Other,False,False
1.1880696,43.953323,0.00095520203,0.037912294,15.259869,593.81305,0.019984594,0.04478402,0.013468944,0.003595716,May,3,2,1,1,Other,False,False
1.530945,43.163696,0.0020100255,0.20377533,23.593962,925.57874,0.0069667627,0.031725388,0.25909397,0.0016552458,May,2,2,5,4,Other,False,False
8.445177,480.14307,0.17787822,14.997391,40.853115,1758.8661,0.006336072,0.020308433,2.1142442,0.00070164603,Nov,2,2,1,2,Other,False,False
1.7178518,44.338776,0.0020127674,0.35629457,21.845598,742.4835,0.0108133955,0.038175013,0.036823474,-0.0007539255,Jul,2,2,3,1,Other,False,False
4.4024525,178.28996,2.266144,106.40226,54.283997,2213.4336,0.010985005,0.023918368,1.547734,0.0007099609,Nov,3,2,1,13,Other,False,False
