Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.0056314,63.709785,1.0230743,74.05146,18.054272,404.54553,0.016431337,0.037273306,12.243378,1.7678984e-05,Nov,3,2,3,2,Other,False,False
17.82055,2599.3044,23.93359,2060.7493,718.59985,42774.16,0.004245681,0.01563208,0.53818434,0.0031975086,May,2,2,1,14,New_Visitor,False,False
20.668365,201.01384,7.0734897,293.48898,649.0543,23241.47,0.009416574,0.02210378,-0.4868572,0.001857544,Aug,2,2,1,1,Other,False,False
3.9966311,155.1875,-0.008859895,-0.39515883,62.026474,4350.654,0.00022267144,0.0012543749,244.0545,0.0007995541,Oct,4,1,8,2,New_Visitor,False,False
7.9662857,119.119225,9.2451515,2211.5571,18.552336,1188.3353,0.009060019,0.011117968,0.08450385,0.0009029719,Jul,3,2,4,2,Other,False,False
3.0193026,270.5206,1.0535161,1779.5289,362.67715,13253.846,0.0027878133,0.008575718,-0.2810867,0.0016895185,May,2,2,1,19,Other,False,False
15.060553,2689.5354,13.080842,1954.2189,337.3611,29940.38,0.003870921,0.028855106,0.5609185,0.0027088474,Dec,2,2,1,2,New_Visitor,False,False
7.2104096,2579.6348,3.1026027,355.74048,69.08785,6101.2285,0.033706564,0.037305687,0.4444563,0.002071942,Jul,3,2,1,13,Other,False,False
22.259119,1139.4276,2.9015923,103.30153,208.11221,4300.285,0.002240041,0.00800348,178.66368,0.0025184888,Nov,2,5,3,3,Other,False,False
7.9804506,160.96027,0.01594577,-0.6156331,501.98914,11974.465,0.00016227331,0.0040960377,-0.26819542,0.0013467694,Oct,4,2,3,2,Other,False,False
10.822592,376.0424,8.976083,325.68182,190.00174,3718.2283,0.008484964,0.024264613,0.08578845,0.0013082909,Aug,2,2,6,1,Other,False,False
0.8996309,90.08068,-0.0049940567,0.36153215,117.02819,13098.397,0.006221972,0.042421382,-0.022424497,0.00056302425,May,2,6,4,4,Other,False,False
3.9870813,119.96725,6.0131593,102.30732,110.132866,2726.2886,0.004834268,0.0059356755,118.0764,0.00027325252,May,1,1,2,3,Other,False,False
4.9804277,1655.8352,0.019506343,-1.1438123,16.420868,509.65942,0.00045080823,0.0067698946,0.27888557,-5.2315496e-05,Dec,1,8,7,7,Other,False,False
-0.058448665,1.1254878,3.9314067,224.69121,222.60234,9666.651,0.053537354,0.067117736,-0.3778551,0.0009126502,June,7,8,5,5,Other,False,False
14.869339,151.69897,1.9710547,1528.6458,23.51288,2131.6406,0.0048516556,0.020154824,16.241774,0.00088810426,Oct,2,2,2,7,Other,False,False
-0.05996,3.3824916,15.355611,1214.3567,5.4374623,344.23944,0.0024855898,0.011971188,0.2756054,-0.00049960363,Mar,2,2,1,8,Other,False,False
-0.021773927,-0.25608876,-0.0033095102,-0.6705418,8.46385,9.981762,0.19977061,0.20002717,-0.034556188,0.7947459,May,2,2,4,13,New_Visitor,False,False
7.077206,743.47253,4.066087,909.565,343.20767,11863.73,0.0044414154,0.015573575,-0.036089696,0.0013362715,Nov,1,2,1,2,Other,False,False
0.041342624,-2.909348,0.008290298,-1.0869008,20.310747,462.3427,0.0020559726,0.006493821,-0.23247986,1.0061865,May,1,8,1,19,New_Visitor,False,False
22.670052,240.12466,2.9112453,617.4025,412.609,9219.516,0.004109114,0.015512922,6.1734085,0.0023918774,Jul,2,2,1,13,Other,False,False
6.0067782,279.03528,2.049626,891.669,23.659948,1472.8875,-0.0002727102,0.003962896,0.008406363,0.000960509,May,2,4,4,2,New_Visitor,False,False
4.035352,46.726414,0.00241942,0.20564453,2.5591016,51.067944,-0.00022105534,0.008169818,0.12524243,-0.00061251345,Mar,2,6,6,7,New_Visitor,False,False
