Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
4.2688613,163.6294,0.0037412723,-1.558405,60.177574,4541.751,0.0005770527,0.0027141224,243.01953,-0.0078102215,Oct,4,1,8,2,New_Visitor,False,False
2.1114254,127.54912,0.0011409301,-0.94642454,20.247595,954.9196,0.010016501,0.016720021,219.77394,-0.005993092,Dec,1,1,3,2,Other,False,False
0.99115694,4.3070064,-0.0033456902,-0.40310103,163.82445,5771.755,0.003467867,0.009323283,52.846592,-0.0006166932,Nov,2,2,1,1,Other,False,False
2.0836253,65.10045,-0.0005914193,-0.29698378,13.579786,465.47876,-0.00020827014,0.0060534244,166.644,-0.0024867442,June,1,1,1,5,New_Visitor,False,False
5.1003685,145.23134,1.0125699,18.72024,181.18915,3619.4116,0.0006366257,0.004100333,139.67935,-0.0030132544,Oct,2,2,3,5,Other,False,False
12.014399,431.39255,13.725924,617.76306,84.94986,3700.3022,0.0010821909,0.008560377,33.748806,0.00090820965,Nov,3,2,1,2,Other,False,False
21.833906,1169.2585,3.0915911,106.53126,206.0038,4354.497,0.0026873888,0.007188658,178.80504,-0.005621293,Nov,2,5,3,3,Other,False,False
1.0564137,6.9751353,-0.0010465902,0.94015306,14.656967,389.0727,0.000817699,0.002500164,68.83225,0.0002607579,Nov,6,12,4,5,Other,False,False
3.99239,46.229282,2.0081995,43.587677,30.263317,1013.3513,0.00010888804,0.0060515953,40.46276,-0.0019520161,Nov,2,2,4,2,New_Visitor,False,False
2.0327141,24.035183,-0.0019980292,-0.0062542707,5.21374,46.654125,0.00014579635,0.009757771,32.928455,0.0006532657,Nov,2,4,4,5,New_Visitor,False,False
4.011546,45.01694,-0.002361558,0.45447344,65.650055,2531.2317,0.00033797478,0.01586114,61.700184,0.0007010537,Nov,4,1,2,2,Other,False,False
6.033037,87.16997,2.0036669,159.9615,40.930454,1122.9636,0.004580689,0.011757544,27.146519,-0.00032075992,Nov,2,2,4,8,New_Visitor,False,False
2.0002644,17.563385,-0.0035810093,-0.57680327,85.20549,2854.57,0.0047477274,0.013302003,37.263374,-0.0006479484,Nov,2,2,1,1,Other,False,False
2.0398855,10.88922,-0.0005209666,0.8674602,24.986012,629.9976,0.00066039676,0.009502879,35.871204,-0.00047238296,Nov,2,2,4,5,Other,False,False
-0.03673636,-0.13614705,-0.0021495442,-0.36089903,15.981425,668.3639,8.433465e-05,0.0050254157,29.545675,0.00010974953,Nov,3,2,3,2,New_Visitor,False,False
2.025545,15.697059,-0.0024471502,-0.118108824,2.3433442,262.0882,7.159043e-05,0.040152248,49.87675,-0.0014484538,Nov,2,2,5,5,New_Visitor,False,False
2.0228217,20.31807,-0.0026633958,-0.17712219,24.459957,274.45294,-9.486858e-05,0.007420744,77.22467,-0.0025466916,Nov,2,2,7,2,New_Visitor,False,False
3.017233,33.197067,-0.0027686576,-0.25341612,15.489244,279.56567,-0.00015816126,0.0005963322,55.73333,-0.0017099468,Jul,2,4,1,2,New_Visitor,False,False
10.092756,304.41113,-0.0019387823,0.2016391,81.50436,1760.9763,-1.0676296e-06,0.0022925388,16.626043,0.00072333094,Nov,1,1,1,8,New_Visitor,False,False
2.0389335,37.988346,-0.002503417,-0.14463241,2.8584657,10.68977,2.7481132e-05,0.0005278241,55.809357,-0.00057693693,Jul,1,1,3,2,New_Visitor,False,False
1.0056566,38.50485,1.9600934,1413.9366,54.231964,1561.8799,0.0064635514,0.021453928,28.776308,-0.00069977465,Nov,2,2,1,8,Other,False,False
12.989826,301.2992,0.9896247,13.637728,54.752773,3314.3071,0.0080410605,0.01361861,38.35443,-0.00037761903,Nov,1,1,1,2,Other,False,False
-0.011119716,1.0085673,-0.0029241065,0.024835512,6.547829,280.742,0.024351051,0.049803596,55.324764,-0.0015260665,Nov,2,2,1,8,Other,False,False
7.001634,319.24283,3.9934106,215.53859,35.334568,895.3032,0.00043620696,0.009854133,40.946594,0.000864553,Jul,2,4,3,5,New_Visitor,False,False
7.9535484,198.32379,6.0168386,133.68138,33.896935,1369.51,0.005268981,0.018509176,34.211975,0.00035177046,Nov,3,2,1,11,Other,False,False
3.037668,229.25655,-0.0018304806,-0.075376585,6.994059,366.3769,0.00038511274,0.0072962,35.74257,0.0018712605,Nov,1,1,3,5,Other,False,False
6.0249295,204.04228,-0.0014693957,0.31920046,83.82752,3646.1345,0.0068272143,0.016839819,66.53236,-0.0014964727,Nov,2,2,4,2,Other,False,False
6.063151,142.37494,-0.0016357523,0.20878021,31.794313,2274.6707,0.0006316133,0.0008499723,61.492374,-4.1921936e-05,Nov,3,2,4,3,New_Visitor,False,False
2.9845574,93.162834,2.0146155,6.294277,23.020061,1361.638,0.008357079,0.02084878,32.12447,-0.0017582563,Nov,2,2,6,2,Other,False,False
0.00095618493,0.6282038,-0.001901887,0.18536179,67.66394,1221.005,0.0030431075,0.0142379,63.872555,0.00047869855,Nov,4,1,1,1,Other,False,False
5.983709,187.80768,4.9611335,110.404396,177.37129,10404.055,0.002425648,0.020955527,18.123375,0.0004295806,Nov,2,2,3,2,Other,False,False
