model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,13.786,0.028,0.716,0.69,0.761,0.75,0.817,4e-06,original,10,5,,,,
rf,random,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,16.877,0.36,0.77,0.718,0.774,0.759,0.851,1.1e-05,original,10,5,,,,
svc,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.979,0.002,0.658,0.628,0.706,0.687,0.409,4e-06,original,10,5,,,,
logreg,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,6.951,0.009,0.694,0.704,0.79,0.796,0.84,1.1e-05,original,10,5,,,,
mlp,random,0.7,0.693,0.693,0.7,0.367,0.367,0.367,0.367,7.2,0.79,0.748,0.725,0.79,0.782,0.844,1.7e-05,original,10,5,,,,
naive_bayes,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,6.719,0.002,0.632,0.608,0.692,0.674,0.697,1e-06,original,10,5,,,,
knn,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,7.336,0.001,0.573,0.576,0.724,0.766,0.76,2.9e-05,original,10,5,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.138,0.044,0.577,0.581,0.73,0.776,0.675,3e-06,original,10,5,670.735020160675,0,3.55531529484003e-07,0.001369476318359375
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,15.579,0.284,0.622,0.64,0.761,0.789,0.79,5e-06,original,10,5,670.735020160675,0,3.55531529484003e-07,0.001369476318359375
svc,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,6.994,0.001,0.773,0.718,0.773,0.757,0.845,3e-06,original,10,5,670.735020160675,0,3.55531529484003e-07,0.001369476318359375
logreg,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,5.233,0.006,0.786,0.745,0.8,0.789,0.861,8e-06,original,10,5,670.735020160675,0,3.55531529484003e-07,0.001369476318359375
