age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
18.740368,Private,113790.24,HS-grad,7.6575713,Never-married,Other-service,Own-child,White,Female,22.452742,0.98748976,18.89169,United-States,<=50K
22.637035,Private,113864.81,HS-grad,8.894219,Never-married,Sales,Own-child,White,Male,31.655622,1.7229635,39.740017,United-States,<=50K
32.37245,Private,91726.836,Some-college,10.235921,Never-married,Craft-repair,Not-in-family,White,Male,27.414167,1.2531606,41.87287,United-States,<=50K
30.98012,Private,235506.73,HS-grad,8.981509,Never-married,Machine-op-inspct,Unmarried,Black,Female,26.31993,0.18894394,39.51295,United-States,<=50K
23.780743,Private,238872.8,Some-college,10.073151,Never-married,Adm-clerical,Own-child,White,Female,14.247908,0.58611494,40.03958,United-States,<=50K
46.669704,Self-emp-not-inc,123286.62,HS-grad,8.949551,Married-civ-spouse,Craft-repair,Husband,White,Male,51.522564,1.2527791,44.763367,United-States,<=50K
45.327927,Private,126796.375,Bachelors,12.825009,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,34.072124,1.1545354,43.67136,United-States,<=50K
30.417036,Private,229120.56,HS-grad,8.942621,Married-civ-spouse,Transport-moving,Husband,White,Male,38.128277,0.58725935,42.981365,United-States,<=50K
37.637917,Private,125723.37,Some-college,10.160449,Married-civ-spouse,Sales,Husband,White,Male,38.530987,1.0910817,41.451546,United-States,<=50K
21.48753,Private,262581.66,Some-college,10.012216,Never-married,Other-service,Own-child,White,Male,18.863508,-0.0010432444,32.187504,United-States,<=50K
25.547459,Private,148597.02,Bachelors,12.881272,Never-married,Handlers-cleaners,Own-child,White,Male,25.607038,1.037943,39.862926,United-States,<=50K
27.36908,Private,110593.77,Bachelors,12.966693,Never-married,Prof-specialty,Not-in-family,White,Male,28.668806,1.1036931,41.101948,United-States,<=50K
39.23214,Private,206063.4,HS-grad,8.959675,Divorced,Craft-repair,Unmarried,White,Male,40.29881,1.1415426,40.675068,United-States,<=50K
61.591133,Private,171350.66,HS-grad,8.931298,Married-civ-spouse,Farming-fishing,Husband,White,Male,57.710064,1.6128713,19.938309,United-States,<=50K
31.808752,Private,782956.7,HS-grad,8.987022,Never-married,Craft-repair,Not-in-family,Black,Male,34.457012,-5.183752,38.675243,United-States,<=50K
25.600695,Private,255256.8,HS-grad,8.977017,Never-married,Sales,Not-in-family,White,Male,33.2523,1.0478841,39.975445,United-States,<=50K
35.199326,Private,145441.88,Some-college,10.0717745,Married-civ-spouse,Adm-clerical,Wife,White,Female,22.623762,0.85407454,37.99224,United-States,<=50K
27.083576,Private,121519.29,HS-grad,8.951889,Never-married,Craft-repair,Not-in-family,White,Male,29.677473,1.6610357,40.71861,United-States,<=50K
44.12292,Private,108146.75,HS-grad,8.983312,Divorced,Other-service,Not-in-family,White,Female,30.019636,0.9221211,39.97448,United-States,<=50K
45.21219,Private,123900.914,HS-grad,8.975498,Divorced,Adm-clerical,Unmarried,White,Female,29.90196,1.7921468,39.081722,United-States,<=50K
