age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
28.892906,Private,79806.914,HS-grad,8.851315,Never-married,Protective-serv,Not-in-family,White,Male,41.603374,2.0572453,39.534973,United-States,<=50K
42.76407,Private,149124.25,Some-college,10.290414,Divorced,Adm-clerical,Unmarried,White,Female,57.407085,-2.9988384,36.686573,United-States,<=50K
33.10341,Private,186688.08,Some-college,11.004236,Never-married,Craft-repair,Not-in-family,White,Male,37.92857,0.9850026,39.996822,United-States,<=50K
48.006283,Private,146994.55,HS-grad,9.020969,Married-civ-spouse,Farming-fishing,Wife,White,Female,44.775494,-4.9284954,34.15488,United-States,<=50K
37.362328,Self-emp-not-inc,142053.03,Bachelors,13.301459,Never-married,Prof-specialty,Not-in-family,White,Male,55.68211,-2.665121,40.97129,United-States,<=50K
39.391106,Private,153787.48,HS-grad,8.670304,Married-civ-spouse,Craft-repair,Husband,White,Male,48.80308,-1.6903514,42.31436,United-States,<=50K
47.430645,Federal-gov,145143.6,HS-grad,8.985845,Married-civ-spouse,?,Husband,White,Male,51.077007,-5.8694363,43.15063,United-States,<=50K
38.648125,Private,189100.89,HS-grad,8.801823,Divorced,Protective-serv,Not-in-family,White,Male,48.446636,-1.3212794,43.500736,United-States,<=50K
39.885292,Private,158757.47,Some-college,10.34417,Married-civ-spouse,Craft-repair,Husband,White,Male,54.284893,-0.59813493,44.760094,United-States,<=50K
38.386032,Private,169745.02,HS-grad,10.092814,Never-married,Machine-op-inspct,Husband,White,Male,39.51475,1757.6777,40.81906,United-States,<=50K
50.50309,Private,167319.45,7th-8th,4.6369853,Married-civ-spouse,Craft-repair,Husband,White,Male,38.937237,-5.080923,38.696983,United-States,<=50K
25.684952,Private,214184.2,HS-grad,8.746949,Never-married,Farming-fishing,Own-child,White,Female,8.609236,-1.5132731,35.51074,United-States,<=50K
41.9421,Private,165463.3,HS-grad,8.869684,Divorced,Adm-clerical,Unmarried,White,Female,40.323833,-3.7807598,38.15099,United-States,<=50K
22.83167,Private,210282.5,HS-grad,7.798101,Never-married,Protective-serv,Own-child,White,Male,4.7136054,2.3641071,32.97463,United-States,<=50K
39.988586,Private,195898.77,Some-college,10.349178,Divorced,Sales,Not-in-family,White,Male,45.54185,0.23356827,42.56417,United-States,<=50K
35.74866,Private,147201.64,12th,10.830029,Never-married,Adm-clerical,Husband,Asian-Pac-Islander,Male,60.978497,-2.2769375,38.931328,South,<=50K
35.29145,Private,182306.6,12th,10.325791,Never-married,Adm-clerical,Other-relative,White,Female,43.79539,-3.9647198,38.44453,England,<=50K
34.70694,Private,182357.14,HS-grad,8.410667,Never-married,Machine-op-inspct,Unmarried,White,Female,38.08543,-0.22571366,40.129143,United-States,<=50K
34.73054,Private,256383.92,Preschool,3.7741787,Married-civ-spouse,Protective-serv,Husband,White,Male,18.339582,-6.260969,40.029,Jamaica,<=50K
23.711967,Private,219537.94,Some-college,10.284776,Never-married,Adm-clerical,Own-child,White,Female,6.2746406,2.9845219,33.09621,United-States,<=50K
33.416584,Private,213841.28,Some-college,10.323376,Never-married,Adm-clerical,Unmarried,Black,Female,33.377056,2.8492985,37.960777,United-States,<=50K
32.340736,Private,248610.83,HS-grad,8.707944,Never-married,Protective-serv,Not-in-family,Black,Male,25.019026,3.3262653,37.318913,United-States,<=50K
40.18662,Private,160558.31,Bachelors,13.076034,Divorced,Prof-specialty,Unmarried,White,Female,53.821514,-4.117819,39.040264,United-States,<=50K
38.532475,Private,182236.66,HS-grad,8.522949,Married-civ-spouse,Craft-repair,Husband,White,Male,40.680157,-2.0218716,38.99824,France,<=50K
40.260742,Private,208015.14,HS-grad,9.105434,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,37.99986,-2.934332,43.49601,United-States,<=50K
50.6863,Private,173965.31,7th-8th,4.4765873,Separated,Other-service,Unmarried,White,Female,30.636213,-5.7680416,35.698868,United-States,<=50K
29.48887,Private,207147.0,Bachelors,12.924369,Never-married,Tech-support,Not-in-family,White,Female,23.639631,0.8791142,40.52611,United-States,<=50K
23.806265,?,168415.84,Some-college,10.140629,Never-married,?,Own-child,White,Male,9.642927,-0.31067458,32.455822,United-States,<=50K
43.14666,Private,159314.6,Bachelors,13.245842,Married-civ-spouse,Tech-support,Husband,White,Male,49.555157,-3.487463,42.31786,United-States,<=50K
