model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,14.606,0.036,0.716,0.69,0.761,0.75,0.817,2e-06,original,10,5,,,,
rf,random,0.85,0.84,0.84,0.85,0.3,0.32,0.32,0.3,19.556,0.431,0.764,0.702,0.756,0.738,0.841,1.2e-05,original,10,5,,,,
svc,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.871,0.002,0.658,0.628,0.706,0.687,0.293,2e-06,original,10,5,,,,
logreg,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,6.687,0.006,0.694,0.704,0.79,0.796,0.84,1.4e-05,original,10,5,,,,
mlp,random,0.7,0.693,0.693,0.7,0.367,0.367,0.367,0.367,6.36,0.962,0.748,0.724,0.79,0.781,0.845,9e-06,original,10,5,,,,
naive_bayes,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,5.193,0.001,0.632,0.608,0.692,0.674,0.697,1e-06,original,10,5,,,,
knn,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,7.137,0.001,0.573,0.576,0.724,0.766,0.76,3e-05,original,10,5,,,,
xgb,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.88,0.168,0.638,0.652,0.761,0.778,0.769,3e-06,original,10,5,1460.200623035431,595.4579117298126,4.948716413460305e-07,0.0019991397857666016
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,15.614,0.357,0.696,0.694,0.776,0.775,0.789,8e-06,original,10,5,1460.200623035431,595.4579117298126,4.948716413460305e-07,0.0019991397857666016
svc,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.138,0.002,0.747,0.676,0.73,0.708,0.367,4e-06,original,10,5,1460.200623035431,595.4579117298126,4.948716413460305e-07,0.0019991397857666016
