age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
29.970146,Private,164199.83,HS-grad,8.998525,Married-civ-spouse,Craft-repair,Husband,White,Male,16.972761,-0.16780655,40.06593,United-States,<=50K
89.53582,?,74785.75,HS-grad,9.003068,Widowed,?,Not-in-family,White,Female,4.1584296,4304.31,39.79279,United-States,<=50K
62.737526,Self-emp-not-inc,798856.5,1st-4th,2.1479533,Widowed,Other-service,Unmarried,White,Female,-102.33363,0.242014,29.8046,El-Salvador,<=50K
89.04515,?,222581.45,Some-college,10.034194,Never-married,?,Own-child,Asian-Pac-Islander,Male,-109.448746,-1.0995234,9.563056,South,<=50K
89.5887,Federal-gov,310560.53,Masters,14.030402,Divorced,Prof-specialty,Not-in-family,White,Male,21.546492,-0.449232,99.14677,United-States,<=50K
81.37989,Self-emp-not-inc,123261.56,Bachelors,12.946761,Widowed,Prof-specialty,Not-in-family,White,Female,-22.854876,1666.9335,2.846814,Hungary,<=50K
19.114796,?,350472.6,9th,4.972962,Never-married,?,Other-relative,White,Male,134.78032,1723.3475,34.991104,El-Salvador,<=50K
64.762245,Without-pay,24284.89,7th-8th,4.0541353,Widowed,Farming-fishing,Unmarried,White,Female,-76.15968,-0.3936595,49.736454,United-States,<=50K
74.946815,Private,68770.7,Preschool,1.1190223,Never-married,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Female,-59.174335,-1.0455607,47.712055,Philippines,<=50K
43.167408,Private,142958.03,5th-6th,2.9307468,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,52.49925,2130.7346,72.14335,?,<=50K
52.025158,?,115032.38,Prof-school,14.951092,Married-spouse-absent,?,Unmarried,Asian-Pac-Islander,Female,-18.363909,-0.50555986,39.95673,Vietnam,<=50K
38.02852,Private,150529.0,10th,5.995964,Separated,Adm-clerical,Unmarried,White,Male,36.024395,3817.3777,39.91739,United-States,<=50K
52.987103,Private,593548.06,Doctorate,15.970481,Never-married,Prof-specialty,Unmarried,White,Female,-0.06337204,1403.7593,39.976673,United-States,<=50K
27.002495,?,148206.06,Masters,14.0016,Never-married,?,Not-in-family,Other,Female,26.150618,-0.099584505,39.98489,Japan,<=50K
63.912235,State-gov,106513.57,1st-4th,1.9678153,Married-civ-spouse,Farming-fishing,Husband,Other,Male,-50.87868,-0.15994065,44.88263,Columbia,<=50K
26.896818,Private,212730.44,Preschool,0.8333824,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,41701.188,1.5851079,23.77917,Mexico,<=50K
58.051193,Self-emp-not-inc,218832.12,10th,6.005089,Separated,Sales,Other-relative,Other,Male,129.67192,0.24731643,39.97726,Cuba,<=50K
64.88423,Self-emp-not-inc,290737.53,Masters,14.039111,Married-civ-spouse,Farming-fishing,Husband,White,Male,41945.453,-3.5852032,49.92123,United-States,<=50K
22.989016,State-gov,1116325.2,Some-college,9.996821,Never-married,Protective-serv,Not-in-family,Black,Male,35.455914,0.010629729,30.090689,United-States,<=50K
25.12846,Private,210301.81,5th-6th,3.0356448,Divorced,Other-service,Unmarried,Other,Female,0.27879104,0.22104843,19.977888,Honduras,<=50K
