age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39.387745,Private,184519.28,10th,5.0593615,Never-married,Adm-clerical,Own-child,White,Male,-3.926165,0.30091295,35.36799,United-States,<=50K
34.514057,Private,190026.3,Bachelors,13.122036,Never-married,Adm-clerical,Not-in-family,White,Female,-5.7911553,-0.37569228,35.063713,United-States,<=50K
41.676655,Private,179182.67,HS-grad,9.16942,Married-AF-spouse,Other-service,Not-in-family,White,Female,-3.7879815,0.41044053,35.27393,United-States,<=50K
33.287548,Private,158453.17,Bachelors,10.860988,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,-4.235369,-0.0027598583,38.07046,United-States,<=50K
33.04117,Private,217490.69,HS-grad,9.047694,Never-married,Prof-specialty,Not-in-family,White,Male,-3.353167,0.36204728,40.339523,United-States,<=50K
37.63621,Private,201878.86,10th,5.8809,Never-married,Other-service,Own-child,White,Female,3.7306952,0.29245195,32.6607,United-States,<=50K
36.010345,Local-gov,190829.5,HS-grad,9.766316,Never-married,Adm-clerical,Own-child,White,Male,-3.4030938,0.16263779,37.414276,United-States,<=50K
35.969788,Private,187169.44,Bachelors,13.436668,Never-married,Prof-specialty,Not-in-family,White,Male,-7.2479424,-0.15727799,42.545807,United-States,<=50K
41.504055,Private,189812.73,HS-grad,9.326637,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.0174385,0.33683977,41.38635,United-States,<=50K
27.789974,Private,196502.88,11th,6.9930987,Never-married,Transport-moving,Own-child,White,Male,-3.589373,0.13903244,30.27849,United-States,<=50K
38.703228,Private,198347.03,HS-grad,9.598635,Separated,Adm-clerical,Not-in-family,White,Female,-3.5002618,0.23064621,40.04904,United-States,<=50K
39.634712,Private,189841.4,HS-grad,8.993901,Married-civ-spouse,Sales,Husband,White,Male,0.8971993,0.32600603,43.71746,United-States,<=50K
42.983864,Private,184036.83,Bachelors,13.547817,Married-civ-spouse,Prof-specialty,Husband,White,Male,13.565779,-0.06283371,43.55721,United-States,<=50K
35.89973,Private,186038.03,Bachelors,10.259837,Never-married,Exec-managerial,Not-in-family,White,Male,-2.5208917,1761.4939,39.343487,United-States,<=50K
39.712498,Private,177382.94,HS-grad,9.886581,Married-civ-spouse,Adm-clerical,Wife,White,Female,-5.7099786,0.37060747,36.225437,United-States,<=50K
42.896915,Local-gov,180954.67,HS-grad,9.615046,Married-civ-spouse,Craft-repair,Husband,White,Male,-0.06874313,0.25693712,44.05329,United-States,<=50K
56.707592,Private,179888.42,HS-grad,9.464914,Widowed,Adm-clerical,Not-in-family,White,Female,-4.252215,0.4114705,28.892923,United-States,<=50K
55.99749,Private,174267.72,HS-grad,9.910325,Married-civ-spouse,Exec-managerial,Husband,White,Male,12.131575,0.24405868,21.806368,United-States,<=50K
42.83185,Private,182789.95,HS-grad,8.944716,Married-civ-spouse,Other-service,Wife,White,Male,-0.90992963,0.51663405,37.875175,United-States,<=50K
