age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
28.52142,Private,185839.84,HS-grad,8.896781,Never-married,Exec-managerial,Not-in-family,White,Female,62.13151,-0.07078354,38.91806,United-States,<=50K
63.368923,Private,164661.58,Some-college,10.429701,Widowed,Exec-managerial,Not-in-family,White,Female,195.20476,-0.25356093,30.47115,United-States,<=50K
42.24873,Private,179614.53,Bachelors,13.015222,Divorced,Exec-managerial,Not-in-family,White,Male,219.14836,-0.009977265,43.00205,United-States,<=50K
39.78992,Private,180629.45,HS-grad,8.847598,Divorced,Machine-op-inspct,Unmarried,White,Female,106.60509,-0.14198105,40.346752,United-States,<=50K
22.102642,Private,192018.88,11th,6.4483523,Never-married,Handlers-cleaners,Own-child,White,Male,89.66875,0.43601426,30.14382,United-States,<=50K
22.064425,Private,195903.48,Some-college,10.118645,Never-married,Sales,Own-child,White,Female,44.942974,0.123582914,27.79579,United-States,<=50K
41.60815,Private,166828.44,HS-grad,8.978519,Divorced,Exec-managerial,Not-in-family,White,Male,100.26347,-0.156866,43.24901,United-States,<=50K
28.601376,Private,179174.58,Some-college,10.00002,Never-married,Exec-managerial,Not-in-family,White,Male,100.004135,-0.10253708,39.213367,United-States,<=50K
40.358543,Private,183132.95,HS-grad,8.933605,Divorced,Exec-managerial,Unmarried,White,Female,65.64763,-0.0690593,41.354996,United-States,<=50K
38.98213,Private,244959.83,HS-grad,8.981794,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,73.12096,-0.054082796,40.648117,United-States,<=50K
47.045143,Self-emp-not-inc,147655.86,12th,9.626763,Married-civ-spouse,Farming-fishing,Husband,White,Male,186.21935,-0.09452622,51.10628,United-States,<=50K
33.686287,Private,296077.56,1st-4th,3.742439,Married-civ-spouse,Prof-specialty,Husband,White,Male,91.556015,0.08121689,39.99679,Mexico,<=50K
30.749834,Private,178305.6,Bachelors,13.001224,Never-married,Exec-managerial,Not-in-family,White,Female,166.40129,0.05418594,40.155224,United-States,<=50K
33.895702,?,193941.89,12th,9.543315,Married-civ-spouse,?,Not-in-family,White,Female,111.9265,0.10135849,33.681953,United-States,<=50K
36.327835,Private,162462.14,HS-grad,8.982393,Married-civ-spouse,Prof-specialty,Husband,White,Male,218.78477,-0.0064219674,42.13772,United-States,<=50K
37.482666,Private,176148.36,HS-grad,8.971175,Married-civ-spouse,Transport-moving,Husband,White,Male,189.55101,0.04171951,45.935806,United-States,<=50K
39.54194,Private,173774.66,Bachelors,13.07755,Married-civ-spouse,Exec-managerial,Husband,White,Male,232.01701,0.45098314,45.55927,United-States,<=50K
64.652435,?,168743.95,7th-8th,4.659794,Married-civ-spouse,?,Not-in-family,White,Male,124.72209,-0.21713822,30.86235,United-States,<=50K
63.815975,Private,188967.27,7th-8th,4.368729,Widowed,Protective-serv,Not-in-family,White,Female,45.955303,-0.28138533,29.277262,United-States,<=50K
29.734974,Private,180088.38,HS-grad,8.925202,Never-married,Other-service,Not-in-family,White,Female,55.810406,-0.061811373,37.041325,United-States,<=50K
28.672695,Private,188520.84,Some-college,10.722317,Never-married,Adm-clerical,Not-in-family,White,Female,166.14201,-0.0059184274,38.003593,United-States,<=50K
61.84282,Private,162796.75,HS-grad,8.798553,Widowed,Other-service,Not-in-family,White,Female,61.142437,-0.1309642,30.860796,United-States,<=50K
23.189692,Private,179520.38,HS-grad,8.578628,Never-married,Other-service,Own-child,White,Male,42.35362,0.1488057,30.822376,United-States,<=50K
57.49785,Private,171004.36,HS-grad,9.051365,Divorced,Adm-clerical,Not-in-family,White,Female,78.16344,0.34142503,37.060127,United-States,<=50K
39.00172,Private,176606.92,Masters,13.464518,Married-civ-spouse,Prof-specialty,Husband,White,Male,210.00163,0.4721013,43.94806,United-States,<=50K
27.83403,Private,197252.69,HS-grad,8.969807,Never-married,Adm-clerical,Own-child,White,Female,111.89531,-0.056997225,38.180237,United-States,<=50K
62.077087,?,188923.56,12th,10.155198,Married-civ-spouse,?,Husband,White,Male,252.33043,-0.02177231,28.34623,United-States,<=50K
40.963047,Private,188992.25,Some-college,10.000883,Divorced,Exec-managerial,Not-in-family,White,Male,192.96104,-0.15974228,43.5823,United-States,<=50K
38.134434,Private,172991.38,Some-college,9.998722,Married-civ-spouse,Exec-managerial,Husband,White,Male,190.53917,0.11151321,44.670506,United-States,<=50K
26.905163,Private,190944.9,Some-college,10.009087,Never-married,Sales,Not-in-family,White,Male,83.92412,-0.03626053,37.330883,United-States,<=50K
35.016933,Private,168125.64,HS-grad,8.980417,Married-civ-spouse,Craft-repair,Husband,White,Male,195.08446,-0.034833834,42.942017,United-States,<=50K
39.259064,State-gov,176555.48,Masters,14.146706,Never-married,Exec-managerial,Not-in-family,White,Female,203.38646,0.054407194,42.537445,United-States,<=50K
30.78868,Private,191323.77,Bachelors,13.007436,Never-married,Exec-managerial,Not-in-family,White,Male,149.74211,0.027147368,41.54177,United-States,<=50K
21.651815,?,205799.2,9th,7.5574017,Never-married,?,Own-child,White,Male,71.527756,0.73514754,31.640217,United-States,<=50K
41.718235,Private,189701.47,11th,5.726214,Divorced,Other-service,Unmarried,White,Female,109.9243,0.06540878,37.30223,United-States,<=50K
44.601776,Private,182924.25,10th,5.9045362,Married-civ-spouse,Exec-managerial,Husband,White,Male,166.94487,-0.11008255,42.446842,United-States,<=50K
25.163954,Private,202126.55,Some-college,10.368371,Never-married,Adm-clerical,Own-child,White,Male,62.336468,-0.0039118966,34.326218,United-States,<=50K
43.740765,Private,184024.81,11th,5.634291,Married-civ-spouse,Transport-moving,Husband,White,Male,139.05742,-0.04762833,42.445827,United-States,<=50K
38.114735,Private,457335.7,HS-grad,9.044717,Married-civ-spouse,Craft-repair,Husband,White,Male,226.52007,-0.018964693,41.986755,United-States,<=50K
38.219154,Private,189718.92,HS-grad,9.088415,Divorced,Adm-clerical,Unmarried,White,Female,70.307846,-0.06347458,39.057842,United-States,<=50K
45.065006,Private,197637.5,11th,4.9344063,Married-civ-spouse,Prof-specialty,Husband,White,Male,15.8188305,1893.2046,41.255016,United-States,<=50K
36.02915,Private,193458.42,Assoc-acdm,12.411023,Never-married,Exec-managerial,Not-in-family,White,Female,164.66283,0.015871122,43.225777,United-States,<=50K
22.049286,?,179882.89,Some-college,10.292062,Never-married,?,Own-child,White,Male,73.75627,0.3890172,32.36811,United-States,<=50K
24.415354,Private,187759.25,Some-college,10.529573,Never-married,Adm-clerical,Own-child,White,Female,48.178448,0.14545639,30.929174,United-States,<=50K
29.806465,Private,185831.69,HS-grad,8.82844,Never-married,Craft-repair,Not-in-family,White,Male,127.25896,-0.16166489,43.873802,United-States,<=50K
27.187916,Private,194117.7,HS-grad,9.02378,Never-married,Craft-repair,Own-child,White,Male,51.52354,-0.120252535,39.608032,United-States,<=50K
19.552307,Private,188173.1,11th,6.8169713,Never-married,Sales,Own-child,White,Female,59.693584,0.7011357,23.642881,United-States,<=50K
61.407352,Self-emp-not-inc,163805.53,12th,10.549123,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,-6.3123956,1936.3037,38.298214,United-States,<=50K
29.242918,Private,191176.06,HS-grad,8.859121,Never-married,Machine-op-inspct,Not-in-family,White,Male,111.78392,-0.11034958,40.173946,United-States,<=50K
38.729588,Private,187348.83,12th,9.764401,Married-civ-spouse,Exec-managerial,Husband,White,Male,24.22325,1815.155,43.580677,United-States,<=50K
28.359896,Private,173279.64,12th,9.253047,Never-married,Farming-fishing,Own-child,White,Male,30.071272,0.019586638,43.28275,United-States,<=50K
63.115665,Private,168838.9,HS-grad,8.986002,Married-civ-spouse,Sales,Husband,White,Male,244.11845,-0.41119948,32.25414,United-States,<=50K
65.212975,Private,155782.69,7th-8th,4.397644,Married-civ-spouse,Prof-specialty,Husband,White,Male,159.56865,-0.34625044,33.70887,United-States,<=50K
44.69136,Private,168278.11,Bachelors,13.356448,Divorced,Exec-managerial,Unmarried,White,Female,276.87283,0.084512785,41.13035,United-States,<=50K
37.752983,Private,180539.14,Some-college,9.998138,Married-civ-spouse,Sales,Husband,White,Male,179.37419,0.1061116,45.293167,United-States,<=50K
39.47774,Private,173544.16,HS-grad,8.922717,Divorced,Other-service,Not-in-family,White,Female,102.974045,-0.119245455,36.67346,United-States,<=50K
42.190144,Self-emp-not-inc,167620.95,HS-grad,8.983082,Married-civ-spouse,Exec-managerial,Husband,White,Male,272.67862,0.022188261,48.35931,United-States,<=50K
38.913193,Private,188436.42,HS-grad,8.982993,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,187.03465,-0.028997347,42.1299,United-States,<=50K
23.672491,Private,189063.52,Some-college,10.120799,Never-married,Prof-specialty,Own-child,White,Female,71.49565,0.095110014,30.131634,United-States,<=50K
29.831055,Private,543636.1,12th,9.771511,Never-married,Exec-managerial,Not-in-family,White,Male,93.87724,-0.038732454,39.44972,United-States,<=50K
36.19184,Private,173069.19,12th,10.204404,Married-civ-spouse,Exec-managerial,Wife,White,Female,320.09,0.13052566,36.10239,United-States,<=50K
43.717125,Private,184801.16,11th,5.237231,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,144.32622,-0.064664766,41.10572,United-States,<=50K
41.92933,Private,178501.42,Some-college,10.005761,Divorced,Adm-clerical,Unmarried,White,Female,118.65843,-0.09853165,39.587234,United-States,<=50K
40.572735,Private,198595.08,11th,5.555701,Married-civ-spouse,Craft-repair,Husband,White,Male,165.96648,0.032251433,42.424305,United-States,<=50K
60.346622,Private,173540.86,HS-grad,9.026244,Widowed,Adm-clerical,Not-in-family,White,Female,67.66948,-0.17731278,33.202084,United-States,<=50K
22.285671,Private,180359.52,Some-college,10.171853,Never-married,Other-service,Own-child,White,Female,25.756819,0.15877731,26.827269,United-States,<=50K
24.402014,Private,191671.52,HS-grad,8.780815,Never-married,Handlers-cleaners,Own-child,White,Male,61.976482,0.03290756,36.118435,United-States,<=50K
34.90985,Private,189918.6,Assoc-acdm,12.048333,Never-married,Adm-clerical,Not-in-family,White,Female,156.29936,0.04601486,37.157913,United-States,<=50K
38.5808,Private,160723.22,Assoc-voc,10.932176,Married-civ-spouse,Prof-specialty,Husband,White,Male,228.35387,0.09103592,41.518913,United-States,<=50K
36.054424,Private,188179.84,Some-college,9.999095,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,255.46165,0.057802275,42.316204,United-States,<=50K
