X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
21866.863,1,1,2,39.991203,0,0,0,0,0,0,20748.492,18604.977,19128.543,19127.453,13598.611,2768.1125,1514.4089,20448.46,865.80133,1285.3296,-369.7448,82.00583,0
960735.1,2,1,2,42.0193,0,-1,-1,-1,-1,0,334992.2,178600.0,58504.418,167343.38,237498.4,545880.2,733317.8,1122191.9,740336.9,526751.1,45602.395,153743.23,0
781099.5,2,1,2,18.398727,4,0,0,7,5,4,355652.78,35411.258,848068.06,80768.766,263836.56,399042.22,50514.277,1090969.9,143765.12,81648.945,286986.6,49525.46,0
640135.8,2,1,2,4.6052103,-1,1,6,4,0,0,147967.89,168399.39,421722.34,76828.92,174891.2,118947.695,526707.25,1134653.1,150872.5,-7276.558,11437.684,11403.003,0
632239.3,1,1,2,30.732971,0,-1,2,-1,-1,-1,363348.3,450997.94,345110.0,357120.94,262358.7,284639.0,320728.8,1009.6831,391816.94,235355.9,270348.53,209232.64,0
201581.06,2,3,1,11.561837,0,0,-2,-2,5,7,178055.58,50285.09,565106.9,7057.5933,-4005.8438,104404.38,2865.5195,1059217.0,-15151.426,-13540.305,157621.38,23916.234,0
511091.38,2,2,2,38.58745,-1,-1,-1,0,0,-1,20036.414,-48216.098,266599.25,231207.89,257738.8,25397.768,4115.495,269570.03,5460.0884,11904.772,-4204.629,471170.38,0
160793.38,1,3,1,39.887756,0,0,0,0,-1,0,221899.45,482506.9,179397.17,-81634.305,111053.28,195420.42,14583.386,19013.434,-131.52434,456934.4,15232.5205,35.278778,0
598203.75,1,1,2,34.95136,2,2,2,2,2,0,557210.8,556670.8,580913.7,519228.94,755944.25,468767.97,24253.479,23518.059,18561.803,-1222.7217,17709.715,12213.85,0
726266.9,2,1,2,28.802639,1,-1,-1,0,0,-1,21503.074,-12175.665,372721.03,350653.78,368378.16,401045.47,230125.17,412062.22,11343.217,9447.618,434314.9,7280.471,0
20835.957,1,3,2,59.66694,1,2,2,4,3,2,17200.941,19636.064,17435.768,20597.8,26083.004,5774.573,568.65265,-596.59863,-429.92035,-8.681631,-576.4914,760.69434,1
332379.56,1,2,2,25.804071,0,0,0,2,-2,0,581389.7,584373.6,475922.0,531596.7,203020.02,443123.2,24037.531,30476.156,19599.258,421250.34,32371.39,281.11423,1
548401.06,1,1,1,36.858864,2,0,0,-1,0,0,673387.9,430536.12,229578.95,374832.3,579803.9,603574.4,29577.656,11892.417,559468.56,14118.53,14225.325,18308.838,1
470907.97,2,2,2,31.63461,0,0,0,0,0,0,467473.44,515633.25,437443.38,345240.72,332643.97,120947.51,298049.03,13312.548,12716.72,124311.195,4895.6426,253503.22,1
481102.75,1,1,1,40.028255,-2,-2,-2,-2,-1,0,20288.531,-4931.6304,-14757.408,2927.8823,249427.08,288745.62,11484.422,18849.236,14429.386,286569.6,16225.467,10247.209,1
348966.38,2,2,2,30.311674,4,3,2,-1,-1,-1,569932.9,529595.6,355620.9,312394.25,229670.3,195807.27,328.12088,4622.252,1399.8016,2843.2483,288793.03,11889.1455,1
420933.25,1,2,1,43.182377,0,0,-1,0,0,0,67486.37,-11118.817,377304.44,337628.78,339467.7,372963.88,-1251.6653,366877.7,14235.817,17583.814,10481.91,14542.025,1
521851.9,1,1,2,35.412556,-1,-1,-1,-1,-1,-1,-3785.6523,36095.227,55589.273,163327.53,-744.5546,21542.436,63253.633,28674.63,147239.73,160065.78,27617.264,38935.547,1
218267.6,1,2,2,28.907686,2,0,0,-1,0,0,222849.28,198760.36,716.771,187749.39,165470.16,153506.94,10968.11,4154.3193,213149.2,3538.0564,5914.875,4786.4355,1
312582.8,1,1,2,31.722572,-1,-1,-1,-1,-1,-1,7851.3984,-5561.974,11677.037,22829.553,13080.445,-51408.707,3391.0354,8278.154,3157.503,2689.8892,-4391.0723,357570.44,1
