X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
78524.43,2,2,1,30.495554,1,2,0,0,0,0,33722.742,30927.133,38508.098,17950.982,24111.139,16437.615,3334.2463,1326.6523,3878.908,2942.202,1781.2428,3.9560251,0
78788.836,2,1,2,28.36524,0,0,0,0,0,2,27175.746,34462.82,41290.645,47834.53,28324.998,33902.77,2947.9873,926.2886,892.5611,1952.7295,1212.882,-721.87695,0
160726.5,1,2,1,32.39258,-1,-1,-1,-1,-1,-1,9931.723,12619.663,9235.252,2617.144,9773.156,11174.983,4440.2495,3023.1038,659.12506,5667.461,2799.3784,-91.54593,0
121728.59,1,3,1,42.022915,0,0,0,0,0,0,32194.807,33924.293,29195.055,17844.488,19570.182,22758.51,4353.5825,3562.671,5040.682,3953.3955,4028.027,-569.8467,0
181184.83,2,1,2,32.528084,0,0,-1,0,0,-1,158376.14,145825.75,144623.5,151297.16,133331.6,121095.836,7873.474,4792.624,6760.2676,7400.1997,5852.84,510.29782,0
256268.6,1,1,1,35.00265,-2,-2,-2,-2,-2,-2,5842.754,20775.041,1885.314,11413.191,4824.715,8134.8643,4797.5737,3454.094,2045.1959,2743.64,4751.1543,591.71045,0
221022.06,2,1,1,40.19165,-2,-2,-2,-2,-2,-2,5644.0547,17582.357,1220.9819,9910.141,2571.3867,2056.1008,2622.967,1369.8936,583.252,1952.5696,3906.5244,-304.0425,0
186530.02,1,1,2,27.805794,-1,-1,-1,-1,-1,-1,5095.8594,14702.456,3263.1538,3596.601,7149.836,10390.901,5050.3457,2384.205,-271.13568,3604.228,3086.4324,822.5791,0
300070.1,2,1,2,33.312126,0,0,-1,0,0,0,23920.48,18199.627,88340.125,82799.04,95694.39,133495.38,4576.535,56151.98,10621.54,61250.055,5395.634,17851.309,0
100971.06,2,2,1,32.977394,0,0,0,0,0,0,40573.496,34463.797,37066.723,33025.18,23641.13,23806.732,1983.002,1798.0068,3644.6152,2724.036,2454.5322,-111.976105,0
346325.28,2,1,1,37.65137,-1,-1,-1,0,0,-1,16372.957,29401.832,61168.633,78394.914,35549.523,129777.19,29591.4,42018.19,20074.04,30132.012,42805.54,35614.83,0
173762.61,2,1,2,27.704226,-1,-1,-1,-1,-1,-1,7500.336,14947.53,5664.6343,18276.908,9792.273,6136.8896,5097.7485,3203.8074,728.2618,5464.9844,3282.4043,2038.6218,0
165547.06,2,2,2,28.485146,-1,-1,-1,-1,-1,-1,9875.945,13791.351,11460.447,13860.037,10659.947,5861.7646,3475.3062,2753.6934,576.5933,5011.357,2480.442,1417.281,0
224853.06,1,3,1,43.352528,0,0,0,0,0,0,197816.89,166040.17,161180.53,127054.47,121616.88,116054.95,7116.326,7438.041,11627.329,6744.6875,7286.0317,839.9072,0
74676.305,1,1,2,41.983192,0,0,0,0,0,0,31904.904,39886.477,34523.785,19205.654,22157.252,24758.164,4252.327,3439.4753,2457.8943,2170.92,2237.4019,55.37497,0
173346.67,2,1,2,27.415976,1,-2,-2,-2,-2,-2,3113.7578,16912.201,6646.857,6498.1636,5722.6836,5535.2256,1794.2075,281.21286,-1312.1674,1922.9131,1982.2692,998.3706,0
186103.55,2,2,2,28.174347,0,0,0,0,0,0,173590.78,158439.34,125419.695,143910.56,115983.05,99877.6,6718.9478,7467.9497,7109.186,6376.3657,4524.0654,1835.1013,0
187563.62,2,2,1,38.433796,-1,-1,-1,-1,-1,-1,12511.957,13948.749,12333.994,7453.902,4208.1914,6369.6826,3751.8516,2183.158,1083.2635,3145.7148,2806.8445,102.42868,0
248216.16,2,1,2,29.09448,0,0,0,0,0,0,211880.75,202051.27,199812.52,203699.86,173786.7,148296.33,8358.0625,11259.683,11453.125,12155.6455,15772.069,5179.1,0
107435.76,2,1,2,26.805407,0,0,0,0,0,0,37908.34,44400.555,32243.861,52917.676,31928.37,31435.4,3539.062,2493.8582,2734.8833,3406.5144,2878.7188,794.0454,0
150135.27,2,1,2,27.049656,0,0,-1,0,-1,-1,18262.352,30435.266,9877.49,23558.043,9786.311,4623.913,4067.6226,2850.2432,560.65826,3657.1423,3473.496,1615.8074,0
209914.19,2,2,1,32.717888,0,0,0,0,0,0,38342.22,38418.15,28057.748,72632.08,47885.367,53365.523,15092.455,4052.362,27502.889,8636.402,8814.615,2267.166,0
210204.12,2,2,1,38.085407,0,0,0,0,0,0,190521.69,165112.23,153280.6,143951.16,125791.516,108470.52,6360.9966,7373.2207,10349.853,8287.78,6872.072,2840.1792,0
217681.27,2,2,1,33.908134,-2,-2,-2,-2,-2,-2,10575.996,21402.87,7539.642,20495.824,6751.828,3546.8274,3828.1377,2105.4497,2399.1858,6867.3687,4692.9375,1596.7039,0
213700.03,1,1,2,27.97856,0,0,0,0,0,0,174214.36,160652.73,142656.98,142162.22,122825.766,116584.49,8549.665,8551.993,8828.1875,8520.908,9702.663,1794.8525,0
166702.03,2,1,2,28.361776,0,0,0,0,0,-1,38872.848,47822.023,36742.57,55657.125,23408.676,54674.008,5157.0356,2661.019,3270.2585,4568.345,13717.365,5256.918,0
213715.73,2,1,1,39.040863,-1,-1,-1,-1,-1,-1,10001.871,12277.206,4487.314,9916.875,6425.547,6133.3623,4395.064,2774.0303,1876.1227,5739.5273,4774.625,702.2837,0
105754.086,2,1,2,42.904922,0,0,0,0,0,0,29694.662,41843.51,32911.625,27235.291,22774.479,15765.251,3820.212,2982.4084,2562.9702,3456.5356,2926.0054,605.8623,0
63456.395,2,2,1,30.682547,1,2,2,0,0,0,21276.197,25761.596,33586.66,23994.154,20290.195,16323.62,2271.7502,418.6899,353.15973,1975.2043,1696.1337,-1116.3579,0
97499.62,1,1,2,28.288483,0,0,0,0,-1,-1,33689.324,48209.85,24790.895,15840.436,9501.453,8205.935,4983.8994,3767.1958,1731.3878,1106.7744,2488.3562,718.08984,0
218686.14,2,1,2,29.715168,-2,-2,-2,-2,-2,-2,5706.2617,21192.408,1073.6694,19382.363,5030.4062,2338.1047,3480.817,1716.9692,-386.0219,2045.8848,3190.1855,1554.7734,0
265691.9,1,1,1,42.515354,-1,-1,-1,-1,-1,-1,8217.875,9573.038,2152.7085,-1479.9574,4787.617,10825.786,5471.8545,3325.7742,2624.6194,3581.1074,4263.6523,-336.56448,0
87759.47,1,1,2,27.36306,0,0,0,0,0,0,22727.627,28740.96,22376.615,23506.768,19151.646,22997.242,5250.485,3114.285,2206.4937,2912.3633,2979.9849,229.94724,0
70957.09,2,2,2,28.70842,1,2,0,0,0,2,16738.281,25349.35,38607.504,25852.174,22774.086,16082.216,2742.0657,-1349.647,242.05037,2395.0898,131.5633,-437.8633,0
