X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
84170.516,2,2,2,43.732693,0,0,0,0,0,0,29381.107,40294.062,34761.4,26701.182,22951.697,18110.691,3787.83,2869.2234,2132.2808,3166.5486,2327.3782,585.5879,0
205155.84,2,1,1,38.65595,1,-1,-2,-2,-2,-2,4031.3398,15381.519,2878.5835,252.18707,3414.0273,2587.1555,1845.331,79.86813,-18.941824,1830.7327,3182.2144,706.63135,0
116483.56,1,2,2,27.859947,-1,-1,-1,-1,-1,-1,8895.641,14280.237,10218.592,6431.3354,8177.7695,11086.741,4565.6377,2529.1418,-398.5019,3577.5447,3528.5942,738.92334,0
172359.98,2,2,1,34.955875,0,0,0,0,0,0,130591.43,101632.34,85755.06,86614.25,76176.84,72506.48,4699.588,4729.1895,8199.436,5468.636,4389.8403,0.8056344,0
67850.92,2,2,2,26.135345,0,0,0,0,0,0,20574.326,31735.893,24717.305,24728.47,16933.107,13295.638,2607.311,2338.6545,449.62946,3240.1445,1776.036,780.3096,0
219169.69,1,1,2,28.242964,-1,-1,-1,-1,-1,-1,6135.8867,10291.8,2399.482,6054.566,8831.867,11136.741,5464.6953,3567.5938,609.1163,5924.093,4809.068,2681.4592,0
222705.47,1,2,1,41.231335,0,0,0,0,0,0,203992.45,172055.7,176696.75,138600.89,134324.23,124710.09,7161.921,7737.875,12107.139,7789.7964,7496.078,762.75,0
178237.39,2,2,2,27.819214,-2,-2,-2,-2,-2,-2,10937.73,25826.158,11253.596,18920.49,6209.8633,2423.6477,3201.8926,2094.9717,209.20906,2118.0557,3661.3794,1361.5833,0
232469.44,1,1,2,27.860563,0,0,0,0,0,0,198277.53,182120.88,180462.61,159795.44,138645.8,126268.586,8562.738,9893.962,9542.681,8503.618,8063.056,2600.9775,0
357318.0,2,1,1,38.233936,-1,-1,-1,0,-1,0,-2958.2617,-3087.9465,102306.71,89649.53,111267.445,148791.6,7542.899,93340.414,19639.727,60635.91,8123.6567,38805.562,0
194270.88,1,3,1,43.73128,0,0,0,0,0,0,120513.52,87122.33,78732.81,61912.316,64961.08,68807.6,6006.1216,5326.9116,9033.408,4551.8984,5613.216,-101.04007,0
103677.76,2,2,1,42.963303,0,0,0,0,0,0,31566.105,28054.727,32522.879,21797.611,18355.617,20187.623,2628.5276,1888.6418,3578.4434,3331.845,3027.694,-461.0215,0
235348.53,2,1,1,41.15695,-2,-2,-2,-2,-2,-2,8703.156,19437.205,-1663.354,16379.6875,2925.2031,2560.5227,3130.131,2072.7578,2261.6946,3582.073,5444.138,617.4404,0
71152.03,2,2,1,29.766474,1,2,2,2,2,2,14793.328,18549.5,38609.184,24877.367,19775.482,20719.707,2153.1384,119.69235,918.5518,985.54614,452.45392,-838.9033,0
