model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,15.266,0.217,0.583,0.501,0.562,0.525,0.613,7e-06,original,10,5,,,,
rf,random,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,16.553,0.362,0.58,0.532,0.616,0.581,0.606,1.2e-05,original,10,5,,,,
svc,random,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,3.099,0.001,0.564,0.424,0.446,0.427,0.466,3e-06,original,10,5,,,,
logreg,random,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,6.472,0.006,0.605,0.556,0.64,0.608,0.645,0.0,original,10,5,,,,
mlp,random,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,6.413,0.913,0.619,0.553,0.627,0.593,0.663,2.9e-05,original,10,5,,,,
naive_bayes,random,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,6.913,0.001,0.518,0.387,0.406,0.389,0.605,1e-06,original,10,5,,,,
knn,random,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,7.739,0.001,0.58,0.521,0.599,0.562,0.601,5.3e-05,original,10,5,,,,
xgb,k-means,0.6,0.6,0.6,0.6,0.374,0.374,0.374,0.374,7.641,0.032,0.591,0.488,0.536,0.503,0.625,9e-06,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017423629760742188
rf,k-means,0.5,0.46,0.46,0.5,0.274,0.275,0.275,0.274,16.652,0.25,0.557,0.426,0.453,0.43,0.599,8e-06,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017423629760742188
svc,k-means,0.4,0.333,0.333,0.4,0.2,0.207,0.207,0.2,6.424,0.001,0.547,0.345,0.325,0.347,0.34,3e-06,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017423629760742188
logreg,k-means,0.4,0.38,0.38,0.4,0.122,0.147,0.147,0.122,6.899,0.006,0.668,0.605,0.68,0.651,0.724,0.0,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017423629760742188
mlp,k-means,0.2,0.18,0.18,0.2,0.187,0.183,0.183,0.187,7.312,0.861,0.643,0.571,0.642,0.608,0.703,2.1e-05,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017423629760742188
naive_bayes,k-means,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,6.169,0.001,0.624,0.551,0.622,0.587,0.631,1e-06,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.0017423629760742188
