X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
44926.535,2,2,2,21.042843,-2,-2,-2,-2,-1,0,70578.58,70084.61,15801.508,-397.2387,32793.227,44277.965,7686.3257,3482.4211,23619.922,30572.59,-1392.5573,-1364.727,0
-428841.5,1,6,2,-3.746461,2,2,0,0,0,3,-272112.75,130622.86,957235.06,-590891.2,465510.72,-254210.14,10183.119,-233736.88,18589.434,-217077.98,-50312.426,276855.44,0
705311.75,1,3,1,44.88407,2,7,-1,6,0,-1,14802.168,3499.6316,356807.38,207233.38,402215.88,158153.89,-22584.959,-290952.5,119166.27,35873.438,84325.59,101035.21,0
-274340.88,2,0,1,35.9526,0,-1,2,0,0,0,136756.88,221205.64,328683.44,187486.97,285910.53,49649.555,63010.668,34122.363,-3071.2227,15073.461,25757.53,188878.55,0
218438.12,1,2,2,39.113785,-1,-1,4,0,-1,4,67079.305,180187.62,841857.44,11602.576,177798.0,-135507.62,-18687.791,-212821.53,14588.619,13632.327,30120.457,40472.043,0
519630.94,1,3,1,34.984142,2,2,-1,2,4,0,237007.25,251322.5,399951.6,147135.1,242297.31,197872.05,10331.244,16082.958,13930.094,16511.912,37703.74,-6199.3687,0
-329324.72,2,1,2,21.622215,-1,-1,0,0,0,-1,-121386.75,-4701.2476,155741.56,192334.23,28205.086,-217637.78,16053.638,17119.336,17596.53,-14291.055,16464.992,216157.42,0
398496.56,1,0,1,-1.1347704,0,0,0,0,0,0,245513.03,-41890.027,54199.633,-328470.47,36226.73,65052.555,40658.77,13774.279,-6762.7627,-56192.027,76933.516,32498.297,0
109769.445,2,3,1,41.39082,-1,-1,-2,-2,-2,-2,43154.723,74144.04,433356.34,36954.746,-3632.2656,126117.25,-2226.531,-177507.56,16756.139,-1032.7378,50532.977,35781.18,0
21540.988,1,3,2,45.401012,2,0,0,2,3,2,14429.141,102.63147,4237.224,23451.322,-3187.5898,11464.655,1195.5969,10029.133,1765.7128,-2775.669,-2470.7659,-925.74365,0
359083.06,1,1,1,24.908958,1,2,0,0,0,2,220876.16,213650.16,320887.84,166599.83,262427.97,111781.516,5064.347,16787.898,10428.047,7635.1978,2314.9531,140232.75,0
216913.27,2,3,2,41.107178,0,0,-2,-2,-2,-2,15555.52,203817.66,276139.7,52061.383,81713.45,-127105.695,42194.1,2565.165,2129.0989,5449.326,5074.093,32188.812,0
-372854.8,1,3,1,56.346786,0,0,0,0,-1,0,325683.75,127497.63,322879.66,159770.19,247668.33,105083.195,32028.766,17940.49,-23793.951,-72876.98,43255.617,48875.355,0
451002.44,2,2,1,46.289066,-1,-1,-1,-1,-1,-1,10956.012,-1101.2435,50621.137,168768.23,119392.81,118877.06,22889.375,25396.09,135382.47,33925.645,61607.73,90266.01,0
137653.78,1,6,2,32.03314,1,0,8,0,0,0,66870.68,-33463.223,393818.38,128411.516,-136725.16,166712.48,33960.562,-58782.09,-4562.6875,14477.8,65654.805,87959.5,0
316107.84,1,2,2,35.29336,1,-2,-2,-2,-1,0,9803.75,-50553.613,79401.58,98726.63,283420.28,186512.66,53003.047,3519.766,-13372.361,-20525.45,38736.055,95415.76,0
192511.84,1,2,2,34.757618,-1,0,0,0,0,0,47997.87,230744.17,326859.4,147104.98,235193.25,141913.27,52230.42,16308.135,3583.9705,22240.389,26150.934,55077.1,0
267697.47,2,0,2,44.23936,0,-2,-2,-2,0,-2,-9254.285,-97518.67,28010.938,186750.58,16911.072,166234.28,78311.91,22237.691,200868.92,-65584.69,74852.18,-22496.002,0
539754.0,1,2,2,30.320412,0,0,-2,-2,-2,-2,262816.7,221761.98,9701.775,-23169.14,-7673.6953,-49630.152,9679.244,15290.449,-2581.537,-7376.112,8578.097,173680.02,0
20874.738,2,2,1,44.585724,0,0,2,0,0,0,96832.86,237000.97,421472.25,143239.39,77867.15,106907.875,15231.987,29760.334,2772.1836,12861.23,42453.99,201126.83,0
41691.62,1,3,2,35.81135,1,2,2,0,0,0,50234.703,3646.5417,21207.482,44755.844,17077.5,39899.285,40.129185,1912.4788,3867.0806,3206.4993,-1840.8453,4158.309,1
202451.11,2,2,2,39.06882,0,0,8,0,0,0,231763.72,214545.05,371432.84,117692.21,272756.97,87017.46,51995.35,21505.918,3276.4172,25361.303,9288.074,151822.3,1
408658.75,2,0,2,28.43379,0,0,-2,-2,0,0,230690.3,-50295.74,-15573.479,-103172.7,-5048.992,164721.27,48526.094,16497.516,-7231.5215,-29977.148,75569.99,96572.37,1
461571.06,1,2,1,43.25641,7,6,2,4,3,2,244457.12,237793.67,408474.28,134430.6,247559.69,224631.17,3464.676,9431.604,-4507.5156,-5354.234,3105.3738,55934.555,1
569972.75,1,1,2,35.200607,2,-1,0,-1,0,2,-144537.28,190953.66,172995.3,42277.32,157552.42,45772.086,11431.313,1942.8411,212089.4,-12889.602,6427.1533,2000.1108,1
232193.55,1,1,2,32.572464,-1,-1,0,-1,-1,-1,-32689.395,-4011.6184,22174.936,-265552.97,-20006.715,-268790.88,23548.438,17659.867,-2915.8872,-10257.629,3966.3132,177412.05,1
426207.75,1,1,1,40.497375,0,-2,-2,-2,-2,-2,-1060.6522,-35494.918,188288.11,-59503.953,25599.75,23722.193,17486.602,24723.293,11886.298,6269.574,41881.67,152206.14,1
390128.66,2,2,2,30.045965,2,3,2,-1,-1,-1,94996.914,191323.88,352747.97,164822.5,122706.42,176878.52,45317.234,15814.993,-7012.709,9237.35,70766.29,3173.2446,1
342965.22,2,1,1,41.15262,0,0,0,0,0,0,234821.47,202408.89,234411.06,192634.77,223485.22,150794.5,1524.8137,10100.922,2827.5005,12773.911,14847.847,1581.8606,1
341659.75,2,1,2,24.866825,1,2,4,-2,2,3,222409.05,229465.8,346744.34,151595.3,229206.5,183902.92,5171.4443,5458.391,6198.882,14375.335,5502.2393,-1442.9751,1
98754.93,2,2,1,25.9874,-1,4,-1,2,3,2,81513.07,131495.52,69323.11,129912.0,66745.44,116607.734,4748.7095,6057.3594,5333.91,2487.3232,1171.6324,-1740.8584,1
196122.1,1,2,2,30.706448,-2,-2,-2,-2,-2,-2,29177.059,52472.098,43785.07,128859.76,193949.81,126208.54,18670.537,21664.697,57794.1,15781.095,24859.002,133.1069,1
288978.5,1,2,1,28.364191,0,0,0,2,-1,-1,192355.19,170256.14,66514.15,32377.357,250764.95,130661.06,12172.336,2871.8723,-6707.1846,46649.26,24302.246,4527.9155,1
