X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
172842.75,1,1,2,36.601772,1,-1,-1,-1,-1,0,26741.27,1914.8893,700.6538,21394.514,-1487.2539,4853.835,4945.529,1802.168,2290.245,4078.8232,61.411934,6942.017,0
89034.25,2,2,1,47.883896,0,0,0,0,0,0,41312.727,37579.242,32945.37,30271.488,18735.588,21243.45,3058.673,3257.917,434.22955,-331.09277,675.26154,527.7554,0
81760.8,1,2,2,31.24981,0,0,0,0,0,0,42487.625,30036.773,32951.27,29655.676,11344.584,13294.6455,2712.66,2867.2107,-320.0932,-483.83447,590.6204,979.46924,0
202676.39,2,2,1,37.43854,-2,-2,-2,-2,-2,-2,13462.602,7741.0376,4837.5015,1395.8239,4741.0938,4296.378,2904.937,3123.9841,3555.3086,553.30225,2951.309,3614.5098,0
189303.55,2,2,2,31.870874,-1,-1,-1,-1,-1,-1,13146.535,4621.9595,5676.517,768.2808,369.62894,9230.478,2177.5505,1242.794,2130.2417,2504.8496,5565.1816,5854.5186,0
192058.9,2,2,2,31.212011,0,0,0,0,0,0,115099.195,119877.26,106788.81,92663.18,84832.95,91107.42,3456.7622,4917.11,5459.249,2478.067,7227.817,4281.9443,0
180309.45,2,3,2,36.174652,1,2,0,0,0,0,192400.55,204769.75,187384.89,176418.81,140729.88,176668.06,3577.1633,5609.1025,6006.2305,7094.647,9567.267,11874.7,0
186288.66,2,2,1,36.893158,0,0,0,0,0,0,117680.59,115932.5,102992.93,97974.74,86974.914,82690.42,4245.558,3804.1035,4867.16,2823.808,7257.3066,5413.879,0
186141.95,2,1,2,30.209772,-1,-1,-1,-1,-1,-1,14970.68,7461.596,5979.154,6031.14,436.21878,12958.194,3065.2627,1513.2788,1300.2006,4687.673,6641.499,6563.0356,0
123311.53,2,2,2,30.070362,0,0,0,0,0,0,37121.816,30287.688,31436.822,20185.62,8903.348,21507.393,1481.7136,1364.2349,1627.5157,348.19336,1295.899,2225.9116,0
191341.73,2,1,2,35.00497,1,-1,-1,-1,-1,-1,23298.674,6945.264,2792.1812,4526.355,-1556.6445,7946.8643,2719.6704,1452.7217,1037.6027,3357.8962,4942.4243,6538.2534,0
141541.67,2,1,2,29.89553,0,0,0,0,0,0,42148.246,34930.28,35092.367,27636.678,13053.744,27234.695,2317.0657,2165.3047,649.05475,1201.8022,2887.7202,2601.055,0
83801.82,2,2,2,34.316586,1,2,2,2,2,2,33240.36,38401.87,37816.215,35759.453,29312.004,25355.91,1781.1353,3055.1123,1220.3239,1462.3438,240.29181,2457.8076,0
