X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
285566.62,2,1,1,37.69657,-2,-1,-1,-1,-1,0,45389.27,53033.86,38151.83,24292.2,35272.594,42357.703,12817.928,10596.011,14098.0,20791.58,17176.266,15674.57,0
189849.34,2,1,1,34.86092,-1,-1,-1,-1,-1,-1,-237.3124,-2981.7668,2736.0757,5263.1323,654.3946,8612.794,3414.3364,2768.685,5442.982,480.34668,2765.56,2188.7444,0
99595.766,2,3,1,33.944824,0,2,2,2,2,2,38599.65,51025.8,36599.836,41792.17,38056.035,46726.516,1957.926,2361.9265,1128.5729,1504.3032,2988.026,2834.3054,0
251449.27,1,1,1,35.110146,0,0,0,0,0,0,190791.89,182185.95,181314.62,136501.25,165931.33,133696.72,7463.0044,10002.089,8284.379,6913.737,4220.546,3092.6963,0
141493.47,2,1,1,34.635315,1,-2,-2,-2,-2,-2,6960.422,7679.557,-1783.1392,4249.0854,786.75397,2841.718,2075.7468,1641.5303,-1154.5267,670.6387,770.68146,380.82858,0
106849.54,2,2,1,32.770317,0,0,0,0,0,0,27601.84,21766.865,24960.875,22069.824,12148.957,24739.838,1770.8877,2915.6033,1595.7255,2164.4915,11433.678,2302.8115,0
67393.77,2,2,1,31.635937,0,-1,2,0,0,0,30821.816,27612.646,28536.793,35976.79,15959.709,21368.316,3272.503,1028.4409,1389.0961,-368.5498,1943.1593,1796.8333,0
264769.03,2,1,1,34.215343,0,0,0,0,0,0,225243.72,202032.67,217073.48,172673.36,191633.64,166563.2,7661.401,9197.066,10572.459,7320.981,4181.223,2918.0977,0
198319.64,2,1,2,32.45986,-1,-1,0,0,0,0,15770.566,2661.741,24214.922,37013.266,16290.539,21691.94,5741.905,8843.349,5849.995,2021.3225,7151.32,2671.4465,0
79878.32,1,2,2,31.930834,0,0,0,0,0,0,31289.066,17492.805,30723.715,31418.066,22288.615,18644.314,1933.7732,6325.2227,690.8448,3208.1042,5226.745,1230.3975,0
205739.89,2,1,1,34.32756,-2,-2,-2,-2,-2,-2,3975.1602,2553.284,1651.521,9176.141,4362.25,8843.386,3370.7886,1557.3755,3031.6077,508.43994,1842.6095,310.60495,0
298193.25,1,1,1,35.913147,0,0,0,0,0,0,228187.48,202424.97,244176.75,177782.94,132031.75,130209.71,11387.849,12481.885,21793.998,14922.49,58593.76,32249.744,0
166591.03,2,1,1,34.67387,1,-1,-1,-1,-2,-1,2806.2227,5171.854,-2563.85,122.112854,4652.8516,7765.5693,1684.7415,2631.9946,1087.1642,1831.9294,4257.2134,1854.0935,0
77900.6,2,2,1,32.699814,0,0,0,0,0,-2,38060.008,29147.46,25952.525,22013.873,1204.1367,3668.0461,3136.4617,2613.8032,276.55475,372.15283,458.076,963.38916,0
82666.68,2,2,1,32.696423,1,2,0,0,0,0,28513.445,7720.7524,19197.924,27390.785,14333.18,15397.812,1667.9082,3106.8054,536.32623,1739.0269,3931.5837,1482.4187,0
145374.75,1,2,1,35.934124,0,0,0,0,0,0,102293.46,109079.35,94400.664,86221.91,78018.234,76163.36,3116.75,5481.195,3722.4695,5657.7676,5491.7207,2199.0796,0
112628.39,2,2,1,34.447258,-1,-1,0,0,0,0,16855.113,884.79944,19953.545,32136.328,11340.895,20494.086,2790.8374,6181.559,2621.6187,1453.6868,4744.737,1467.2097,0
231542.78,2,1,1,32.79045,0,0,0,0,0,0,124206.055,112025.99,98292.875,64980.793,21211.246,20448.547,7148.541,7996.4146,4007.0044,3501.646,5738.75,25464.408,0
85400.445,2,3,1,39.048164,0,0,0,0,0,0,39620.105,39132.57,35422.46,37384.656,22977.25,26069.988,2725.0056,1414.8159,2461.645,1007.70654,3406.5076,1424.2427,0
119244.375,2,3,1,39.873356,-2,-1,-2,-2,-2,-2,10339.914,1197.7994,5249.4937,9060.504,589.55475,8026.5264,3326.071,1547.4175,2044.5067,212.4214,941.0357,501.60788,0
77697.84,2,1,2,32.115654,0,0,0,0,0,2,33146.598,23634.006,30614.959,32074.508,30319.791,27650.922,2498.4324,3262.675,2223.8645,3105.101,2990.1233,902.8247,0
276945.44,2,1,1,36.072975,-2,-1,-1,-1,0,0,33915.098,7586.9087,10389.26,93008.23,71748.72,56476.48,5824.257,9473.32,33505.15,5088.119,5942.524,3700.9714,0
95371.81,2,1,2,29.777369,0,0,0,0,0,0,33911.535,32367.6,32523.666,33627.414,25321.236,26159.97,2547.6208,2785.8342,2243.1025,1853.2659,3929.503,1475.2368,0
152271.81,2,1,1,34.98445,-1,-1,-1,-2,-2,-2,5944.535,2933.8738,-1249.9478,12698.342,-2762.0156,5840.6514,3208.4802,703.18066,553.22174,-1216.543,-1365.0763,892.3491,0
120113.92,2,3,1,38.144188,1,-2,-2,-2,-2,-2,4168.8203,5325.4673,121.27883,1315.7418,63.035194,4443.0576,1944.9038,963.27734,576.7662,804.4983,2371.807,1007.7759,0
325077.8,2,1,2,32.37972,0,8,-1,-1,0,-2,-38501.387,112948.516,191128.25,-56977.03,123355.43,208233.1,44798.957,74868.414,-61245.055,-7669.521,50817.605,29381.137,0
88718.49,2,2,1,37.769707,0,0,0,0,0,0,28830.258,25250.46,27647.959,28861.533,15979.596,19973.658,1802.155,1554.6162,901.02106,1366.6501,2779.8916,1520.6074,0
