Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.319541,52.98469,0.06921319,4.6857185,15.991799,553.5003,0.0049343607,0.02326351,0.2458088,3.1134732e-05,Nov,2,2,1,2,New_Visitor,False,False
6.202327,219.92429,0.67804325,27.298689,61.918335,2686.8267,0.006475832,0.020718388,6.0428057,-0.00016551217,Nov,2,2,1,3,Returning_Visitor,False,False
4.822743,123.42504,3.667371,337.4574,54.942005,2790.7317,0.007353841,0.022081167,3.9872322,0.00038941824,Nov,2,2,1,2,Returning_Visitor,False,False
0.044335492,0.51157326,-0.0006983798,-0.97237974,3.0951905,52.083447,0.17579052,0.18490934,0.00041361895,0.021072002,May,2,2,1,1,Returning_Visitor,False,False
1.8231215,43.163513,0.0743242,3.968357,20.598843,749.52686,0.008943629,0.031896424,0.8225767,-0.00033844015,Nov,1,1,1,2,Returning_Visitor,False,False
1.236755,26.134895,0.052405335,2.9617004,22.55814,861.9597,0.008853981,0.03432323,0.80226105,-0.000273445,Nov,2,2,1,1,Returning_Visitor,False,False
1.4570712,33.160072,0.10016099,6.063364,23.114758,843.93396,0.008894837,0.031077033,0.53651685,-0.00037005296,Nov,2,2,1,3,Returning_Visitor,True,False
1.0148528,18.48425,0.08066247,5.8603706,25.842102,934.6639,0.015445002,0.042528212,0.3738701,0.67691314,May,2,2,1,3,Returning_Visitor,False,False
1.2958649,27.256191,0.044972844,2.6333447,20.90967,812.12915,0.0073101255,0.03383811,0.6868636,1.1755771e-05,Nov,2,4,1,3,Returning_Visitor,False,False
1.4393803,37.857544,0.065230854,3.5408554,17.719416,678.86633,0.016908813,0.040993262,0.60947055,-0.00040847188,Nov,3,2,1,3,Returning_Visitor,False,False
2.1323264,52.06634,0.08455799,5.3005486,22.447367,930.1397,0.0038329696,0.019499049,28.12558,-9.0276235e-06,Nov,1,1,1,2,Returning_Visitor,False,True
1.6072925,34.467377,0.08151851,4.239685,27.949507,1187.6311,0.0008115318,0.011076788,52.128036,-0.0009264511,Nov,2,2,1,2,New_Visitor,False,True
1.8841853,41.19897,0.14146198,6.8700943,35.929893,1502.7324,0.009167348,0.02705665,7.9795256,-0.0003072334,Nov,2,2,1,1,Returning_Visitor,False,True
1.5402603,38.276653,0.081841804,6.531212,26.222298,999.58563,0.0033817475,0.017581392,23.885118,-0.00061489764,Nov,2,2,1,2,Returning_Visitor,True,True
5.082976,99.05584,1.2471899,49.684216,165.35216,6722.59,0.004755528,0.017252177,5.264912,-0.0002226544,Nov,2,2,1,2,Returning_Visitor,False,True
6.3370457,171.59766,3.4940112,299.74164,56.262787,2433.6091,0.005698578,0.017555995,15.732725,0.0007159437,Nov,2,2,1,2,Returning_Visitor,False,True
7.6483564,400.44138,0.44378835,20.466373,46.770256,2150.2175,0.0036964563,0.016225317,18.898363,-0.0004742605,Nov,2,2,1,2,Returning_Visitor,False,True
1.8059663,43.63066,0.08900068,7.277647,35.337074,865.5601,0.00086947496,0.008955671,263.57385,-0.00010587027,Nov,2,2,1,2,Returning_Visitor,False,True
1.7158123,34.70241,0.37900794,25.310633,31.751091,1304.1904,0.007925831,0.022494208,18.316652,0.67226964,May,2,2,1,4,Returning_Visitor,False,True
2.1884067,46.697132,0.1225744,8.582436,26.068956,966.6725,0.0033857354,0.019699998,31.854982,-0.0004675736,May,2,2,1,2,Returning_Visitor,False,True
